$Weekly Temperature Data for daily run off (Average of all tribs), 
FROM: DCR other spreadsheets (use TribsWQ 'averages' to check), 
JDAY,TEMP (C)
252,15.2559073058684
253,14.8292012448133
254,14.7518375815056
255,14.674473918198
256,14.5971102548903
257,14.5197465915827
258,14.442382928275
259,14.3650192649674
260,14.2876556016598
261,14.2102919383521
262,14.1329282750445
263,14.0555646117368
264,13.9782009484292
265,13.9008372851215
266,13.8234736218139
267,13.7461099585062
268,13.9259627852697
269,14.1058156120332
270,14.2856684387967
271,14.4655212655602
272,14.6453740923237
273,14.8252269190871
274,15.0050797458506
275,15.1849325726141
276,15.3647853993776
277,15.5446382261411
278,15.7244910529046
279,15.9043438796681
280,16.0841967064315
281,16.264049533195
282,16.4439023599585
283,16.623755186722
284,16.0421254445762
285,15.4604957024304
286,14.8788659602845
287,14.2972362181387
288,13.7156064759929
289,13.1339767338471
290,12.5523469917012
291,11.9707172495554
292,11.3890875074096
293,10.8074577652638
294,10.225828023118
295,9.64419828097214
296,9.06256853882632
297,8.4809387966805
298,8.5271598992294
299,8.57338100177831
300,8.61960210432721
301,8.66582320687611
302,8.71204430942502
303,8.75826541197392
304,8.80448651452282
305,8.85070761707173
306,8.89692871962063
307,8.94314982216953
308,8.98937092471844
309,9.03559202726734
310,9.08181312981624
311,9.12803423236515
312,8.69224585062241
313,8.25645746887967
314,7.82066908713693
