$Weekly temp data for Muddy Brook, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,3.48636363636364
10,2.3
18,2.41428571428571
24,2.5
36,3
45,5.82
51,7.7
64,5
78,3.7
80,3.88571428571429
92,5
109,6.6
114,9.43333333333333
127,16.8
137,17.1125
143,17.3
158,15.4
171,18.1
172,18.3230769230769
184,21
198,19.6
199,19.5
218,20.6
226,20.2952380952381
239,19.8
253,14.3
267,13.4
268,13.63125
283,17.1
289,13.7142857142857
297,9.2
311,9.4
323,4.5
324,4.65714285714286
337,6.7
351,4.3
352,2.1
365,3.31875
