$Withdrawal from North Dyke + Towns, Nashua River, Wachusett Aqueduct, Spillway, , , , 
FROM: 2017_WaterBalance, , , , 
JDAY,ND+T,Nash,Wach,Spill
132,0.06252063728,0.648455957673552,0,0
133,0.04815009136,0.639960901459488,0,0
134,0.05222466688,0.639960901459488,0,0
135,0.06694571392,0.688099553339184,0,0
136,0.05130460144,0.617307418221984,0,0
137,0.06436076816,0.557842024723536,0,0
138,0.05691261936,0.55217865391416,0,0
139,0.0446888928,0.5663370809376,0,0
140,0.07172129168,0.5663370809376,0,0
141,0.05800793536,0.39643595665632,0,0
142,0.04933303264,0.214924922215819,0,0
143,0.07548917872,0.5663370809376,10.95316,0
144,0.05875275024,0.76455505926576,0,0
145,0.06059288112,0.741901576028256,0,0
146,0.07018784928,0.744733261432944,0,0
147,0.05244373008,0.753228317647008,0,0
148,0.0606805064,0.733406519814192,0,0
149,0.06821628048,0.741901576028256,0,0
150,0.06760290352,0.744733261432944,0,0
151,0.059147064,0.747564946837632,0,0
152,0.0760149304,0.75039663224232,0,0
153,0.06571896,0.76455505926576,0,0
154,0.06449220608,0.767386744670448,0,0
155,0.07036309984,0.880654160857968,0,0
156,0.05660593088,1.03356517271112,0,0
157,0.05831462384,1.0137433748783,0.8762528,0
158,0.07154604112,0.985426520831424,0,0
159,0.06348451536,0.9910898916408,0,0
160,0.06160057184,0.993921577045488,0,0
161,0.08762528,0.985426520831424,0,0
162,0.07058216304,0.97693146461736,0,0
163,0.06935540912,0.993921577045488,0,0
164,0.06633233696,1.01940674568768,6.74714656,0
165,0.07881893936,1.02223843109237,2.190632,0
166,0.07496342704,1.02223843109237,2.190632,0
167,0.07916944048,1.02223843109237,0,0
168,0.08885203392,1.02507011649706,0.4381264,0
169,0.08793196848,1.05338697054394,0.8762528,0
170,0.06887347008,1.05621865594862,0,0
171,0.07697880848,1.061882026758,2.190632,0
172,0.07189654224,1.08170382459082,7.0100224,0
173,0.09165604288,1.08170382459082,1.3143792,0
