$Combined Quinapoxet, Quabbin, Trout flows (Dan Crocker -> Quinapoxet_Quabbin_Trout), 
JDAY,Flow
 ,(m3/s)
1,6.28265060822594
2,6.26864555356319
3,3.93689733870577
4,1.37565114474277
5,1.46922932336083
6,1.57120114761122
7,1.60273974198178
8,1.58740672797336
9,1.49554688763533
10,1.40271545805964
11,1.56526637610075
12,3.4737833471212
13,19.3825063062816
14,10.3668299830945
15,5.98843414705492
16,4.01662524354897
17,3.19199683874709
18,2.77960225306389
19,2.50447862564093
20,2.37226365933687
21,2.23771563622231
22,2.22342022670751
23,3.1439225877346
24,5.32356343831713
25,4.09023924379077
26,3.03051653282757
27,2.65205340038083
28,3.07867738032287
29,3.03628005299758
30,2.62926532234978
31,2.30098465753074
32,2.18264221477833
33,2.39041241817434
34,2.13374083144121
35,1.96959117923085
36,3.61505211161714
37,3.11037479963276
38,2.64371955680391
39,2.86102003320979
40,2.45939137079795
41,2.3930033228081
42,8.86987580553224
43,15.0008718394498
44,7.8339644090674
45,5.33975659227815
46,4.49603890540394
47,4.3605523006797
48,4.35886075682708
49,4.39852893580613
50,3.89930370731366
51,6.2742180733397
52,7.58176283181258
53,6.57889789582935
54,5.54556497759716
55,6.0265754319962
56,6.53124653078002
57,8.37459052284525
58,6.68391651830463
59,5.38641772848814
60,4.63171112949493
61,7.85921330284548
62,16.8986124024229
63,10.4918162788714
64,7.67640540935168
65,6.25022735267514
66,5.63016158647987
67,6.38181517404762
68,5.56241828411774
69,4.77588223530273
70,4.26848820137324
71,3.98134241919059
72,4.54542297675961
73,4.62882315620937
74,4.19802196386544
75,3.82083370250873
76,3.46805283457917
77,2.90480562253533
78,2.74889700421852
79,2.50204033274594
80,2.452220949026
81,2.61577646393275
82,2.68669859503168
83,2.71324721270203
84,2.70825723600181
85,2.54897795638087
86,2.54596416578396
87,2.78459222976411
88,3.6495777021572
89,5.06230612124525
90,5.80424381643639
91,4.48599293674755
92,3.85843909890167
93,3.90303745252554
94,6.08493291826149
95,7.14873381874265
96,5.92155680952092
97,6.17567671244883
98,5.90470350300034
99,4.92157984682326
100,4.33878940074115
101,4.04330977498157
102,3.76620996145532
103,3.71156563917505
104,3.2836792145441
105,2.9283342364082
106,7.52763420517884
107,19.0392308585597
108,14.462762071899
109,9.804007210314
110,7.81869935194012
111,6.01652946333981
112,5.00906442899154
113,4.24550829077488
114,3.8720743558569
115,4.53589270374974
116,7.16882575605544
117,6.19286009524919
118,6.19286009524919
119,5.37280305275976
120,4.90813020923477
121,4.65332957252045
122,4.11121811548359
123,3.76348702630964
124,3.57779115953028
125,3.337576787782
126,3.16763682097421
127,3.49439719328108
128,3.08787136385239
129,2.69457033181691
130,2.52138552101635
131,2.26295637517465
132,1.97104545648706
133,2.12695407480388
134,2.06429977202591
135,2.20428745223126
136,6.88582357484988
137,10.2641290828404
138,9.86069229387116
139,9.61607682184738
140,9.88710888102959
141,9.5753381403636
142,9.46795641411574
143,10.2587251094822
144,9.94466981037014
145,9.68875515960766
146,9.61478391089986
147,9.61068542743649
148,9.63590674485395
149,9.62136156243051
150,9.54586865414824
151,9.8497015450196
152,9.54983626679168
153,9.40008494079665
154,9.25071657791416
155,10.432206510258
156,11.1883545527046
157,11.0727465561592
158,10.9716927263442
159,11.0577992334405
160,11.0098736204391
161,10.9221833752582
162,10.8161802424924
163,10.7673582901159
164,10.7568899360955
165,10.7662129177692
166,10.699144354325
167,10.6854265394673
168,11.0874228003221
169,11.429823177302
170,11.2519184365512
171,11.4493931518768
172,11.5289960566924
173,12.557359298243
174,12.9205076209791
175,13.4341837963707
176,15.0430254170872
177,13.6483031246558
178,13.3294677907076
179,14.3331503371274
180,12.0397935150123
181,10.052468963031
182,9.70007150582399
183,9.57335476407726
184,9.51035587447555
185,5.94864271399055
186,5.6710549383276
187,9.88974704212986
188,9.41757869879493
189,8.66645665784343
190,9.75130345294046
191,12.7309212951133
192,13.0597415712917
193,13.8701434210675
194,13.8576599467324
195,13.8403702691991
196,13.8362504979946
197,13.8641983028065
198,14.9741255382594
199,15.4336401381679
200,11.662447656456
201,9.1710579376838
202,9.06294607674189
203,8.08140368578681
204,7.5861246167595
205,7.52022682608938
206,7.48272719926519
207,7.78633597983416
208,7.75056469278706
209,7.6611863179769
210,7.64199204826901
211,8.98721200856864
212,12.2682591869465
213,13.9557045146904
214,10.608849705209
215,6.02592931702673
216,13.9213684526452
217,14.10906609126
218,13.5746050025815
219,7.71045655226758
220,6.09055173140456
221,13.9549261227096
222,14.1358501270363
223,15.0304665866887
224,16.6171121236297
225,11.1654801184626
226,10.1039639742143
227,9.69360309431912
228,8.90535220088365
229,8.34245523160582
230,8.43394991895172
231,8.61268330937383
232,8.18744759143205
233,7.95596944790811
234,8.49634939531246
235,11.9175813036375
236,12.5797776298797
237,10.9587178914191
238,10.8623438471768
239,11.7371888421299
240,14.1638692206688
241,14.1141049892746
242,14.1072724464741
243,14.060660314242
244,14.0015835930838
245,13.995567951564
246,13.977373531381
247,13.965846066525
248,13.9378335049466
249,13.3560685813567
250,14.0197252998595
251,14.0065580729736
252,13.9638560658258
253,14.0781017134034
254,15.0863902174041
255,14.6109412636795
256,14.6932828426681
257,11.7749786301499
258,9.8043872000366
259,10.0447026710607
260,9.98192925882372
261,12.3400500140578
262,13.6064720025984
263,11.6106989549188
264,11.0650909776658
265,10.9568762968436
266,10.9740331058104
267,10.814704461362
268,10.551823785727
269,10.811902011677
270,13.4995693819106
271,7.30139114971637
272,3.24413491125123
273,2.3170108317267
274,1.86882821081454
