$Combined Quinapoxet, Quabbin, Trout flows (Dan Crocker -> Quinapoxet_Quabbin_Trout), 
JDAY,Flow
 ,(m3/s)
315,10.1032000000586
316,7.23656905841756
317,12.5792342052081
318,15.6636999585033
319,9.60824479365139
320,10.1154943706679
321,9.00794088848913
322,7.53087283597104
323,7.56457944901222
324,9.79719987244981
325,8.92301420332664
326,6.79541240236432
327,5.22830187067218
328,4.81111535405663
329,5.23255131153058
330,6.50758588639525
331,22.1835802155078
332,16.6179233005978
333,10.9524047196779
334,8.25562714836182
335,6.92085303843217
336,9.93268647717406
337,13.3082173772305
338,9.94339259839001
339,7.53768017383524
340,6.37890661953519
341,5.53875763973297
342,4.73656471383032
343,4.17623848270003
344,3.90594600703796
345,3.5861250031072
346,3.38594189424573
347,3.13110824990343
348,3.08064114002505
349,3.12948893450733
350,3.20773409911698
351,4.86540901883026
352,4.48040260954316
353,3.62663895401256
354,3.25473152480731
355,7.62518533723037
356,16.1161607563264
357,10.2642655748407
358,7.11013819351037
359,5.72463912587908
360,4.75989528193532
361,4.18680014700296
362,4.45164675237367
363,5.9552634225621
364,5.13809435335823
365,4.4950486765646
