$French Daily Discharge,
Auto-Generated,
JDAY,Flow
397,0.125127816
398,0.109560733
399,0.100693407
400,0.094190702
401,0.0880821
402,0.084732222
403,0.079214775
404,0.075667844
405,0.071529759
406,0.076456051
407,0.075076689
408,0.068573984
409,0.065224105
410,0.067391674
411,0.06463295
412,0.06463295
413,0.06581526
414,0.06581526
415,0.064830002
416,0.06463295
417,0.067194622
418,0.069165139
419,0.074485534
420,0.1643411
421,0.421690591
422,1.83652164
423,0.955700639
424,0.666034672
425,0.58130245
426,0.530069014
427,0.504452296
428,0.407896974
429,0.344840437
430,0.327105786
431,0.34878147
432,0.415779041
433,0.504452296
434,0.45913041
435,0.435484209
436,0.449277826
437,0.51430488
438,2.128158123
439,2.719313157
440,2.029632284
441,1.184280585
442,0.894614618
443,0.675887256
444,0.551744699
445,0.46504196
446,0.405926457
447,0.833528598
448,1.111371464
449,0.725150175
450,0.547803665
451,0.455189376
452,0.370457155
453,0.441395759
454,1.282806424
455,1.970516781
456,1.203985753
457,0.805941363
458,0.585243484
459,0.451248343
460,0.362575088
461,0.307400618
462,0.275872349
463,0.256167181
464,0.273901833
465,0.340899403
466,0.266019765
467,0.22660943
468,0.206904262
469,0.181090492
470,0.161385324
471,0.158823653
472,0.199022195
473,0.218727363
474,0.204933745
475,0.17971113
476,0.181090492
477,0.156064929
478,0.135177451
479,0.128477694
480,0.11862511
481,0.113304715
482,0.111137146
483,0.113698818
484,0.111137146
485,0.113698818
486,0.104831493
487,0.090643772
488,0.092614289
489,0.113304715
490,0.083746963
491,0.108181371
492,0.099905201
493,0.138724381
494,0.17852882
495,0.137542071
496,0.151335689
497,0.095964167
498,0.077244258
499,0.068376932
500,0.106999061
501,0.07862362
502,0.057736142
503,0.057342038
504,0.157444291
505,0.173208425
506,0.120398575
507,0.082761705
508,0.067588726
509,0.056553832
510,0.051824591
511,0.044139576
512,0.047883558
513,0.044533679
514,0.036848664
515,0.035863405
516,0.033498785
517,0.040001491
518,0.050642281
519,0.039410336
520,0.067588726
521,0.060494865
522,0.039213284
523,0.039213284
524,0.0293607
525,0.027390183
526,0.033301734
527,0.039016232
528,0.037833922
529,0.062662434
530,0.074288483
531,0.057736142
532,0.043154317
533,0.035469302
534,0.02699608
535,0.021675685
536,0.019685463
537,0.018109049
538,0.01643411
539,0.023055046
540,0.026601977
541,0.032513527
542,0.023646201
543,0.020493375
544,0.019291359
545,0.019153423
546,0.017517894
547,0.016828213
548,0.014877402
549,0.012039858
550,0.010818137
551,0.00999052
552,0.009222019
553,0.008177645
554,0.007960888
555,0.00705445
556,0.009734353
557,0.011566934
558,0.010975778
559,0.012532487
560,0.013714797
561,0.017281432
562,0.017281432
563,0.026010822
564,0.019586937
565,0.014365067
566,0.014266541
567,0.010896958
568,0.011251651
569,0.011566934
570,0.018049934
571,0.017242022
572,0.013340399
573,0.010975778
574,0.010089046
575,0.0087688
576,0.007724426
577,0.007428848
578,0.006285949
579,0.005891845
580,0.005694793
581,0.005655383
582,0.005438626
583,0.006463295
584,0.006561821
585,0.005970666
586,0.005694793
587,0.00583273
