$Muddy Brook inflow constituents,
Auto-Generated,
JDAY,TDS
1138,82.979
1139,83.022
1140,82.549
1141,82.081
1142,81.982
1143,81.073
1144,81.24
1145,81.413
1146,81.869
1147,82.639
1148,82.542
1149,82.46
1150,82.086
1151,76.944
1152,77.695
1153,79.208
1154,79.625
1155,80.06
1156,79.47
1157,80.596
1158,79.64
1159,78.876
1160,80.52
1161,82.254
1162,82.908
1163,80.435
1164,79.012
1165,81.849
1166,84.178
1167,86.432
1168,87.78
1169,89.92
1170,92.46
1171,92.821
1172,93.03
1173,93.058
1174,93.103
1175,93.392
1176,93.72
1177,94.321
1178,94.696
1179,95.37
1180,95.798
1181,96.248
1182,97.037
1183,96.9
1184,96.913
1185,97.574
1186,97.923
1187,97.944
1188,97.311
1189,98.329
1190,98.7
1191,99.35
1192,99.66
1193,100.35
1194,100.683
1195,100.642
1196,101.374
1197,101.34
1198,101.458
1199,101.775
1200,102.67
1201,103.574
1202,103.897
1203,105.007
1204,106.74
1205,108.112
1206,110.934
1207,110.963
1208,108.723
1209,87.234
1210,89.189
1211,89.22
1212,90.593
1213,90.463
1214,92.855
1215,92.373
1216,93.268
1217,88.478
1218,83.64
1219,82.952
1220,82.497
1221,83.94
1222,85.331
1223,85.288
1224,85.248
1225,83.772
1226,79.14
1227,80.308
1228,84.503
1229,87.578
1230,88.559
1231,87.324
1232,84.54
1233,84.819
1234,87.209
1235,88.792
1236,89.825
1237,90.037
1238,86.219
1239,82.68
1240,84.199
1241,86.392
1242,87.9
1243,89.832
1244,91.913
1245,92.614
1246,87.48
1247,89.087
1248,92.201
1249,80.103
1250,74.197
1251,78.917
1252,79.803
1253,81.48
1254,83.1
1255,80.868
1256,79.195
1257,78.039
1258,76.967
1259,75.228
1260,67.793
1261,63
1262,70.072
1263,77.002
1264,83.577
1265,89.216
1266,94.135
1267,99.06
1268,98.766
1269,98.477
1270,98.194
1271,98.327
1272,95.629
1273,94.174
1274,95.04
1275,98.207
1276,100.987
1277,104.205
1278,107
1279,109.362
1280,111.3
1281,111.822
1282,113.169
1283,114.828
1284,115.679
1285,116.491
1286,117.254
1287,117.955
1288,118.56
1289,118.326
1290,118.063
1291,117.798
1292,117.531
1293,117.26
1294,116.91
1295,116.64
1296,117.695
1297,118.666
1298,119.642
1299,120.49
1300,121.467
1301,122.576
1302,123.42
1303,121.966
1304,121.007
1305,117.857
1306,116.976
1307,117.246
1308,115.984
1309,114.42
1310,115.853
1311,117.22
1312,118.442
1313,119.585
1314,120.828
1315,122.169
1316,123.42
1317,121.234
1318,117.335
1319,109.358
1320,109.359
1321,109.427
1322,109.751
1323,106.92
1324,99.038
1325,104.514
1326,105.216
1327,108.495
1328,110.43
1329,112.212
1330,113.34
1331,114.083
1332,114.664
1333,115.14
1334,115.609
1335,116.049
1336,116.527
1337,116.88
1338,115.64
1339,114.081
1340,113.601
1341,114.316
1342,113.548
1343,113.307
1344,111.521
1345,111.54
1346,112.798
1347,113.449
1348,114.229
1349,114.681
1350,115.187
1351,115.62
1352,114.937
1353,114.614
1354,114.357
1355,112.374
1356,111.063
1357,111.049
1358,108.36
1359,112.401
1360,113.711
1361,113.558
1362,113.309
1363,112.52
1364,112.8
1365,112.274
1366,111.592
1367,111.881
1368,109.89
1369,110.683
1370,110.438
1371,110.1
1372,110.4
1373,110.679
1374,110.991
1375,111.218
1376,111.181
1377,111.699
1378,112.18
1379,112.38
1380,108.48
1381,104.305
1382,99.9
1383,95.963
1384,92.222
1385,88.324
1386,84.36
