$French inflow constituents,
Auto-Generated,
JDAY,TDS
1141,71.081
1142,71.048
1143,70.093
1144,70.368
1145,70.654
1146,71.276
1147,72.283
1148,72.274
1149,72.218
1150,71.815
1151,65.92
1152,66.801
1153,68.569
1154,69.094
1155,69.649
1156,68.564
1157,69.485
1158,67.977
1159,66.695
1160,68.216
1161,69.854
1162,70.228
1163,67.145
1164,65.162
1165,68.42
1166,71.033
1167,73.55
1168,74.969
1169,77.352
1170,80.22
1171,81.626
1172,82.854
1173,83.868
1174,84.907
1175,86.254
1176,87.66
1177,87.854
1178,87.775
1179,88.098
1180,88.118
1181,88.184
1182,88.742
1183,88.02
1184,88.252
1185,89.414
1186,90.14
1187,90.383
1188,89.665
1189,91.384
1190,92.16
1191,92.977
1192,93.278
1193,94.232
1194,94.614
1195,94.349
1196,95.477
1197,95.22
1198,94.634
1199,94.414
1200,95.246
1201,96.114
1202,95.879
1203,97.161
1204,99.84
1205,103.891
1206,115.783
1207,117.948
1208,108.41
1209,71.679
1210,74.812
1211,75.18
1212,78.218
1213,79.165
1214,83.817
1215,84.393
1216,87.258
1217,81.084
1218,75.24
1219,73.99
1220,73.066
1221,74.863
1222,76.623
1223,76.291
1224,75.959
1225,73.511
1226,66.48
1227,67.85
1228,73.638
1229,77.855
1230,78.974
1231,76.762
1232,72.3
1233,73.593
1234,78.035
1235,81.405
1236,84.073
1237,85.492
1238,80.241
1239,75.72
1240,78.335
1241,82.054
1242,84.771
1243,88.293
1244,92.28
1245,93.798
1246,85.14
1247,87.754
1248,93.156
1249,73.793
1250,63.591
1251,71.861
1252,73.255
1253,75.873
1254,78.36
1255,79.704
1256,81.914
1257,84.977
1258,88.316
1259,90.705
1260,83.499
1261,80.82
1262,85.975
1263,91.104
1264,95.892
1265,99.132
1266,101.004
1267,102.9
1268,101.858
1269,100.845
1270,99.863
1271,99.89
1272,93.5
1273,90.032
1274,91.38
1275,96.982
1276,101.864
1277,108.214
1278,113.717
1279,117.972
1280,120.72
1281,123.277
1282,129.142
1283,137.68
1284,142.572
1285,147.689
1286,153.077
1287,158.796
1288,164.16
1289,173.929
1290,181.739
1291,189.126
1292,196.921
1293,205.143
1294,216.696
1295,224.04
1296,226.669
1297,228.061
1298,239.431
1299,249.809
1300,255.709
1301,257.141
1302,267.48
1303,260.369
1304,234.305
1305,206.061
1306,196.94
1307,202.469
1308,195.452
1309,173.46
1310,180.217
1311,189.345
1312,190.566
1313,190.949
1314,194.511
1315,201.239
1316,209.22
1317,208.52
1318,177.042
1319,154.763
1320,154.676
1321,155.911
1322,161.437
1323,152.52
1324,125.458
1325,130.808
1326,126.195
1327,129.05
1328,129.323
1329,130.851
1330,129.96
1331,132.012
1332,133.46
1333,132.442
1334,131.448
1335,132.743
1336,129.332
1337,132
1338,141.046
1339,150.565
1340,147.515
1341,128.553
1342,129.726
1343,115.143
1344,100.194
1345,103.2
1346,113.731
1347,121.023
1348,118.199
1349,127.937
1350,132.52
1351,137.52
1352,145.798
1353,149.779
1354,153.004
1355,174.656
1356,189.405
1357,189.833
1358,120.36
1359,127.989
1360,134.579
1361,138.527
1362,135.259
1363,138.739
1364,127.68
1365,128.964
1366,132.127
1367,116.575
1368,101.496
1369,110.192
1370,113.414
1371,118.08
1372,114.094
1373,108.803
1374,105.815
1375,108.056
1376,110.463
1377,103.357
1378,90.644
1379,84.36
1380,90.279
1381,99.054
1382,106.869
1383,107.737
1384,105.371
1385,97.745
1386,102.84
1387,105.736
1388,97.931
1389,80.406
1390,87.337
1391,93.668
1392,89.58
1393,88.582
1394,98.934
1395,105.997
1396,109.829
1397,113.456
1398,76.317
1399,61.656
1400,69.411
1401,76.86
1402,83.22
1403,85.283
1404,87.261
1405,87.183
1406,87.36
1407,89.111
1408,85.756
1409,82.288
1410,84.311
1411,85.793
1412,87.393
1413,86.606
1414,85.86
1415,87.94
1416,88.485
1417,89.071
1418,91.767
1419,92.213
1420,91.44
1421,92.582
1422,92.598
1423,92.38
1424,92.167
1425,92.203
1426,93.146
1427,93.084
1428,91.86
1429,92.377
1430,94.737
1431,97.267
1432,98.779
1433,97.733
1434,92.228
1435,95.4
1436,100.48
1437,100.747
1438,98.248
1439,96.948
1440,87.666
1441,88.61
1442,91.8
1443,94.799
1444,97.955
1445,99.362
1446,100.775
1447,100.451
1448,84.34
1449,85.8
1450,89.786
1451,79.906
1452,77.697
1453,81.986
1454,83.575
1455,84.873
1456,87.125
1457,85.3
1458,84.881
1459,86.615
1460,85.455
1461,85.8
1469,54.54
1476,50.82
1484,12.78
1490,59.7
1499,56.88
1506,54.18
1513,56.58
1518,61.14
1526,56.1
1534,48.12
1540,55.92
1547,61.62
1553,90.24
1561,98.52
1568,100.86
1575,110.34
1582,120.78
1588,130.8
1596,119.94
1603,145.86
1610,118.14
1617,118.56
1624,72.48
1631,79.5
1638,114.6
1644,113.28
1652,178.08
1659,156.42
1666,172.56
1673,173.16
1678,156.3
1688,142.98
1694,170.64
1701,184.8
1709,204.66
1715,223.32
1722,217.08
1729,221.16
1736,259.26
1744,231.24
1751,128.16
1757,189
1763,189.3
1771,212.94
1779,211.2
1786,119.82
1791,70.8
1799,87.6
1806,92.28
1814,63.06
1826,63.06
1835,67.56
1841,58.86
1842,55.6425
1849,33.12
1855,73.98
1861,71.7
1869,69.48
1877,70.14
1882,73.62
1891,75.72
1896,74.04
1904,71.58
1909,66.24
1918,51
1925,107.28
1934,119.94
1939,121.7127
1945,123.84
1953,123.48
1960,131.16
1967,134.04
1974,100.5
1981,147.42
1988,150.66
1994,162.3
2004,161.4
2008,268.2
2016,186.3
2024,165.54
2030,223.74
2038,178.74
2043,208.56
2052,139.92
2058,173.82
2065,198.48
2073,196.62
2079,169.68
2087,187.14
2094,221.52
2101,216.18
2108,217.44
2114,214.56
2121,219.66
2128,127.68
2135,137.22
2142,136.62
2149,131.76
2155,123.3
2164,117.12
2172,98.04
2177,108.84
2191,108.84
2197,119.04
2204,133.32
2212,143.46
2248,78.9
2268,161.64
2290,112.5
2297,117.48
2305,134.7
2310,113.22
2318,159.24
2323,189.3
2331,204.78
2338,229.8
2345,124.56
2352,227.34
2359,185.16
2367,190.2
2373,157.56
2380,113.22
2388,199.68
2394,235.32
2401,91.68
2409,241.92
2415,195.96
2420,236.4
2430,227.7
2437,337.8
2450,212.28
2457,346.62
2465,187.8
2472,249.96
2480,284.52
2486,307.32
2494,209.34
2499,233.46
2507,222.84
2513,242.1
2518,182.52
2528,189.66
2533,195.36
2542,169.92
2556,169.92
2557,178.02
2563,178.02
2571,133.08
2577,158.76
2583,158.46
2591,130.8
2605,142.02
2612,114.24
2619,132.36
2624,143.46
2632,131.34
2639,140.88
2647,140.76
2653,142.62
2660,141.6
2667,155.94
2673,166.5
2682,152.94
2690,169.98
2695,181.2
2702,168.42
2709,182.58
2716,175.56
2723,225
2730,300.36
2737,459
2738,0
2745,231.3
2751,331.8
2757,0
2758,555
2765,0
2771,471.6
2779,0
2786,459
2793,517.2
2801,627
2807,589.8
2814,633.6
2821,513
2828,505.8
2835,448.8
2844,509.4
2849,501.6
2850,0
2856,201
2863,183.36
2870,198.6
2879,163.32
2883,176.28
2891,158.46
2898,149.04
2905,155.4
2922,155.4
2923,134.88
2927,130.32
2933,161.64
2941,146.82
2949,144.9
2955,157.38
2961,168.78
2975,162.3
2982,140.28
2989,139.92
2998,163.44
3002,162.84
3010,135.6
3016,120.6
3025,137.76
3030,151.44
3039,148.2
3045,162.24
3052,157.98
3060,214.8
3066,167.76
3073,151.68
3080,129.24
3087,167.88
3093,160.62
3101,162.18
3109,250.14
3116,273.84
3122,263.34
3129,248.76
3136,193.2
3144,317.94
3150,349.2
3157,348.6
3165,278.64
3173,432.6
3179,478.8
3185,456
3192,393.6
3199,359.16
3207,408
3213,407.34
3222,219.18
3228,141.18
3235,174.72
3242,171.42
3248,175.62
3255,178.26
3262,174.36
3269,171.06
3275,196.56
3287,196.56
3288,191.631818181818
3297,188.22
3305,153.214285714286
3311,126.96
3323,158.1
3332,156.228
3338,154.98
3351,133.92
3365,175.26
3367,174.745714285714
3379,171.66
3396,153.12
3401,158.92
3414,174
3424,188.6625
3430,197.46
3445,191.34
3458,313.56
3459,307.403076923077
3471,233.52
3485,169.68
3486,165.12
3505,282.96
3506,279.325714285714
3513,253.885714285714
3526,206.64
3527,212.622857142857
3540,290.4
3554,180.12
3555,178.57875
3570,155.46
3574,156.505714285714
3584,159.12
3598,105.6
3610,121.08
3611,117.218571428571
3624,67.02
3638,117.84
3639,132.48
3652,132.675
