$Malden inflow constituents,
Auto-Generated,
JDAY,TDS
1137,105.574
1138,106.609
1139,107.665
1140,108.194
1141,108.726
1142,108.331
1143,107.121
1144,106.994
1145,106.87
1146,107.025
1147,107.475
1148,107.078
1149,106.221
1150,105.078
1151,98.824
1152,98.914
1153,99.802
1154,99.464
1155,99.136
1156,99.684
1157,102.055
1158,102.149
1159,102.353
1160,105.377
1161,108.457
1162,110.312
1163,107.242
1164,104.788
1165,108.497
1166,111.377
1167,114.108
1168,115.619
1169,118.172
1170,121.2
1171,122.006
1172,122.605
1173,122.98
1174,123.364
1175,124.011
1176,124.68
1177,124.754
1178,124.575
1179,124.688
1180,124.536
1181,124.394
1182,124.564
1183,123.84
1184,124.099
1185,124.967
1186,125.535
1187,125.795
1188,125.44
1189,126.626
1190,127.2
1191,127.524
1192,127.534
1193,127.872
1194,127.889
1195,127.579
1196,127.93
1197,127.62
1198,126.884
1199,126.315
1200,126.242
1201,126.17
1202,125.6
1203,125.697
1204,126.3
1205,128.332
1206,131.463
1207,132.403
1208,131.551
1209,109.924
1210,113.916
1211,115.02
1212,117.691
1213,118.294
1214,121.471
1215,121.49
1216,122.774
1217,118.608
1218,114
1219,112.31
1220,110.879
1221,111.66
1222,112.289
1223,111.341
1224,110.394
1225,107.87
1226,101.22
1227,102.794
1228,108.077
1229,111.635
1230,112.864
1231,111.697
1232,108.42
1233,109.749
1234,113.419
1235,115.881
1236,117.64
1237,118.554
1238,115.583
1239,112.62
1240,114.375
1241,116.76
1242,118.374
1243,120.34
1244,122.371
1245,123.144
1246,118.44
1247,119.455
1248,121.787
1249,107.796
1250,96.801
1251,104.72
1252,105.39
1253,107.112
1254,108.6
1255,110.333
1256,112.639
1257,115.366
1258,118.008
1259,119.886
1260,116.22
1261,115.02
1262,117.543
1263,119.718
1264,121.424
1265,122.234
1266,122.406
1267,122.58
1268,122.429
1269,122.279
1270,122.132
1271,122.321
1272,120.178
1273,119.045
1274,119.88
1275,120.342
1276,120.473
1277,120.937
1278,121.055
1279,120.839
1280,120.3
1281,120.96
1282,122.247
1283,123.771
1284,124.687
1285,125.581
1286,126.446
1287,127.275
1288,128.04
1289,128.175
1290,128.262
1291,128.343
1292,128.43
1293,128.522
1294,128.619
1295,128.7
1296,128.574
1297,128.377
1298,128.343
1299,128.214
1300,128.096
1301,127.988
1302,127.86
1303,128.026
1304,128.197
1305,126.916
1306,127.427
1307,128.907
1308,129.198
1309,129.06
1310,129.331
1311,129.599
1312,129.65
1313,129.639
1314,129.742
1315,129.959
1316,130.14
1317,127.237
1318,122.712
1319,115.221
1320,113.988
1321,112.742
1322,111.649
1323,108.18
1324,104.563
1325,111.761
1326,115.007
1327,120.237
1328,124.411
1329,128.475
1330,132.06
1331,131.912
1332,131.651
1333,131.285
1334,130.914
1335,130.564
1336,130.159
1337,129.78
1338,129.163
1339,128.356
1340,128.004
1341,128.118
1342,127.66
1343,127.255
1344,125.861
1345,125.94
1346,127.226
1347,128.073
1348,128.825
1349,129.593
1350,130.306
1351,130.98
1352,128.185
1353,125.537
1354,122.917
1355,119.542
1356,116.448
1357,113.94
1358,108.12
1359,114.531
1360,118.904
1361,122.283
1362,125.47
1363,128.448
1364,131.82
1365,131.57
1366,131.257
1367,131.197
1368,129.69
1369,130.433
1370,130.393
1371,130.32
1372,130.395
1373,130.431
1374,130.532
1375,130.679
1376,130.667
1377,130.816
1378,130.834
1379,130.8
1380,130.885
1381,130.855
1382,130.665
1383,130.629
1384,130.651
1385,130.47
1386,130.5
1387,131.432
1388,132.207
1389,130.989
1390,133.313
1391,134.842
1392,135.54
1393,134.65
1394,134.502
1395,133.837
1396,133.105
1397,132.354
1398,126.582
1399,115.24
1400,119.765
1401,122.854
1402,124.5
1403,128.64
1404,132.395
1405,135.482
1406,138.54
1407,139.093
1408,138.862
1409,138.416
1410,139.167
1411,139.752
1412,140.323
1413,140.483
1414,140.64
1415,142.059
1416,143.2
1417,144.334
1418,145.665
1419,146.742
1420,147.72
1421,147.416
1422,147.025
1423,146.617
1424,146.21
1425,145.816
1426,145.463
1427,145.058
1428,144.6
1429,144.342
1430,144.186
1431,144.029
1432,143.825
1433,143.478
1434,142.45
1435,142.5
1436,143.344
1437,143.66
1438,143.769
1439,143.947
1440,142.612
1441,143.193
1442,144.18
1443,143.664
1444,143.124
1445,142.351
1446,141.578
1447,140.572
1448,133.734
1449,132.96
1450,135.074
1451,129.042
1452,127.345
1453,130.778
1454,131.855
1455,132.627
1456,133.745
1457,132.85
1458,132.626
1459,133.409
1460,132.849
1461,132.96
1469,79.2
1476,69.42
1484,87.96
1485,86.71
1490,80.46
1499,84.24
1506,93.6
1513,90.66
1518,90.72
1526,77.46
1534,61.86
1540,77.94
1547,83.52
1553,125.4
1561,145.38
1568,140.34
1575,147.72
1582,156.24
1588,152.1
1596,146.52
1603,135.6
1610,120.42
1617,143.88
1624,94.26
1631,109.98
1638,140.76
1644,131.94
1652,150.6
1659,156.12
1666,145.2
1673,147.24
1678,147.48
1688,155.1
1694,152.82
1701,148.02
1709,141.36
1715,144
1722,141.78
1729,141.3
1736,145.86
1744,140.64
1751,143.16
1757,144.48
1763,124.92
1771,104.1
1779,146.4
1786,79.8
