JDAY	WSE
532	118.93
533	118.91
534	118.89
535	118.87
536	118.86
537	118.86
538	118.87
539	118.88
540	118.88
541	118.91
542	118.90
543	118.88
544	118.88
545	118.87
546	118.87
547	118.88
548	118.89
549	118.91
550	118.92
551	118.94
552	118.95
553	118.95
554	118.95
555	118.95
556	118.97
557	119.02
558	119.03
559	119.04
560	119.03
561	119.01
562	119.01
563	119.02
564	119.02
565	119.01
566	119.00
567	118.98
568	118.97
569	118.95
570	118.97
571	118.97
572	118.96
573	118.95
574	118.94
575	118.94
576	118.94
577	118.94
578	118.94
579	118.95
580	118.94
581	118.94
582	118.94
583	118.95
584	118.95
585	118.95
586	118.95
587	118.95
588	118.95
589	118.95
590	118.95
591	118.95
592	118.95
593	118.96
594	118.97
595	118.97
596	118.97
597	118.97
598	118.96
599	118.97
600	118.99
601	119.00
602	119.01
603	119.02
604	119.01
605	119.00
606	118.98
607	118.97
608	118.95
609	118.94
610	118.88
611	118.78
612	118.72
613	118.70
614	118.73
615	118.74
616	118.74
617	118.77
618	118.79
619	118.81
620	118.83
621	118.84
622	118.87
623	118.89
624	118.89
625	118.90
626	118.91
627	118.92
628	118.93
629	118.94
630	118.94
631	118.94
632	118.93
633	118.93
634	118.94
635	118.94
636	118.95
637	118.98
638	118.95
639	118.91
640	118.93
641	118.90
642	118.87
643	118.88
644	118.94
645	118.99
646	119.02
647	119.05
648	119.09
649	119.11
650	119.13
651	119.09
652	119.05
653	119.05
654	119.03
655	119.00
656	118.97
657	118.92
658	118.89
659	118.91
660	118.93
661	118.95
662	118.97
663	118.98
664	119.00
665	118.95
666	118.96
667	118.98
668	119.00
669	119.01
670	119.02
671	119.02
672	119.02
673	119.01
674	119.06
675	119.08
676	119.08
677	119.09
678	119.08
679	119.06
680	119.03
681	119.00
682	118.97
683	118.94
684	118.91
685	118.88
686	118.91
687	118.96
688	118.99
689	119.00
690	119.01
691	119.02
692	119.02
693	119.02
694	119.01
695	119.02
696	119.02
697	119.02
698	119.02
699	119.02
700	119.02
701	119.05
702	119.08
703	119.08
704	119.08
705	119.07
706	119.06
707	119.03
708	119.00
709	118.97
710	118.94
711	118.92
712	118.99
713	119.06
714	119.08
715	119.07
716	119.05
717	119.02
718	118.99
719	118.97
720	118.94
721	118.96
722	119.00
723	119.05
724	119.09
725	119.12
726	119.18
727	119.21
728	119.21
729	119.19
730	119.16
731	119.14
732	119.13
733	119.11
734	119.10
735	119.09
736	119.04
737	119.01
738	119.01
739	119.00
740	119.00
741	118.99
742	119.00
743	119.00
744	118.98
745	118.95
746	118.91
747	118.89
748	118.87
749	118.89
750	118.89
751	118.88
752	118.85
753	118.82
754	118.79
755	118.77
756	118.74
757	118.73
758	118.70
759	118.66
760	118.64
761	118.61
762	118.59
763	118.58
764	118.55
765	118.50
766	118.45
767	118.42
768	118.40
769	118.38
770	118.35
771	118.32
772	118.29
773	118.25
774	118.22
775	118.19
776	118.16
777	118.13
778	118.09
779	118.07
780	118.04
781	118.03
782	118.02
783	118.01
784	118.01
785	118.01
786	118.01
787	118.04
788	118.04
789	118.04
790	118.07
791	118.07
792	118.08
793	118.07
794	118.07
795	118.08
796	118.24
797	118.61
798	118.77
799	118.86
800	118.92
801	119.12
802	119.25
803	119.32
804	119.36
805	119.36
806	119.44
807	119.47
808	119.49
809	119.50
810	119.48
811	119.45
812	119.42
813	119.38
814	119.32
815	119.26
816	119.20
817	119.14
818	119.11
819	119.06
820	119.03
821	119.03
822	119.01
823	119.00
824	118.99
825	119.00
826	119.01
827	119.02
828	119.00
829	118.98
830	118.95
831	118.93
832	118.90
833	118.87
834	118.88
835	118.87
836	118.84
837	118.94
838	119.08
839	119.15
840	119.19
841	119.21
842	119.21
843	119.20
844	119.22
845	119.23
846	119.22
847	119.20
848	119.17
849	119.16
850	119.12
851	119.09
852	119.05
853	119.01
854	118.97
855	118.95
856	118.91
857	118.87
858	118.83
859	118.80
860	118.76
861	118.72
862	118.69
863	118.67
864	118.64
865	118.64
866	118.67
867	118.69
868	118.73
869	118.76
870	118.79
871	118.81
872	118.82
873	118.82
874	118.83
875	118.81
876	118.78
877	118.78
878	118.80
879	118.81
880	118.82
881	118.82
882	118.82
883	118.87
884	118.88
885	118.88
886	118.87
887	118.86
888	118.86
889	118.85
890	118.86
891	118.85
892	118.88
893	118.93
894	118.95
895	118.95
896	118.95
897	118.93
898	118.91
899	118.92
900	118.92
901	118.92
902	118.91
903	118.89
904	118.95
905	118.98
906	119.02
907	119.07
908	119.10
909	119.10
910	119.10
911	119.10
912	119.09
913	119.07
914	119.05
915	119.04
916	119.02
917	118.99
918	118.97
919	118.95
920	118.94
921	118.92
922	118.91
923	118.87
924	118.83
925	118.80
926	118.77
927	118.74
928	118.71
929	118.69
930	118.64
931	118.59
932	118.52
933	118.42
934	118.35
935	118.31
936	118.27
937	118.28
938	118.28
939	118.27
940	118.27
941	118.30
942	118.32
943	118.34
944	118.34
945	118.37
946	118.39
947	118.41
948	118.42
949	118.45
950	118.48
951	118.50
952	118.58
953	118.62
954	118.65
955	118.67
956	118.70
957	118.75
958	118.84
959	118.89
960	118.92
961	118.92
962	118.94
963	118.94
964	118.95
965	118.95
966	118.94
967	118.85
968	118.77
969	118.71
970	118.77
971	118.90
972	118.93
973	118.92
974	118.88
975	118.89
976	118.90
977	118.91
978	118.91
979	118.93
980	118.92
981	118.98
982	119.23
983	119.31
984	119.31
985	119.30
986	119.27
987	119.22
988	119.16
989	119.11
990	119.04
991	118.99
992	118.95
993	118.91
994	118.92
995	118.92
996	118.94
997	118.99
998	119.02
999	119.02
1000	119.00
1001	118.98
1002	119.00
1003	119.02
1004	119.03
1005	119.03
1006	119.02
1007	119.04
1008	119.04
1009	119.05
1010	119.03
1011	119.01
1012	118.99
1013	118.97
1014	118.95
1015	118.93
1016	118.92
1017	118.93
1018	118.96
1019	118.96
1020	118.95
1021	118.93
1022	118.92
1023	118.97
1024	119.02
1025	119.05
1026	119.07
1027	119.08
1028	119.07
1029	119.06
1030	119.06
1031	119.09
1032	119.11
1033	119.15
1034	119.15
1035	119.14
1036	119.12
1037	119.12
1038	119.11
1039	119.10
1040	119.09
1041	119.07
1042	119.05
1043	119.02
1044	118.99
1045	119.00
1046	119.00
1047	118.99
1048	118.98
1049	118.95
1050	118.92
1051	118.92
1052	118.92
1053	118.92
1054	118.91
1055	118.91
1056	118.90
1057	118.93
1058	118.96
1059	118.98
1060	118.98
1061	118.97
1062	118.95
1063	118.94
1064	118.97
1065	119.02
1066	119.04
1067	119.05
1068	119.04
1069	119.03
1070	119.01
1071	118.99
1072	119.09
1073	119.20
1074	119.27
1075	119.29
1076	119.29
1077	119.29
1078	119.27
1079	119.24
1080	119.22
1081	119.18
1082	119.15
1083	119.12
1084	119.08
1085	119.04
1086	119.03
1087	119.04
1088	119.05
1089	119.05
1090	119.04
1091	119.02
1092	119.04
1093	119.06
1094	119.05
1095	119.04
1096	119.02
1097	119.01
1098	118.99
1099	118.97
1100	118.95
1101	118.92
1102	118.89
1103	118.87
1104	118.86
1105	118.88
1106	118.89
1107	118.89
1108	118.92
1109	118.94
1110	118.94
1111	118.94
1112	118.95
1113	118.96
1114	118.98
1115	119.00
1116	119.02
1117	119.04
1118	119.05
1119	119.05
1120	119.05
1121	119.05
1122	119.05
1123	119.12
1124	119.16
1125	119.18
1126	119.18
1127	119.16
1128	119.14
1129	119.11
1130	119.08
1131	119.05
1132	119.05
1133	119.05
1134	119.06
1135	119.06
1136	119.05
1137	119.06
1138	119.06
1139	119.06
1140	119.05
1141	119.04
1142	119.03
1143	119.04
1144	119.05
1145	119.05
1146	119.06
1147	119.06
1148	119.05
1149	119.04
1150	119.03
1151	119.05
1152	119.06
1153	119.07
1154	119.06
1155	119.05
1156	119.07
1157	119.07
1158	119.09
1159	119.09
1160	119.10
1161	119.11
1162	119.12
1163	119.16
1164	119.23
1165	119.27
1166	119.28
1167	119.28
1168	119.26
1169	119.23
1170	119.21
1171	119.19
1172	119.18
1173	119.16
1174	119.15
1175	119.14
1176	119.13
1177	119.12
1178	119.11
1179	119.09
1180	119.09
1181	119.09
1182	119.08
1183	119.05
1184	119.05
1185	119.08
1186	119.06
1187	119.06
1188	119.06
1189	119.05
1190	119.05
1191	119.04
1192	119.05
1193	119.04
1194	119.05
1195	119.06
1196	119.08
1197	119.07
1198	119.07
1199	119.08
1200	119.08
1201	119.09
1202	119.08
1203	119.08
1204	119.08
1205	119.08
1206	119.07
1207	119.03
1208	119.00
1209	119.05
1210	119.10
1211	119.10
1212	119.09
1213	119.08
1214	119.08
1215	119.08
1216	119.07
1217	119.06
1218	119.09
1219	119.09
1220	119.09
1221	119.09
1222	119.09
1223	119.08
1224	119.06
1225	119.06
1226	119.06
1227	119.06
1228	119.05
1229	119.03
1230	119.01
1231	119.02
1232	119.03
1233	119.03
1234	119.02
1235	119.01
1236	119.00
1237	118.98
1238	118.99
1239	119.02
1240	119.04
1241	119.04
1242	119.03
1243	119.02
1244	119.01
1245	119.00
1246	119.00
1247	119.01
1248	119.00
1249	119.03
1250	119.11
1251	119.14
1252	119.16
1253	119.16
1254	119.14
1255	119.12
1256	119.09
1257	119.08
1258	119.06
1259	119.05
1260	119.04
1261	119.04
1262	119.03
1263	119.02
1264	119.00
1265	118.98
1266	118.98
1267	118.97
1268	118.96
1269	118.95
1270	118.96
1271	118.98
1272	118.98
1273	119.02
1274	119.03
1275	119.03
1276	119.02
1277	119.01
1278	119.00
1279	118.99
1280	119.00
1281	118.99
1282	118.99
1283	118.99
1284	118.98
1285	118.98
1286	118.98
1287	118.98
1288	118.99
1289	118.98
1290	118.98
1291	118.97
1292	118.97
1293	118.97
1294	118.95
1295	118.95
1296	118.95
1297	118.97
1298	118.98
1299	118.97
1300	118.96
1301	118.97
1302	118.97
1303	118.96
1304	118.95
1305	118.97
1306	119.00
1307	119.00
1308	119.00
1309	119.01
1310	119.01
1311	119.01
1312	119.01
1313	119.01
1314	119.03
1315	119.02
1316	119.00
1317	118.99
1318	118.98
1319	119.02
1320	119.03
1321	119.03
1322	119.03
1323	119.03
1324	119.07
1325	119.08
1326	119.09
1327	119.10
1328	119.10
1329	119.09
1330	119.08
1331	119.06
1332	119.05
1333	119.02
1334	119.00
1335	118.99
1336	118.97
1337	118.95
1338	118.93
1339	118.92
1340	118.92
1341	118.93
1342	118.94
1343	118.95
1344	118.98
1345	118.99
1346	118.98
1347	118.97
1348	118.97
1349	118.95
1350	118.94
1351	118.94
1352	118.93
1353	118.92
1354	118.93
1355	118.93
1356	118.94
1357	118.94
1358	118.97
1359	118.97
1360	118.96
1361	118.95
1362	118.94
1363	118.94
1364	118.93
1365	118.95
1366	118.98
1367	119.00
1368	119.06
1369	119.09
1370	119.12
1371	119.14
1372	119.17
1373	119.20
1374	119.22
1375	119.23
1376	119.24
1377	119.26
1378	119.27
1379	119.27
1380	119.29
1381	119.30
1382	119.30
1383	119.31
1384	119.32
1385	119.27
1386	119.23
1387	119.19
1388	119.14
1389	119.12
1390	119.09
1391	119.05
1392	119.02
1393	118.98
1394	118.95
1395	118.93
1396	118.87
1397	118.81
1398	118.78
1399	118.84
1400	118.88
1401	118.87
1402	118.91
1403	118.96
1404	118.99
1405	119.02
1406	119.05
1407	119.07
1408	119.11
1409	119.14
1410	119.18
1411	119.21
1412	119.23
1413	119.28
1414	119.30
1415	119.28
1416	119.25
1417	119.21
1418	119.17
1419	119.14
1420	119.11
1421	119.08
1422	119.04
1423	119.02
1424	118.98
1425	118.95
1426	118.92
1427	118.94
1428	118.98
1429	119.01
1430	119.03
1431	119.07
1432	119.10
1433	119.12
1434	119.15
1435	119.18
1436	119.21
1437	119.23
1438	119.27
1439	119.30
1440	119.34
1441	119.31
1442	119.28
1443	119.25
1444	119.21
1445	119.17
1446	119.14
1447	119.11
1448	119.10
1449	119.09
1450	119.07
1451	119.05
1452	119.08
1453	119.07
1454	119.05
1455	119.04
1456	119.02
1457	119.03
1458	119.02
1459	118.99
1460	118.98
1461	118.97
1462	119.00
1463	119.03
1464	119.06
1465	119.03
1466	119.06
1467	119.09
1468	119.11
1469	119.14
1470	119.17
1471	119.20
1472	119.24
1473	119.21
1474	119.18
1475	119.17
1476	119.16
1477	119.16
1478	119.16
1479	119.14
1480	119.12
1481	119.09
1482	119.08
1483	119.06
1484	119.03
1485	119.01
1486	118.98
1487	119.01
1488	119.04
1489	119.07
1490	119.11
1491	119.14
1492	119.21
1493	119.29
1494	119.30
1495	119.30
1496	119.28
1497	119.27
1498	119.25
1499	119.22
1500	119.20
1501	119.22
1502	119.20
1503	119.18
1504	119.16
1505	119.13
1506	119.09
1507	119.06
1508	119.04
1509	119.02
1510	118.99
1511	118.97
1512	118.95
1513	118.94
1514	118.91
1515	118.89
1516	118.88
1517	118.88
1518	118.86
1519	118.85
1520	118.89
1521	118.92
1522	118.93
1523	118.94
1524	118.94
1525	118.93
1526	118.91
1527	118.90
1528	118.90
1529	118.89
1530	118.87
1531	118.86
1532	118.82
1533	118.84
1534	118.89
1535	118.92
1536	118.93
1537	118.93
1538	118.91
1539	118.91
1540	118.92
1541	118.90
1542	118.88
1543	118.84
1544	118.79
1545	118.76
1546	118.73
1547	118.72
1548	118.71
1549	118.72
1550	118.73
1551	118.75
1552	118.78
1553	118.83
1554	118.88
1555	118.90
1556	118.91
1557	118.92
1558	118.93
1559	118.94
1560	118.94
1561	118.94
1562	118.96
1563	118.97
1564	119.00
1565	119.02
1566	119.03
1567	119.04
1568	119.04
1569	119.04
1570	119.03
1571	119.04
1572	119.05
1573	119.04
1574	119.03
1575	119.02
1576	119.01
1577	119.00
1578	118.98
1579	118.96
1580	118.94
1581	118.91
1582	118.95
1583	118.98
1584	119.01
1585	119.05
1586	119.08
1587	119.11
1588	119.14
1589	119.16
1590	119.21
1591	119.20
1592	119.18
1593	119.17
1594	119.14
1595	119.12
1596	119.09
1597	119.06
1598	119.02
1599	119.05
1600	119.09
1601	119.11
1602	119.14
1603	119.19
1604	119.16
1605	119.19
1606	119.30
1607	119.36
1608	119.37
1609	119.37
1610	119.37
1611	119.38
1612	119.39
1613	119.37
1614	119.34
1615	119.32
1616	119.29
1617	119.25
1618	119.18
1619	119.12
1620	119.21
1621	119.26
1622	119.27
1623	119.33
1624	119.45
1625	119.48
1626	119.60
1627	119.80
1628	119.84
1629	119.83
1630	119.80
1631	119.78
1632	119.73
1633	119.64
1634	119.56
1635	119.48
1636	119.41
1637	119.33
1638	119.24
1639	119.20
1640	119.16
1641	119.10
1642	119.06
1643	119.03
1644	119.02
1645	119.01
1646	119.00
1647	118.99
1648	118.97
1649	118.95
1650	118.94
1651	118.94
1652	118.95
1653	118.95
1654	118.95
1655	118.97
1656	118.99
1657	118.98
1658	118.98
1659	118.98
1660	118.95
1661	118.95
1662	118.96
1663	118.98
1664	118.99
1665	119.02
1666	119.08
1667	119.09
1668	119.11
1669	119.12
1670	119.11
1671	119.11
1672	119.10
1673	119.09
1674	119.07
1675	119.07
1676	119.04
1677	119.03
1678	119.01
1679	118.99
1680	118.98
1681	118.98
1682	118.98
1683	119.03
1684	119.04
