$Withdrawal from North Dyke + Towns, Nashua River, Wachusett Aqueduct, Spillway, , , , 
FROM: 2017_WaterBalance, , , , ,,,
JDAY,ND+T,Nash,Wach,Spill,,,
180,0.09,4.46,0,1.59,,,
181,0.10,4.46,0,0,,,
182,0.09,4.46,0,0,,,
183,0.08,4.46,0,0,,,
184,0.08,4.46,0,0,,,
185,0.08,4.46,0,0,,,
186,0.08,4.46,0,0,,,
187,0.08,4.46,0,1.29,,,
188,0.08,4.46,0,3.14,,,
189,0.08,4.46,0,4.85,,,
190,0.07,4.46,0,5.48,,,
191,0.07,3.3,0,5.48,,,
192,0.07,2.29,0,5.93,,,
193,0.07,2.28,0,5.75,,,
194,0.07,2.28,0,5.3,,,
195,0.07,2.28,0,5.12,,,
196,0.07,3.05,0,4.58,,,
197,0.07,4.13,0,3.59,,,
198,0.07,4.46,0,3.86,,,
199,0.07,4.46,0,3.59,,,
200,0.07,4.46,0,3.32,,,
201,0.07,4.46,0,2.6,,,
202,0.07,4.46,0,2.87,,,
203,0.07,4.46,0,2.87,,,
204,0.07,4.46,0,4.13,,,
205,0.07,4.46,0,10.42,,,
206,0.07,4.46,0,10.96,,,
207,0.07,4.46,0,10.6,,,
208,0.07,4.46,0,9.97,,,
209,0.07,4.46,0,8.8,,,
210,0.07,4.46,0,4.43,,,
211,0.07,4.46,0,5.27,,,
212,0.07,4.46,0,9.61,,,
213,0.07,4.46,0,9.7,,,
214,0.07,4.46,0,9.34,,,
215,0.07,4.46,0,7.85,,,
216,0.07,4.46,1.7,5.39,,,
217,0.07,4.46,2.63,4.76,,,
218,0.07,4.46,1.59,3.14,,,
219,0.07,4.46,1.92,2.15,,,
220,0.07,4.46,4.38,1.53,,,
221,0.07,4.46,4.38,0.72,,,
222,0.07,4.46,4.38,0,,,
223,0.07,4.46,4.38,0.49,,,
224,0.07,4.46,4.38,0.09,,,
225,0.07,2.52,4.38,0,,,
226,0.07,0.8,4.38,0,,,
227,0.07,1.41,4.38,0,,,
228,0.07,1.41,4.38,0,,,
229,0.07,2.2,4.38,0,,,
230,0.07,4.46,4.38,0,,,
231,0.07,4.46,4.38,0,,,
232,0.07,4.46,4.38,0,,,
233,0.07,4.46,4.38,0,,,
234,0.07,4.46,4.38,0,,,
235,0.07,4.46,4.38,0,,,
236,0.07,4.46,4.38,0,,,
237,0.07,4.46,2.19,0,,,
238,0.07,4.46,0,0,,,
239,0.07,4.46,0,0,,,
240,0.07,4.46,0,0,,,
241,0.07,4.46,0,0,,,
242,0.07,4.46,0,0,,,
243,0.07,4.46,1.51,0,,,
244,0.07,4.46,2.19,1.01,,,
245,0.07,4.46,2.19,0.98,,,
246,0.07,4.46,2.19,0.27,,,
247,0.07,4.46,2.19,0.09,,,
248,0.07,4.46,2.19,0,,,
249,0.07,4.46,2.19,0,,,
250,0.07,4.46,2.19,0,,,
251,0.07,4.46,2.19,0,,,
252,0.07,4.46,2.19,0,,,
253,0.07,4.46,2.19,0,,,
254,0.07,4.46,2.19,0,,,
255,0.07,4.46,2.19,0,,,
256,0.07,4.46,2.19,0,,,
257,0.07,4.46,2.19,0,,,
258,0.07,4.46,2.19,0,,,
259,0.07,4.46,2.19,0,,,
260,0.07,4.46,2.19,0,,,
261,0.07,4.46,2.19,0,,,
262,0.07,4.46,2.19,0,,,
263,0.07,4.46,2.19,0,,,
264,0.07,4.46,0.68,0,,,
265,0.07,4.46,0,0,,,
266,0.07,4.46,0,0,,,
267,0.07,4.46,0,0,,,
268,0.07,4.46,0,0,,,
269,0.07,4.46,0,0,,,
270,0.07,4.46,0,0,,,
271,0.07,4.46,0,0,,,
272,0.07,4.46,0,0,,,
273,0.07,4.46,1.53,0,,,
274,0.07,4.46,2.19,0,,,
275,0.07,4.46,2.19,0,,,
276,0.07,4.46,2.19,0,,,
277,0.07,4.35,2.19,0,,,
278,0.07,2.07,2.19,0,,,
279,0.07,1.14,2.19,0,,,
280,0.07,3.38,2.19,0,,,
281,0.07,4.46,2.19,0,,,
282,0.06,4.46,2.19,0,,,
283,0.08,4.46,2.19,0,,,
284,0.06,4.46,2.19,0,,,
285,0.08,4.46,2.19,0,,,
286,0.10,4.46,2.19,0,,,
287,0.10,4.46,2.19,0,,,
288,0.09,4.46,2.19,0,,,
289,0.08,4.46,2.19,0,,,
290,0.08,4.46,2.19,0,,,
291,0.08,4.46,2.19,0,,,
292,0.08,4.46,2.19,0,,,
293,0.06,3.94,2.19,0,,,
294,0.06,4.46,2.19,0,,,
295,0.08,4.46,2.19,0,,,
296,0.06,4.46,2.19,0,,,
297,0.08,4.46,2.19,0,,,
298,0.07,4.46,2.19,0,,,
299,0.07,4.46,2.19,0,,,
300,0.07,4.46,0.73,0,,,
301,0.06,4.46,0,0,,,
302,0.08,4.46,0,0,,,
303,0.05,4.46,0,0,,,
304,0.08,4.46,0,0,,,
305,0.07,4.46,0,0,,,
306,0.06,4.46,0,0,,,
307,0.08,4.46,0,0,,,
308,0.05,4.46,0,0,,,
309,0.07,4.46,0,0,,,
310,0.07,4.46,0,0,,,
311,0.07,4.46,0,0,,,
312,0.06,4.46,0,0,,,
313,0.07,2.84,0,0,,,
314,0.07,0.98,0,0,,,
315,0.05,0.08,0,0,,,
316,0.07,0.08,0,0,,,
317,0.05,0.08,0,0,,,
318,0.07,0.08,0,0,,,
319,0.07,0.08,0,0,,,
320,0.07,0.08,0,0,,,
321,0.05,0.08,0,0,,,
322,0.07,0.08,0,0,,,
323,0.07,0.08,0,0,,,
324,0.06,0.08,0,0,,,
325,0.07,0.08,0,0,,,
326,0.06,0.08,0,0,,,
327,0.07,0.08,0,0,,,
328,0.05,0.6,0,0,,,
329,0.08,2.38,0,0,,,
330,0.06,4.04,0,0,,,
331,0.07,4.46,0,0,,,
332,0.06,4.46,0,0,,,
333,0.07,4.46,0,0,,,
334,0.05,3.21,0,0,,,
335,0.08,0.73,0,0,,,
336,0.05,0.08,0,0,,,
337,0.06,0.08,0,0,,,
338,0.06,0.08,0,0,,,
339,0.07,0.08,0,0,,,
340,0.07,0.08,0,0,,,
341,0.05,0.08,0,0,,,
342,0.07,0.08,0,0,,,
343,0.06,0.08,0,0,,,
344,0.06,0.08,0,0,,,
345,0.05,0.08,0,0,,,
346,0.07,0.08,0,0,,,
347,0.07,0.08,0,0,,,
348,0.07,0.08,0,0,,,
349,0.06,0.08,0,0,,,
350,0.07,0.08,0,0,,,
351,0.06,0.08,0,0,,,
352,0.06,0.08,0,0,,,
353,0.07,0.08,0,0,,,
354,0.06,0.08,0,0,,,
355,0.07,0.08,0,0,,,
356,0.06,0.08,0,0,,,
357,0.08,0.08,0,0,,,
358,0.07,0.08,0,0,,,
359,0.07,0.08,0,0,,,
360,0.06,0.08,0,0,,,
361,0.08,0.08,0,0,,,
362,0.09,0.08,0,0,,,
363,0.06,0.08,0,0,,,
364,0.08,0.08,0,0,,,
365,0.08,0.08,0,0,,,
366,0.07,0.08,0,0,,,
367,0.08,0.08,0,0,,,
368,0.07,0.08,0,0,,,
369,0.07,0.08,0,0,,,
370,0.05,0.08,0,0,,,
371,0.08,0.08,0,0,,,
372,0.06,0.08,0,0,,,
373,0.07,0.08,0,0,,,
374,0.08,0.08,0,0,,,
375,0.07,0.08,0,0,,,
376,0.06,0.08,0,0,,,
377,0.06,0.08,0,0,,,
378,0.07,0.07,0,0,,,
379,0.08,0.07,0,0,,,
380,0.07,0.07,0,0,,,
381,0.08,0.07,0,0,,,
382,0.07,0.07,0,0,,,
383,0.09,0.07,0,0,,,
384,0.07,0.07,0,0,,,
385,0.08,0.07,0,0,,,
386,0.06,0.07,0,0,,,
387,0.06,0.07,0,0,,,
388,0.07,0.07,0,0,,,
389,0.08,0.07,0,0,,,
390,0.07,0.07,0,0,,,
391,0.06,0.07,0,0,,,
392,0.07,0.07,0,0,,,
393,0.06,0.07,0,0,,,
394,0.07,0.07,0,0,,,
395,0.07,0.07,0,0,,,
396,0.08,0.07,0,0,,,
397,0.07,0.07,0,0,,,
398,0.06,0.07,0,0,,,
399,0.07,0.07,0,0,,,
400,0.06,1.35,0,0,,,
401,0.07,2.27,0,0,,,
