$Cosgrove Out, 
FROM: 2017_WaterBalance, 
JDAY,m3/s
458,7.7679
459,7.5506
460,8.0671
461,7.6349
462,8.104
463,7.8432
464,7.3889
465,7.7376
466,7.5689
467,7.8157
468,7.8549
469,7.3273
470,7.9541
471,7.5801
472,7.1272
473,7.3204
474,7.4017
475,7.6688
476,7.5025
477,7.6228
478,7.9718
479,7.4471
480,7.9071
481,7.8459
482,7.5511
483,7.9291
484,7.6775
485,8.1039
486,11.2971
487,7.3565
488,8.2855
489,9.3727
490,8.7063
491,8.6193
492,8.9187
493,7.7568
494,7.8276
495,8.1343
496,8.2383
497,8.2948
498,8.3088
499,8.4452
500,8.0475
501,8.4724
502,8.7552
503,8.5398
504,7.8797
505,8.262
506,8.653
507,8.6976
508,8.6169
509,9.5736
510,9.6539
511,10.8241
512,9.1343
513,9.6433
514,8.9012
515,8.6467
516,9.2653
517,9.0591
518,8.7423
519,9.1584
520,8.8177
521,8.9699
522,8.3919
523,8.7198
524,8.6011
525,9.0395
526,8.2951
527,8.5329
528,8.1186
529,8.2564
530,8.4127
531,9.1591
532,8.878
533,8.9472
534,9.8134
535,9.9984
536,9.3379
537,10.1769
538,9.7461
539,9.9082
540,10.0185
541,9.8007
542,9.8922
543,9.6287
544,10.4142
545,10.8654
546,10.829
547,10.6539
548,11.0301
549,10.7009
550,10.6768
551,11.742
552,12.8199
553,12.929
554,12.8607
555,12.4804
556,10.7625
557,9.6764
558,10.922
559,10.7737
560,9.8135
561,9.5569
562,10.9159
563,10.371
564,10.8022
565,11.3213
566,10.854
567,10.8467
568,10.832
569,10.4568
570,9.0245
571,9.703
572,10.5258
573,10.9121
574,11.3416
575,10.7539
576,10.6601
577,10.4068
578,10.2868
579,10.7835
580,11.1195
581,11.6938
582,10.5353
583,10.3628
584,10.1607
585,10.0368
586,11.417
587,10.6474
588,10.9015
589,10.9069
590,10.925
591,10.272
592,10.2733
593,9.7937
594,10.4912
595,11.0029
596,10.8875
597,11.1308
598,10.3352
599,9.5821
600,8.748
601,8.585
602,8.4981
603,8.7512
604,8.9481
605,8.9449
606,9.6621
607,10.7385
608,10.917
609,11.3455
610,11.1
611,10.4245
612,8.8248
613,9.2205
614,9.7598
615,10.4088
616,9.7701
617,9.5064
618,9.2701
619,9.3984
620,8.9565
621,9.4475
622,8.8652
623,9.4835
624,8.922
625,8.793
626,8.2817
627,8.7852
628,9.1246
629,9.3055
630,9.4467
631,9.6947
632,9.6904
633,9.5998
634,9.1839
635,8.7393
636,8.6871
637,8.4699
638,8.6901
639,8.6087
640,7.882
641,8.3182
642,8.1635
643,8.2073
644,7.948
645,8.1981
646,8.0897
647,8.0036
648,7.7996
649,8.4105
650,8.2307
651,8.2019
652,8.2616
653,7.5717
654,7.9576
655,7.7987
656,8.115
657,8.0492
658,7.8987
659,8.0148
660,7.7814
661,7.8451
662,7.544
663,7.713
664,7.9163
665,7.7697
666,7.9899
667,7.5029
668,7.7655
669,7.3973
670,7.4687
671,7.745
672,7.3098
673,7.6412
674,7.3302
675,7.6958
676,7.8131
677,7.31
678,7.6598
679,7.6235
680,7.7036
681,7.5831
682,7.697
683,7.1922
684,8.5871
685,7.2585
686,7.6561
687,7.2787
688,7.315
689,7.5066
690,7.3107
691,7.5205
692,7.2
693,7.3557
694,7.0215
695,6.617
696,7.0105
697,7.0598
698,7.2779
699,7.3096
700,7.2543
701,7.5145
702,7.1118
703,7.2239
704,7.4075
705,7.1859
706,7.2097
707,7.5334
708,7.2469
709,7.3283
710,7.2518
711,7.1161
712,7.5199
713,7.3802
714,7.6156
715,7.351
716,7.2569
717,7.4671
718,7.2115
719,7.4081
720,7.3448
721,7.1379
722,7.2478
723,7.1947
724,6.422
725,6.6623
726,6.606
727,7.4406
728,7.1173
729,7.1477
730,7.497
731,6.876549
732,7.380229
733,7.43021
734,7.329509
735,7.7208
736,7.343144
737,7.22015
738,7.256537
739,7.171212
740,7.635588
741,7.301475
742,6.987557
743,7.557358
744,7.263303
745,7.41544
746,7.258858
747,7.63043
748,7.559476
749,7.432748
750,7.75156
751,7.500851
752,7.658973
753,7.641224
754,7.644968
755,8.150665
756,7.68385
757,8.024507
758,7.622435
759,7.751466
760,7.939637
761,7.854951
762,7.697717
763,7.617605
764,7.788078
765,7.659045
766,7.677934
767,7.890289
768,7.720917
769,7.850435
770,7.742082
771,7.91539
772,7.504341
773,7.74591
774,7.546866
775,7.76705
776,7.688956
777,7.624008
778,7.910515
779,7.530092
780,7.727578
781,7.353517
782,7.31048
783,7.845304
784,7.680597
785,7.648408
786,7.428973
787,7.465026
788,7.539144
789,7.589776
790,7.787578
791,7.808709
792,7.561006
793,7.744031
794,7.503915
795,7.726823
796,7.756306
797,7.714351
798,7.47308
799,7.352708
800,7.303325
801,7.390778
802,7.579811
803,7.404946
804,7.415461
805,7.449897
806,7.363323
807,7.575394
808,7.216456
809,7.388583
810,7.535118
811,7.374854
812,7.641167
813,7.368956
814,7.31018
815,7.427138
816,7.327236
817,7.608932
818,7.315256
819,7.427678
820,7.408394
821,7.172995
822,7.484997
823,7.294975
824,7.529516
825,7.297392
826,7.319156
827,7.457255
828,7.360104
829,7.535416
830,7.503719
831,7.606732
832,7.696857
833,7.387468
834,7.601886
835,7.450424
836,7.146821
837,7.613317
838,7.441075
839,7.42068
840,7.35675
841,7.492208
842,7.573215
843,7.280368
844,7.384165
845,7.463098
846,7.562376
847,7.934138
848,7.608415
849,8.158914
850,7.611004
851,7.732726
852,7.879684
853,8.078855
854,7.791227
855,7.826082
856,8.324005
857,7.313
858,7.810425
859,7.831736
860,7.710984
861,7.824436
862,7.784708
863,8.159512
864,7.610047
865,7.604095
866,7.36578
867,7.313823
868,7.670808
869,7.32851
870,7.599175
871,7.616883
872,7.69233
873,7.561873
874,7.9857
875,8.493056
876,8.563981
877,9.278975
878,8.573466
879,8.684675
880,9.408729
881,9.462356
882,9.385589
883,8.41274
884,8.983802
885,8.657648
886,9.272254
887,9.640615
888,10.15219
889,11.16817
890,9.544535
891,9.161734
892,8.180825
893,7.93845
894,8.179525
895,8.483442
896,8.770729
897,9.64518
898,9.052397
899,9.172381
900,9.306259
901,10.2974
902,10.30841
903,9.320468
904,8.371241
905,8.156168
906,8.109528
907,7.984545
908,9.107764
909,9.272659
910,9.505804
911,9.561191
912,9.834492
913,9.316603
914,8.530175
915,9.644726
916,10.12705
917,10.92494
918,10.21036
919,9.122832
920,8.933579
921,9.55267
922,10.6828
923,11.2443
924,10.84859
925,9.112895
926,10.16382
927,9.657914
928,10.69308
929,10.52315
930,10.66801
931,11.49719
932,11.72473
933,12.82956
934,10.90671
935,9.991483
936,10.50761
937,9.219839
938,10.20629
939,10.2836
940,10.27746
941,9.190455
942,10.1705
943,11.20397
944,10.4564
945,9.849713
946,9.66535
947,10.55996
948,9.883768
949,8.727253
950,9.254023
951,9.004882
952,8.771021
953,8.808397
954,9.702557
955,8.839594
956,8.917832
957,8.729635
958,8.481334
959,8.788415
960,9.366254
961,9.312243
962,9.148456
963,8.978846
964,8.912668
965,9.410931
966,9.407105
967,9.385439
968,9.122477
969,8.65786
970,7.609861
971,8.927541
972,8.567824
973,9.128796
974,9.013961
975,9.128744
976,8.722089
977,8.647294
978,9.318361
979,8.517176
980,8.240347
981,8.162767
982,8.318496
983,8.019471
984,8.385111
985,9.071016
986,9.045339
987,9.319245
988,8.794218
989,8.469796
990,8.700424
991,8.407574
992,8.935463
993,8.425206
994,8.68936
995,8.507056
996,8.027396
997,8.275982
998,8.068447
999,8.717035
1000,8.466158
1001,8.754341
1002,8.243567
1003,8.065908
1004,7.970962
1005,8.03444
1006,8.276312
1007,8.167146
1008,8.033987
1009,7.830304
1010,7.910405
1011,8.01335
1012,7.708132
1013,8.514263
1014,8.192674
1015,8.179534
1016,7.766474
1017,7.623868
1018,7.793614
1019,7.658074
1020,8.191936
1021,8.067424
1022,7.68799
1023,8.047273
1024,7.468555
1025,7.457474
1026,7.523395
1027,7.874772
1028,7.419953
1029,7.276669
1030,7.727414
1031,7.278885
