$West Boylston Daily Discharge,
Auto-Generated,
JDAY,Flow
356,0.0160855349
357,0.0146593947
358,0.0147920589
359,0.0152895497
360,0.0211267747
361,0.0543923242
362,0.0965132093
363,0.0474274534
364,0.0327348926
365,0.0280253134
366,0.0240122212
367,0.0215910994
368,0.0197338005
369,0.0179096677
370,0.0165166936
371,0.0155880441
372,0.0148252249
373,0.0140955718
374,0.0132664205
375,0.0132664205
376,0.0123709371
377,0.0127357637
378,0.0125367674
379,0.0123377711
380,0.0119066124
381,0.0121387748
382,0.0126362656
383,0.0163176972
384,0.0159528707
385,0.0143277342
386,0.0133990847
387,0.011608118
388,0.0104141401
389,0.0100161475
390,0.03880428
391,0.1654985961
392,0.1004931355
393,0.0431158667
394,0.0321047377
395,0.0260021842
396,0.0233157341
397,0.0210604426
398,0.0184403245
399,0.0169478522
400,0.0158533725
401,0.0148252249
402,0.0142614021
403,0.0133327526
404,0.0127357637
405,0.0120392766
406,0.0128684279
407,0.0126362656
408,0.0115417859
409,0.010977963
410,0.0113427896
411,0.0108784648
412,0.0108784648
413,0.0110774611
414,0.0110774611
415,0.0109116309
416,0.0108784648
417,0.0113096235
418,0.011641284
419,0.0125367674
420,0.0276604868
421,0.0709753498
422,0.3091075983
423,0.1608553489
424,0.1121012535
425,0.0978398514
426,0.089216678
427,0.0849050914
428,0.0686537262
429,0.0580405898
430,0.0550556452
431,0.0587039108
432,0.0699803683
433,0.0849050914
434,0.0772768996
435,0.0732969734
436,0.075618597
437,0.0865633939
438,0.3581933542
439,0.4576915082
440,0.3416103286
441,0.1993279684
442,0.150573873
443,0.113759556
444,0.0928649437
445,0.0782718811
446,0.0683220657
447,0.1402923971
448,0.1870565294
449,0.1220510688
450,0.0922016227
451,0.0766135785
452,0.0623521765
453,0.0742919549
454,0.2159109941
455,0.3316605132
456,0.2026445735
457,0.1356491499
458,0.0985031724
459,0.0759502575
460,0.0610255344
461,0.0517390401
462,0.0464324718
463,0.0431158667
464,0.0461008113
465,0.0573772688
466,0.0447741693
467,0.038140959
468,0.0348243539
469,0.0304796012
470,0.027162996
471,0.0267318374
472,0.0334977118
473,0.036814317
474,0.0344926934
475,0.0302474388
476,0.0304796012
477,0.0262675126
478,0.0227519112
479,0.0216242655
480,0.0199659629
481,0.0190704795
482,0.0187056529
483,0.0191368116
484,0.0187056529
485,0.0191368116
486,0.0176443393
487,0.0152563836
488,0.0155880441
489,0.0190704795
490,0.0140955718
491,0.0182081622
492,0.016815188
493,0.0233489001
494,0.0300484425
495,0.0231499038
496,0.0254715274
497,0.016151867
498,0.0130010921
499,0.0115086198
500,0.0180091659
501,0.0132332545
502,0.009717653
503,0.0096513209
504,0.026499675
505,0.0291529591
506,0.0202644574
507,0.0139297416
508,0.0113759556
509,0.0095186567
510,0.0087226715
511,0.0074291955
512,0.0080593505
513,0.0074955276
514,0.0062020516
515,0.0060362213
516,0.0056382287
517,0.0067327084
518,0.0085236752
519,0.0066332103
520,0.0113759556
521,0.0101819778
522,0.0066000442
523,0.0066000442
524,0.0049417416
525,0.0046100811
526,0.0056050627
527,0.0065668782
528,0.0063678819
529,0.0105468043
530,0.0125036013
531,0.009717653
532,0.0072633652
533,0.0059698892
534,0.004543749
535,0.0036482656
536,0.0033132885
537,0.0030479601
538,0.0027660487
539,0.003880428
540,0.0044774169
541,0.0054723985
542,0.0039799262
543,0.0034492693
544,0.0032469564
545,0.0032237402
546,0.002948462
547,0.0028323808
548,0.0025040369
549,0.0020264457
550,0.0018208162
551,0.0016815188
552,0.0015521712
553,0.0013763911
554,0.0013399085
555,0.0011873446
556,0.0016384029
557,0.0019468472
558,0.0018473491
559,0.0021093609
560,0.0023083572
561,0.0029086627
562,0.0029086627
563,0.0043779188
564,0.0032967055
565,0.0024178051
566,0.0024012221
567,0.0018340826
568,0.0018937815
569,0.0019468472
570,0.0030380103
571,0.0029020295
572,0.0022453417
573,0.0018473491
574,0.0016981018
575,0.0014758893
576,0.0013001092
577,0.0012503601
578,0.001057997
579,0.0009916649
580,0.0009584989
581,0.0009518657
582,0.000915383
583,0.0010878465
584,0.0011044295
585,0.0010049314
586,0.0009584989
587,0.0009817151
588,0.0009684487
589,0.000915383
590,0.0010911631
591,0.0010646302
592,0.0008789004
593,0.000882217
594,0.0010845299
595,0.001041414
596,0.0009584989
597,0.0009518657
598,0.0009352826
599,0.0008523675
600,0.0016616192
601,0.0040794243
602,0.005173904
603,0.0048090774
604,0.0031773077
605,0.0020098627
606,0.0015820206
607,0.0012702598
608,0.0010778967
609,0.0008988
610,0.0009021166
611,0.0008324679
612,0.000915383
613,0.0008125683
614,0.0007230199
615,0.0007230199
616,0.0007661358
617,0.000756186
618,0.0007230199
619,0.0006964871
620,0.0006268384
621,0.0006898539
622,0.0008225181
623,0.0007760856
624,0.000663321
625,0.0005969889
626,0.0007064369
627,0.0007396029
628,0.0006799041
629,0.0006964871
630,0.0006600044
631,0.0006202052
632,0.0005903557
633,0.0005770893
634,0.0005704561
635,0.0005903557
636,0.0005903557
637,0.0006135719
638,0.0007462362
639,0.0031574081
640,0.0112101253
641,0.0044110848
642,0.0031905741
643,0.0025405195
644,0.0047759114
645,0.0124372692
646,0.0076281918
647,0.0049749077
648,0.0033066553
649,0.0029783114
650,0.0027063498
651,0.0025206199
652,0.0021159941
653,0.0210272765
654,0.0318062432
655,0.014228236
656,0.0063678819
657,0.0048090774
658,0.0037145977
659,0.0031773077
660,0.0032237402
661,0.0035487675
662,0.0027726819
663,0.0030346937
664,0.0027958981
665,0.0034492693
666,0.0052070701
667,0.0057377269
668,0.0052734022
669,0.0048422435
670,0.0039467601
671,0.0046764132
672,0.005804059
673,0.0070312029
674,0.031043424
675,0.0283238078
676,0.0092201623
677,0.0163508633
678,0.0159528707
679,0.0136312471
680,0.0064010479
681,0.0037145977
682,0.0061688855
683,0.0043779188
684,0.0055718966
685,0.0115417859
686,0.0307449296
687,0.0444425088
688,0.0230172396
689,0.0139629076
690,0.009717653
691,0.0074291955
692,0.0090874981
693,0.0078271881
694,0.0063678819
695,0.0091538302
696,0.0166161917
697,0.0102814759
698,0.0070643689
699,0.007097535
700,0.0083578449
701,0.0424525457
702,0.0331660513
703,0.0222544204
704,0.0177770035
705,0.0147588928
706,0.0125036013
707,0.012901594
708,0.0111769593
709,0.0095849888
710,0.011608118
711,0.018771985
712,0.1184028032
713,0.0859000729
714,0.050412398
715,0.03880428
716,0.0287218004
717,0.0260021842
718,0.0234815643
719,0.020695616
720,0.0132664205
721,0.012271439
722,0.0119397785
723,0.0112764574
724,0.0106131364
725,0.0096181549
726,0.0109447969
727,0.0106131364
728,0.0099498154
729,0.0092864944
730,0.0092864944
731,0.0099498154
732,0.0132664205
733,0.0162513651
734,0.0139297416
735,0.0109447969
736,0.0089548339
737,0.0082915128
738,0.0076281918
739,0.0069648708
740,0.0066332103
741,0.0063015498
742,0.0066332103
743,0.0082915128
744,0.0076281918
745,0.0069648708
746,0.0069648708
747,0.0066332103
748,0.0066332103
749,0.0092864944
750,0.0096181549
751,0.0089548339
752,0.0082915128
753,0.0072965313
754,0.0069648708
755,0.0072965313
756,0.0072965313
757,0.0082915128
758,0.0086231733
759,0.0079598523
760,0.0076281918
761,0.0069648708
762,0.0066332103
763,0.0079598523
764,0.0089548339
765,0.0086231733
766,0.0082915128
767,0.0106131364
768,0.0112764574
769,0.0106131364
770,0.0096181549
771,0.0086231733
772,0.0076281918
773,0.0076281918
774,0.0072965313
775,0.0079598523
776,0.0086231733
777,0.0082915128
778,0.0086231733
779,0.012271439
780,0.0179096677
781,0.0169146862
782,0.013598081
783,0.011608118
784,0.0106131364
785,0.0092864944
786,0.0139297416
787,0.0198996308
788,0.0165830257
789,0.0189046493
790,0.0232162359
791,0.0212262728
792,0.0185729887
793,0.0169146862
794,0.0169146862
795,0.0391359406
796,0.3382937234
797,0.2782631705
798,0.1230460504
799,0.0802618442
800,0.1233777109
801,0.1684835407
802,0.1193977847
803,0.0922016227
804,0.074955276
805,0.0845734309
806,0.1190661242
807,0.1256993345
808,0.1316692237
809,0.0961815488
810,0.0746236155
811,0.0656687816
812,0.0590355713
813,0.051075719
814,0.0437791877
815,0.0384726195
816,0.0344926934
817,0.0315077488
818,0.0291861252
819,0.0271961621
820,0.0262011805
821,0.0305127672
822,0.0354876749
823,0.0384726195
824,0.0394676011
825,0.050412398
826,0.0464324718
827,0.037477638
828,0.0321710698
829,0.0268645016
830,0.0235478964
831,0.0222212544
832,0.0208946123
833,0.0265328411
834,0.037477638
835,0.0325027303
836,0.0285228041
837,0.1190661242
838,0.1300109212
839,0.0759502575
840,0.0600305529
841,0.0500807375
842,0.0384726195
843,0.0404625826
844,0.0524023611
845,0.0447741693
846,0.0384726195
847,0.0361509959
848,0.0351560144
849,0.0348243539
850,0.0301811067
851,0.025206199
852,0.0225529149
853,0.0208946123
854,0.0222212544
855,0.0252725311
856,0.0235810625
857,0.0203307895
858,0.0191699777
859,0.0190041474
860,0.0176111732
861,0.0199659629
862,0.027793151
863,0.0231167378
864,0.0172131806
865,0.0221880883
866,0.0437791877
867,0.0524023611
868,0.0507440585
869,0.0487540954
870,0.0464324718
871,0.0391359406
872,0.030346937
873,0.0267318374
874,0.0317730772
875,0.0298494462
876,0.0283569739
877,0.0228845754
878,0.0173126788
879,0.0139960737
880,0.0111437932
881,0.0099829814
882,0.0094854907
883,0.0130342582
884,0.0114422877
885,0.0092533283
886,0.0088885018
887,0.0077940221
888,0.0066663763
889,0.0063678819
890,0.0073960294
891,0.0102151438
892,0.0085236752
893,0.0172795127
894,0.0164835275
895,0.0182413282
896,0.0141287379
897,0.0099829814
898,0.0081256826
899,0.0206292839
900,0.0106794685
901,0.00772769
902,0.0055055645
903,0.0075618597
904,0.0464324718
905,0.0520707006
906,0.0457691508
907,0.0623521765
908,0.0441108483
909,0.0264333429
910,0.0234815643
911,0.018771985
912,0.012901594
913,0.010977963
914,0.0088553357
915,0.007097535
916,0.0060693874
917,0.0063678819
918,0.0052402361
919,0.0048422435
920,0.0053729003
921,0.0044110848
922,0.0037477638
923,0.0031706745
924,0.0036814317
925,0.0043779188
926,0.0035156014
927,0.003074493
928,0.0021060443
929,0.0021790096
930,0.0022619247
931,0.0013697579
932,0.0011807114
933,0.0010181978
934,0.0016848354
935,0.0018805151
936,0.0018838317
937,0.0021325771
938,0.0018639321
939,0.0018705653
940,0.0016583026
941,0.0016848354
942,0.0016848354
943,0.0011939778
944,0.0011143793
945,0.0013332753
946,0.0010115646
947,0.0009982981
948,0.0008291513
949,0.0005903557
950,0.0013399085
951,0.0016417195
952,0.0097508191
953,0.0060362213
954,0.0036814317
955,0.0027560989
956,0.0018970981
957,0.00772769
958,0.0358193354
959,0.0173126788
960,0.009054332
961,0.0062683837
962,0.0048754095
963,0.0036150996
964,0.0034492693
965,0.0027992147
966,0.0020629284
967,0.0018274494
968,0.0031905741
969,0.002981628
970,0.0832467888
971,0.1290159396
972,0.0660004421
973,0.0334977118
974,0.0217237636
975,0.0158202065
976,0.0123709371
977,0.0099829814
978,0.0081588486
979,0.0121387748
980,0.0361509959
981,0.1369757919
982,0.1479205889
983,0.0786035416
984,0.0530656821
985,0.0391359406
986,0.0309107598
987,0.0247750403
988,0.0203971216
989,0.0177106714
990,0.0154222139
