"","Date","JDAY","Temperature","Specific Conductivity","TDS"
"1",2018-01-01,1,1.83796875,141.611760416667,84.96705625
"2",2018-01-02,2,2.06851041666667,141.544895833333,84.9269375
"3",2018-01-03,3,2.17977083333333,141.5544375,84.9326625
"4",2018-01-04,4,2.25765625,141.968895833333,85.1813375
"5",2018-01-05,5,2.26360416666667,142.104520833333,85.2627125
"6",2018-01-06,6,2.288,142.554302083333,85.53258125
"7",2018-01-07,7,2.26958333333333,142.6034375,85.5620625
"8",2018-01-08,8,2.24759375,142.90871875,85.74523125
"9",2018-01-09,9,2.41870833333333,142.471895833333,85.4831375
"10",2018-01-10,10,2.47305208333333,142.1065625,85.2639375
"11",2018-01-11,11,2.46213541666667,142.186489583333,85.31189375
"12",2018-01-12,12,2.50246875,142.293208333333,85.375925
"13",2018-01-13,13,2.490625,143.159041666667,85.895425
"14",2018-01-14,14,2.46472916666667,143.774833333333,86.2649
"15",2018-01-15,15,2.52020833333333,143.45065625,86.07039375
"16",2018-01-16,16,2.58803125,142.85171875,85.71103125
"17",2018-01-17,17,2.64907291666667,142.599822916667,85.55989375
"18",2018-01-18,18,2.64161458333333,142.828291666667,85.696975
"19",2018-01-19,19,2.65614583333333,142.509020833333,85.5054125
"20",2018-01-20,20,2.67198958333333,142.52784375,85.51670625
"21",2018-01-21,21,2.675375,142.567020833333,85.5402125
"22",2018-01-22,22,2.69202083333333,142.470541666667,85.482325
"23",2018-01-23,23,2.72710416666667,142.5654375,85.5392625
"24",2018-01-24,24,2.74646875,142.454677083333,85.47280625
"25",2018-01-25,25,2.82563541666667,142.2311875,85.3387125
"26",2018-01-26,26,2.91869791666667,142.011333333333,85.2068
"27",2018-01-27,27,2.99472916666667,142.043302083333,85.22598125
"28",2018-01-28,28,3.06209375,142.135458333333,85.281275
"29",2018-01-29,29,3.09273958333333,142.159979166667,85.2959875
"30",2018-01-30,30,3.10123958333333,142.0534375,85.2320625
"31",2018-01-31,31,3.11834375,141.721072916667,85.03264375
"32",2018-02-01,32,3.18391666666667,141.680270833333,85.0081625
"33",2018-02-02,33,3.20533333333333,141.991229166667,85.1947375
"34",2018-02-03,34,3.25582291666667,141.7971875,85.0783125
"35",2018-02-04,35,3.32522916666667,141.568583333333,84.94115
"36",2018-02-05,36,3.36189583333333,141.956895833333,85.1741375
"37",2018-02-06,37,3.3038125,143.155302083333,85.89318125
"38",2018-02-07,38,3.27209375,143.483958333333,86.090375
"39",2018-02-08,39,3.4625,144.271958333333,86.563175
"40",2018-02-09,40,4.02432291666667,143.867614583333,86.32056875
"41",2018-02-10,41,3.94867708333333,142.851427083333,85.71085625
"42",2018-02-11,42,3.91204166666667,143.720427083333,86.23225625
"43",2018-02-12,43,3.87896875,144.36159375,86.61695625
"44",2018-02-13,44,4.128625,144.18915625,86.51349375
"45",2018-02-14,45,4.14429166666667,143.702854166667,86.2217125
"46",2018-02-15,46,4.13994791666667,144.310239583333,86.58614375
"47",2018-02-16,47,3.64157291666667,144.129677083333,86.47780625
"48",2018-02-17,48,3.35983333333333,143.08871875,85.85323125
"49",2018-02-18,49,3.40446875,143.304104166667,85.9824625
"50",2018-02-19,50,3.42264583333333,143.039291666667,85.823575
"51",2018-02-20,51,3.45655208333333,143.051322916667,85.83079375
"52",2018-02-21,52,3.54633333333333,142.943052083333,85.76583125
"53",2018-02-22,53,3.582125,142.525260416667,85.51515625
"54",2018-02-23,54,3.59389583333333,142.997802083333,85.79868125
"55",2018-02-24,55,3.63632291666667,143.013208333333,85.807925
"56",2018-02-25,56,3.66963541666667,142.06421875,85.23853125
