"","Julian_day","Constituent","Depth","Value","Elevation"
"1",102,"Temperature",0.493,4.996,118.71428
"4",102,"Specific Conductivity",0.493,152.4,118.71428
"9",102,"Temperature",0.984,4.857,118.22328
"12",102,"Specific Conductivity",0.984,152.7,118.22328
"17",102,"Temperature",0.987,4.99,118.22028
"20",102,"Specific Conductivity",0.987,152.7,118.22028
"25",102,"Temperature",1.987,4.798,117.22028
"28",102,"Specific Conductivity",1.987,155.7,117.22028
"33",102,"Temperature",2.916,4.788,116.29128
"36",102,"Specific Conductivity",2.916,155.8,116.29128
"41",102,"Temperature",3.974,4.69,115.23328
"44",102,"Specific Conductivity",3.974,156,115.23328
"49",102,"Temperature",4.978,4.685,114.22928
"52",102,"Specific Conductivity",4.978,155.9,114.22928
"57",102,"Temperature",5.978,4.623,113.22928
"60",102,"Specific Conductivity",5.978,155.9,113.22928
"65",102,"Temperature",7.972,4.589,111.23528
"68",102,"Specific Conductivity",7.972,156,111.23528
"73",102,"Temperature",9.96,4.525,109.24728
"76",102,"Specific Conductivity",9.96,156.1,109.24728
"81",102,"Temperature",12.008,4.519,107.19928
"84",102,"Specific Conductivity",12.008,156,107.19928
"89",102,"Temperature",13.962,4.495,105.24528
"92",102,"Specific Conductivity",13.962,156,105.24528
"97",102,"Temperature",16.023,4.451,103.18428
"100",102,"Specific Conductivity",16.023,156.2,103.18428
"105",102,"Temperature",18.037,4.472,101.17028
"108",102,"Specific Conductivity",18.037,156.2,101.17028
"113",102,"Temperature",19.986,4.463,99.22128
"116",102,"Specific Conductivity",19.986,156.3,99.22128
"121",102,"Temperature",21.973,4.477,97.23428
"124",102,"Specific Conductivity",21.973,156.2,97.23428
"129",102,"Temperature",23.965,4.467,95.24228
"132",102,"Specific Conductivity",23.965,156.4,95.24228
"137",102,"Temperature",26.022,4.435,93.18528
"140",102,"Specific Conductivity",26.022,157.3,93.18528
"145",102,"Temperature",28.035,4.41,91.17228
"148",102,"Specific Conductivity",28.035,158.4,91.17228
"153",113,"Temperature",0.533,6.868,118.759624
"156",113,"Specific Conductivity",0.533,159.8,118.759624
"161",113,"Temperature",0.996,6.383,118.296624
"164",113,"Specific Conductivity",0.996,160.4,118.296624
"169",113,"Temperature",1.976,6.179,117.316624
"172",113,"Specific Conductivity",1.976,160,117.316624
"177",113,"Temperature",2.994,6.093,116.298624
"180",113,"Specific Conductivity",2.994,159.9,116.298624
"185",113,"Temperature",3.975,6.049,115.317624
"188",113,"Specific Conductivity",3.975,159.8,115.317624
"193",113,"Temperature",4.997,6.021,114.295624
"196",113,"Specific Conductivity",4.997,159.6,114.295624
"201",113,"Temperature",6.026,5.951,113.266624
"204",113,"Specific Conductivity",6.026,159.8,113.266624
"209",113,"Temperature",6.98,5.914,112.312624
"212",113,"Specific Conductivity",6.98,159.8,112.312624
"217",113,"Temperature",7.985,5.872,111.307624
"220",113,"Specific Conductivity",7.985,160,111.307624
"225",113,"Temperature",9.008,5.575,110.284624
"228",113,"Specific Conductivity",9.008,160.8,110.284624
"233",113,"Temperature",9.993,5.555,109.299624
"236",113,"Specific Conductivity",9.993,160.7,109.299624
"241",113,"Temperature",10.997,5.487,108.295624
"244",113,"Specific Conductivity",10.997,160.5,108.295624
"249",113,"Temperature",12.038,5.457,107.254624
"252",113,"Specific Conductivity",12.038,159.8,107.254624
"257",113,"Temperature",12.991,5.446,106.301624
"260",113,"Specific Conductivity",12.991,159.8,106.301624
"265",113,"Temperature",13.979,5.435,105.313624
"268",113,"Specific Conductivity",13.979,159.7,105.313624
"273",113,"Temperature",16,5.378,103.292624
"276",113,"Specific Conductivity",16,159.7,103.292624
"281",113,"Temperature",17.979,5.321,101.313624
"284",113,"Specific Conductivity",17.979,159,101.313624
"289",113,"Temperature",20.052,5.269,99.240624
"292",113,"Specific Conductivity",20.052,159.2,99.240624
"297",113,"Temperature",21.977,5.276,97.315624
"300",113,"Specific Conductivity",21.977,161.7,97.315624
"305",113,"Temperature",23.957,5.256,95.335624
"308",113,"Specific Conductivity",23.957,162.6,95.335624
"313",113,"Temperature",26.043,5.228,93.249624
"316",113,"Specific Conductivity",26.043,165.2,93.249624
"321",113,"Temperature",28.058,5.221,91.234624
"324",113,"Specific Conductivity",28.058,166.2,91.234624
"329",113,"Temperature",30.001,5.196,89.291624
"332",113,"Specific Conductivity",30.001,171.8,89.291624
"337",121,"Temperature",0.485,9.213,118.679608
"340",121,"Specific Conductivity",0.485,163.6,118.679608
"345",121,"Temperature",0.97,9.166,118.194608
"348",121,"Specific Conductivity",0.97,163.8,118.194608
"353",121,"Temperature",1.962,9.009,117.202608
"356",121,"Specific Conductivity",1.962,164.3,117.202608
"361",121,"Temperature",2.987,8.817,116.177608
"364",121,"Specific Conductivity",2.987,166.3,116.177608
"369",121,"Temperature",3.96,8.743,115.204608
"372",121,"Specific Conductivity",3.96,168.1,115.204608
"377",121,"Temperature",4.986,8.718,114.178608
"380",121,"Specific Conductivity",4.986,169.4,114.178608
"385",121,"Temperature",6.005,8.715,113.159608
"388",121,"Specific Conductivity",6.005,169.9,113.159608
"393",121,"Temperature",6.981,8.646,112.183608
"396",121,"Specific Conductivity",6.981,171,112.183608
"401",121,"Temperature",7.988,8.572,111.176608
"404",121,"Specific Conductivity",7.988,170.6,111.176608
"409",121,"Temperature",8.966,8.539,110.198608
"412",121,"Specific Conductivity",8.966,169.7,110.198608
"417",121,"Temperature",12.005,7.689,107.159608
"420",121,"Specific Conductivity",12.005,161.6,107.159608
"425",121,"Temperature",14.001,6.842,105.163608
"428",121,"Specific Conductivity",14.001,161,105.163608
"433",121,"Temperature",15.981,6.251,103.183608
"436",121,"Specific Conductivity",15.981,160.6,103.183608
"441",121,"Temperature",17.971,6.122,101.193608
"444",121,"Specific Conductivity",17.971,160.8,101.193608
"449",121,"Temperature",20.025,6.067,99.139608
"452",121,"Specific Conductivity",20.025,162.8,99.139608
"457",121,"Temperature",22.001,5.903,97.163608
"460",121,"Specific Conductivity",22.001,163.4,97.163608
"465",121,"Temperature",23.97,5.9,95.194608
"468",121,"Specific Conductivity",23.97,165.4,95.194608
"473",121,"Temperature",25.992,5.808,93.172608
"476",121,"Specific Conductivity",25.992,164.2,93.172608
"481",121,"Temperature",27.992,5.796,91.172608
"484",121,"Specific Conductivity",27.992,165.5,91.172608
"489",121,"Temperature",28.959,5.786,90.205608
"492",121,"Specific Conductivity",28.959,165.8,90.205608
"497",121,"Temperature",29.972,5.77,89.192608
"500",121,"Specific Conductivity",29.972,165.3,89.192608
"505",127,"Temperature",0.467,13.026,118.630552
"508",127,"Specific Conductivity",0.467,165.4,118.630552
"513",127,"Temperature",0.992,12.989,118.105552
"516",127,"Specific Conductivity",0.992,165.5,118.105552
"521",127,"Temperature",1.985,12.897,117.112552
"524",127,"Specific Conductivity",1.985,165.5,117.112552
"529",127,"Temperature",2.971,12.382,116.126552
"532",127,"Specific Conductivity",2.971,167.7,116.126552
"537",127,"Temperature",4.021,11.13,115.076552
"540",127,"Specific Conductivity",4.021,169.7,115.076552
"545",127,"Temperature",5.017,10.467,114.080552
"548",127,"Specific Conductivity",5.017,171.9,114.080552
"553",127,"Temperature",5.993,10.201,113.104552
"556",127,"Specific Conductivity",5.993,171.6,113.104552
"561",127,"Temperature",6.987,9.457,112.110552
"564",127,"Specific Conductivity",6.987,170.9,112.110552
"569",127,"Temperature",8.005,8.548,111.092552
"572",127,"Specific Conductivity",8.005,174.4,111.092552
"577",127,"Temperature",8.964,8.445,110.133552
"580",127,"Specific Conductivity",8.964,176.5,110.133552
