"","Elevation","Day"
"320",119.975376,320
"321",120.018048,321
"322",120.011952,322
"323",120.002808,323
"324",120.015,324
"325",120.021096,325
"326",120.005856,326
"327",119.978424,327
"328",119.941848,328
"329",119.926608,329
"330",119.929656,330
"331",120.027192,331
"332",120.158256,332
"333",120.203976,333
"334",120.191784,334
"335",120.1674,335
"336",120.21312,336
"337",120.286272,337
"338",120.328944,338
"339",120.338088,339
"340",120.322848,340
"341",120.292368,341
"342",120.249696,342
"343",120.203976,343
"344",120.1674,344
"345",120.112536,345
"346",120.051576,346
"347",119.990616,347
"348",119.935752,348
"349",119.886984,349
"350",119.822976,350
"351",119.774208,351
"352",119.704104,352
"353",119.630952,353
"354",119.566944,354
"355",119.576088,355
"356",119.688864,356
"357",119.734584,357
"358",119.731536,358
"359",119.688864,359
"360",119.661432,360
"361",119.609616,361
"362",119.554752,362
"363",119.551704,363
"364",119.515128,364
"365",119.469408,365
