"","JDAY","WSE"
"358",358,119.11
"359",359,119.09
"360",360,119.08
"361",361,119.09
"362",362,119.15
"363",363,119.17
"364",364,119.17
"365",365,119.17
"366",366,119.16
"367",367,119.17
"368",368,119.16
"369",369,119.15
"370",370,119.14
"371",371,119.13
"372",372,119.11
"373",373,119.09
"374",374,119.07
"375",375,119.05
"376",376,119.02
"377",377,119.01
"378",378,118.99
"379",379,118.97
"380",380,118.96
"381",381,118.98
"382",382,118.99
"383",383,119.04
"384",384,119.05
"385",385,119.06
"386",386,119.08
"387",387,119.09
"388",388,119.06
"389",389,119.04
"390",390,119.02
"391",391,119.1
"392",392,119.2
"393",393,119.24
"394",394,119.27
"395",395,119.27
"396",396,119.26
"397",397,119.26
"398",398,119.24
"399",399,119.23
"400",400,119.22
"401",401,119.19
"402",402,119.15
"403",403,119.12
"404",404,119.09
"405",405,119.07
"406",406,119.05
"407",407,119.04
"408",408,119.02
"409",409,118.99
"410",410,118.97
"411",411,118.95
"412",412,118.93
"413",413,118.93
"414",414,118.91
"415",415,118.88
"416",416,118.89
"417",417,118.9
"418",418,118.91
"419",419,118.91
"420",420,118.94
"421",421,119.02
"422",422,119.3
"423",423,119.62
"424",424,119.73
"425",425,119.77
"426",426,119.81
"427",427,119.82
"428",428,119.87
"429",429,119.87
"430",430,119.87
"431",431,119.88
"432",432,119.88
"433",433,119.88
"434",434,119.88
"435",435,119.88
"436",436,119.88
"437",437,119.89
"438",438,120.17
"439",439,120.6
"440",440,120.81
"441",441,120.69
"442",442,120.61
"443",443,120.55
"444",444,120.49
"445",445,120.45
"446",446,120.43
"447",447,120.48
"448",448,120.55
"449",449,120.56
"450",450,120.52
"451",451,120.49
"452",452,120.46
"453",453,120.44
"454",454,120.52
"455",455,120.76
"456",456,120.72
"457",457,120.64
"458",458,120.56
"459",459,120.51
"460",460,120.48
"461",461,120.44
"462",462,120.41
"463",463,120.38
"464",464,120.33
"465",465,120.3
"466",466,120.27
"467",467,120.24
"468",468,120.17
"469",469,120.1
"470",470,120.01
"471",471,119.94
"472",472,119.89
"473",473,119.83
"474",474,119.77
"475",475,119.71
"476",476,119.65
"477",477,119.59
"478",478,119.51
"479",479,119.43
"480",480,119.34
"481",481,119.28
"482",482,119.22
"483",483,119.15
"484",484,119.08
"485",485,119.03
"486",486,118.96
"487",487,118.91
"488",488,118.88
"489",489,118.87
"490",490,118.83
"491",491,118.8
"492",492,118.85
"493",493,118.91
"494",494,118.98
"495",495,119.03
"496",496,119.05
"497",497,119.05
"498",498,119.03
"499",499,119.01
"500",500,118.97
"501",501,118.95
"502",502,118.91
"503",503,118.88
"504",504,118.88
"505",505,118.88
"506",506,118.9
"507",507,118.91
"508",508,118.91
"509",509,118.9
"510",510,118.89
"511",511,118.89
"512",512,118.89
"513",513,118.89
"514",514,118.88
"515",515,118.89
"516",516,118.88
"517",517,118.88
"518",518,118.89
"519",519,118.89
"520",520,118.88
"521",521,118.89
"522",522,118.91
"523",523,118.91
"524",524,118.91
"525",525,118.91
"526",526,118.92
"527",527,118.94
"528",528,118.93
"529",529,118.94
"530",530,118.94
"531",531,118.94
"532",532,118.93
"533",533,118.91
"534",534,118.89
"535",535,118.87
"536",536,118.86
"537",537,118.86
"538",538,118.87
"539",539,118.88
"540",540,118.88
"541",541,118.91
"542",542,118.9
"543",543,118.88
"544",544,118.88
"545",545,118.87
"546",546,118.87
"547",547,118.88
"548",548,118.89
"549",549,118.91
"550",550,118.92
"551",551,118.94
"552",552,118.95
"553",553,118.95
"554",554,118.95
"555",555,118.95
"556",556,118.97
"557",557,119.02
"558",558,119.03
"559",559,119.04
"560",560,119.03
"561",561,119.01
"562",562,119.01
"563",563,119.02
"564",564,119.02
"565",565,119.01
"566",566,119
"567",567,118.98
"568",568,118.97
"569",569,118.95
"570",570,118.97
"571",571,118.97
"572",572,118.96
"573",573,118.95
"574",574,118.94
"575",575,118.94
"576",576,118.94
"577",577,118.94
"578",578,118.94
"579",579,118.95
"580",580,118.94
"581",581,118.94
"582",582,118.94
"583",583,118.95
"584",584,118.95
"585",585,118.95
"586",586,118.95
"587",587,118.95
"588",588,118.95
"589",589,118.95
"590",590,118.95
"591",591,118.95
"592",592,118.95
"593",593,118.96
"594",594,118.97
"595",595,118.97
"596",596,118.97
"597",597,118.97
"598",598,118.96
"599",599,118.97
"600",600,118.99
"601",601,119
"602",602,119.01
"603",603,119.02
"604",604,119.01
"605",605,119
"606",606,118.98
"607",607,118.97
"608",608,118.95
"609",609,118.94
"610",610,118.88
"611",611,118.78
"612",612,118.72
"613",613,118.7
"614",614,118.73
"615",615,118.74
"616",616,118.74
"617",617,118.77
"618",618,118.79
"619",619,118.81
"620",620,118.83
"621",621,118.84
"622",622,118.87
"623",623,118.89
"624",624,118.89
"625",625,118.9
"626",626,118.91
"627",627,118.92
"628",628,118.93
"629",629,118.94
"630",630,118.94
"631",631,118.94
"632",632,118.93
"633",633,118.93
"634",634,118.94
"635",635,118.94
"636",636,118.95
"637",637,118.98
"638",638,118.95
"639",639,118.91
"640",640,118.93
"641",641,118.9
"642",642,118.87
"643",643,118.88
"644",644,118.94
"645",645,118.99
"646",646,119.02
"647",647,119.05
"648",648,119.09
"649",649,119.11
"650",650,119.13
"651",651,119.09
"652",652,119.05
"653",653,119.05
"654",654,119.03
"655",655,119
"656",656,118.97
"657",657,118.92
"658",658,118.89
"659",659,118.91
"660",660,118.93
"661",661,118.95
"662",662,118.97
"663",663,118.98
"664",664,119
"665",665,118.95
"666",666,118.96
"667",667,118.98
"668",668,119
"669",669,119.01
"670",670,119.02
"671",671,119.02
"672",672,119.02
"673",673,119.01
"674",674,119.06
"675",675,119.08
"676",676,119.08
"677",677,119.09
"678",678,119.08
"679",679,119.06
"680",680,119.03
"681",681,119
