$Stillwater (sb) inflow constituents, , , , , , ,
FROM: Trib WQ, R (DCR), , , , , , 
JDAY,TDS,,,,,,
280,138.6000,,,,,,
281,135.6000,,,,,,
282,138.6000,,,,,,
283,133.8000,,,,,,
284,127.8000,,,,,,
286,130.2000,,,,,,
287,130.8000,,,,,,
288,132.6000,,,,,,
289,130.2000,,,,,,
290,129.0000,,,,,,
291,130.2000,,,,,,
292,130.2000,,,,,,
293,132.0000,,,,,,
294,132.6000,,,,,,
295,133.8000,,,,,,
296,137.4000,,,,,,
297,145.2000,,,,,,
298,155.4000,,,,,,
299,130.8000,,,,,,
300,77.4000,,,,,,
301,69.0000,,,,,,
302,74.4000,,,,,,
303,61.2000,,,,,,
304,48.0000,,,,,,
305,55.2000,,,,,,
306,63.0000,,,,,,
307,67.2000,,,,,,
308,67.8000,,,,,,
309,67.2000,,,,,,
310,74.4000,,,,,,
311,78.0000,,,,,,
312,75.0000,,,,,,
313,72.0000,,,,,,
314,82.8000,,,,,,
315,84.6000,,,,,,
316,88.8000,,,,,,
317,90.6000,,,,,,
318,94.8000,,,,,,
319,93.6000,,,,,,
320,93.6000,,,,,,
321,90.6000,,,,,,
322,91.8000,,,,,,
323,88.8000,,,,,,
324,83.4000,,,,,,
325,84.6000,,,,,,
326,85.2000,,,,,,
327,82.2000,,,,,,
328,84.6000,,,,,,
329,84.6000,,,,,,
330,84.0000,,,,,,
331,83.4000,,,,,,
332,84.0000,,,,,,
333,84.0000,,,,,,
334,85.2000,,,,,,
335,85.8000,,,,,,
336,87.0000,,,,,,
337,87.0000,,,,,,
338,86.4000,,,,,,
339,86.4000,,,,,,
340,92.4000,,,,,,
341,91.8000,,,,,,
342,92.4000,,,,,,
343,91.8000,,,,,,
344,86.4000,,,,,,
345,85.8000,,,,,,
346,86.4000,,,,,,
347,84.6000,,,,,,
348,85.8000,,,,,,
349,87.0000,,,,,,
350,88.8000,,,,,,
351,88.2000,,,,,,
352,87.0000,,,,,,
353,87.0000,,,,,,
354,92.4000,,,,,,
355,89.4000,,,,,,
356,88.2000,,,,,,
357,94.8000,,,,,,
358,97.8000,,,,,,
359,97.2000,,,,,,
360,94.2000,,,,,,
361,93.0000,,,,,,
362,93.0000,,,,,,
363,93.0000,,,,,,
364,93.0000,,,,,,
365,93.6000,,,,,,
