$Precip data for Worcester Airport; FROM: NCDC, 2017, 
JDAY,Prec
 ,(m/s)
1,2.64583333333333e-08
2,0
3,2.55763888888889e-07
4,4.7037037037037e-08
5,0
6,2.05787037037037e-08
7,7.05555555555556e-08
8,8.81944444444444e-09
9,0
10,1.76388888888889e-08
11,6.46759259259259e-08
12,1.32291666666667e-07
13,0
14,0
15,0
16,0
17,1.17592592592593e-07
18,7.05555555555556e-08
19,0
20,0
21,0
22,2.93981481481481e-09
23,6.76157407407407e-08
24,1.82268518518518e-07
25,2.93981481481481e-09
26,2.93981481481482e-08
27,0
28,0
29,0
30,0
31,3.2337962962963e-08
32,1.46990740740741e-08
33,0
34,0
35,0
36,0
37,0
38,1.02893518518519e-07
39,2.93981481481482e-08
40,1.73449074074074e-07
41,2.05787037037037e-08
42,4.11574074074074e-08
43,2.14606481481481e-07
44,2.93981481481481e-09
45,0
46,2.35185185185185e-08
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,9.40740740740741e-08
57,0
58,0
59,0
60,1.46990740740741e-08
61,0
62,0
63,0
64,0
65,0
66,8.81944444444444e-09
67,3.52777777777778e-08
68,0
69,2.64583333333333e-08
70,0
71,0
72,0
73,4.52731481481481e-07
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1.76388888888889e-08
84,1.76388888888889e-08
85,0
86,1.26412037037037e-07
87,1.88148148148148e-07
88,0
89,0
90,2.91041666666667e-07
91,2.52824074074074e-07
92,0
93,0
94,2.99861111111111e-07
95,0
96,3.43958333333333e-07
97,8.81944444444444e-09
98,0
99,0
100,0
101,0
102,1.76388888888889e-08
103,0
104,0
105,2.93981481481481e-09
106,8.81944444444444e-09
107,0
108,0
109,1.76388888888889e-08
110,1.17592592592593e-08
111,1.6462962962963e-07
112,8.81944444444444e-09
113,0
114,0
115,1.11712962962963e-07
116,1.32291666666667e-07
117,0
118,2.93981481481481e-09
119,0
120,1.17592592592593e-08
121,0
122,2.64583333333333e-08
123,0
124,0
125,2.79282407407407e-07
126,7.9375e-08
127,0
128,0
129,0
130,0
131,0
132,0
133,1.32291666666667e-07
134,3.20439814814815e-07
135,8.23148148148148e-08
136,0
137,0
138,2.35185185185185e-08
139,2.93981481481481e-09
140,0
141,0
142,7.05555555555556e-08
143,0
144,0
145,2.05787037037037e-07
146,3.82175925925926e-07
147,0
148,0
149,2.93981481481482e-08
150,0
151,1.20532407407407e-07
152,0
153,0
154,0
155,2.05787037037037e-08
156,1.44050925925926e-07
157,3.14560185185185e-07
158,5.87962962962963e-09
159,0
160,8.81944444444444e-09
161,0
162,0
163,0
164,2.93981481481481e-09
165,0
166,0
167,1.55810185185185e-07
168,2.05787037037037e-08
169,0
170,1.23472222222222e-07
171,2.93981481481481e-09
172,0
173,0
174,2.93981481481482e-08
175,2.64583333333333e-08
176,9.99537037037037e-08
177,0
178,2.82222222222222e-07
179,0
180,0
181,3.52777777777778e-08
182,0
183,3.52777777777778e-08
184,0
185,0
186,0
187,0
188,1.49930555555556e-07
189,5.87962962962963e-09
190,0
191,0
192,4.7037037037037e-08
193,4.99768518518519e-08
194,1.46990740740741e-08
195,2.05787037037037e-08
196,0
197,0
198,0
199,6.17361111111111e-08
200,0
201,0
202,0
203,0
204,0
205,2.58703703703704e-07
206,2.93981481481481e-09
207,0
208,2.64583333333333e-08
209,0
210,0
211,0
212,0
213,0
214,1.67569444444444e-07
215,0
216,0
217,1.61689814814815e-07
218,0
219,0
220,0
221,0
222,0
223,1.46990740740741e-08
224,1.76388888888889e-08
225,5.87962962962963e-09
226,0
227,5.87962962962963e-09
228,0
229,0
230,1.46990740740741e-08
231,0
232,0
233,0
234,2.35185185185185e-08
235,4.11574074074074e-08
236,0
237,0
238,0
239,0
240,0
241,0
242,1.46990740740741e-08
243,0
244,0
245,0
246,1.96967592592593e-07
247,0
248,0
249,3.9099537037037e-07
250,9.11342592592592e-08
251,0
252,0
253,0
254,0
255,0
256,0
257,2.93981481481481e-09
258,2.93981481481481e-09
259,0
260,0
261,5.87962962962963e-09
262,2.93981481481481e-09
263,3.82175925925926e-08
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,5.87962962962963e-09
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,7.34953703703704e-08
282,1.23472222222222e-07
283,0
284,0
285,0
286,0
287,2.93981481481481e-09
288,2.93981481481481e-09
289,8.81944444444444e-09
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,5.17407407407407e-07
298,2.20486111111111e-07
299,6.64398148148148e-07
300,0
301,0
302,7.37893518518518e-07
303,2.4400462962963e-07
304,0
305,0
306,0
307,0
308,0
309,2.93981481481481e-09
310,6.17361111111111e-08
311,2.93981481481481e-09
312,2.93981481481481e-09
313,0
314,5.87962962962963e-09
315,0
316,0
317,1.17592592592593e-08
318,8.81944444444444e-09
319,0
320,1.38171296296296e-07
321,0
322,2.93981481481482e-08
323,1.26412037037037e-07
324,0
325,0
326,1.35231481481481e-07
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,2.35185185185185e-08
336,0
337,0
338,0
339,2.26365740740741e-07
340,4.7037037037037e-08
341,0
342,0
343,1.67569444444444e-07
344,0
345,0
346,6.46759259259259e-08
347,0
348,2.93981481481481e-09
349,5.87962962962963e-09
350,0
351,0
352,0
353,0
354,0
355,0
356,2.64583333333333e-08
357,1.6462962962963e-07
358,0
359,9.70138888888889e-08
360,0
361,0
362,0
363,0
364,1.76388888888889e-08
365,0
