$French Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.0571460886056589
2,0.0547814228702524
3,0.0559637557379557
4,0.0648312522457303
5,0.0725164158858017
6,0.0764575254448126
7,0.0794133576140709
8,0.0740928597094061
9,0.0677870844149885
10,0.0638459748559776
11,0.0668018070252358
12,0.132421281182768
13,0.989218499311751
14,0.778369137904665
15,0.534020345245985
16,0.305435990823349
17,0.161979602875351
18,0.140500555778741
19,0.127889005189906
20,0.117839175814428
21,0.109759901218455
22,0.105621736181494
23,0.14365344342595
24,0.279818778689778
25,0.222672690084119
26,0.161979602875351
27,0.126509616844252
28,0.148579830374713
29,0.144244609859801
30,0.120795007983686
31,0.10778934643895
32,0.0973454061075708
33,0.110745178608208
34,0.125524339454499
35,0.0912366862911038
36,0.174197042508285
37,0.141879944124395
38,0.115277454601071
39,0.131436003793016
40,0.124539062064746
41,0.10443940331379
42,0.380317072444558
43,0.752751925771094
44,0.380317072444558
45,0.240407683099669
46,0.199026032730054
47,0.195084923171043
48,0.176955819199592
49,0.161979602875351
50,0.149762163242417
51,0.246319347438185
52,0.289671552587306
53,0.246319347438185
54,0.202967142289065
55,0.218731580525108
56,0.232525463981647
57,0.325141538618404
58,0.250260456997196
59,0.200996587509559
60,0.176561708243691
61,0.281789333469284
62,0.67590028937038
63,0.400022620239613
64,0.281789333469284
65,0.230554909202141
66,0.200996587509559
67,0.206908251848075
68,0.199026032730054
69,0.174197042508285
70,0.159614937139944
71,0.155870883058884
72,0.160403159051746
73,0.166905989824114
74,0.156856160448636
75,0.153506217323477
76,0.151929773499873
77,0.119415619638032
78,0.109562845740505
79,0.106015847137395
80,0.103060014968137
81,0.105424680703543
82,0.114489232689268
83,0.12217439632934
84,0.126903727800153
85,0.117839175814428
86,0.119612675115983
87,0.135771224307928
88,0.192129091001784
89,0.248289902217691
90,0.277848223910273
91,0.20493769706857
92,0.173211765118532
93,0.168482433647719
94,0.262083785674229
95,0.305435990823349
96,0.214790470966097
97,0.22661379964313
98,0.218731580525108
99,0.181093984236554
100,0.153506217323477
101,0.138530000999235
102,0.128874282579658
103,0.139515278388988
104,0.12237145180729
105,0.110351067652307
106,0.291642107366811
107,0.916307972470048
108,0.579343105174611
109,0.368493743767525
110,0.2877009978078
111,0.224643244863625
112,0.188779147876625
113,0.1617825473974
114,0.141879944124395
115,0.157644382360438
116,0.293612662146317
117,0.240407683099669
118,0.240407683099669
119,0.197055477950548
120,0.186020371185317
121,0.173999987030334
122,0.149368052286515
123,0.128086060667856
124,0.118430342248279
125,0.1079864019169
126,0.108183457394851
127,0.130450726403263
128,0.11508039912312
129,0.100892404710681
130,0.0904484643793016
131,0.0835515226510324
132,0.0784280802243181
133,0.0882808541218455
134,0.0869014657761917
135,0.078033969268417
136,0.139909389344889
137,0.109365790262554
138,0.0898572979454499
139,0.0772457473566149
140,0.0904484643793016
141,0.0831574116951313
142,0.0727134713637522
143,0.0669988625031863
144,0.0567519776497578
145,0.0490668140096865
146,0.0463080373183788
147,0.0465050927963294
148,0.0524167571348458
149,0.0498550359214887
150,0.0423669277593678
151,0.0364552634208514
152,0.0319229874279888
153,0.0319229874279888
154,0.0342876531633954
155,0.0303465436043844
156,0.0394110955901096
157,0.0368493743767525
158,0.0331053202956921
159,0.030937710038236
160,0.0291642107366811
161,0.0285730443028295
162,0.0252231011776702
163,0.0234496018761152
164,0.020493769706857
165,0.0191340869089982
166,0.0153703272801428
167,0.0131633059270966
168,0.0118233286770329
169,0.0100892404710681
170,0.00928131301147081
171,0.00833544671730818
172,0.00599048652969666
173,0.0032711209339791
174,0.00252231011776702
175,0.0352729305531481
176,0.129071338057609
177,0.0506432578332909
178,0.0336964867295437
179,0.0888720205556972
180,0.0595107543410655
181,0.0311347655161866
182,0.0187596815008922
183,0.0179517540412949
184,0.0149565107764466
185,0.0117839175814428
186,0.0108971679306653
187,0.0105030569747642
188,0.0096360128717818
189,0.00869014657761917
190,0.00776398583125159
191,0.00685753063267907
192,0.00608901426867194
193,0.00535990900025491
194,0.00496579804435381
195,0.00472933147081315
196,0.00465050927963293
197,0.00642400858118787
198,0.078033969268417
199,0.0922219636808565
200,0.0224643244863625
201,0.0112124566953862
202,0.00867044102982412
203,0.0092024908202906
204,0.0140697611256691
205,0.0166511878868213
206,0.0146215164639307
207,0.0264054340453734
208,0.0267995450012745
209,0.0191537924567933
210,0.0158629659750191
211,0.0147988663940862
212,0.0126509616844252
213,0.0108774623828703
214,0.0110548123130257
215,0.0269966004792251
216,0.0315288764720877
217,0.0457168708845272
218,0.026602489523324
219,0.019429670125924
220,0.0212819916186592
221,0.0252231011776702
222,0.0228584354422636
223,0.049263869487637
224,0.273907114351262
225,0.192523201957685
226,0.360611524649503
227,0.368493743767525
228,0.196661366994647
229,0.112321622431812
230,0.103257070446087
231,0.128283116145807
232,0.0898572979454499
233,0.0608901426867194
234,0.0845368000407851
235,0.119809730593933
236,0.0750781370991588
237,0.0459139263624777
238,0.0334994312515932
239,0.0262083785674229
240,0.0238437128320163
241,0.0191340869089982
242,0.0160206103573796
243,0.0146215164639307
244,0.0125524339454499
245,0.0113898066255417
246,0.0103848236879939
247,0.0092419019158807
248,0.00817780233494775
249,0.0101286515666582
250,0.0181291039714504
251,0.0162964880265103
252,0.0119612675115983
253,0.0121189118939587
254,0.07192524945195
255,0.0725164158858017
256,0.0788221911802192
257,0.0628606974662248
258,0.04315514967117
259,0.0323170983838899
260,0.0256172121335713
261,0.437463161050217
262,0.817780233494775
263,0.333023757736426
264,0.195281978648993
265,0.123356729197043
266,0.0882808541218455
267,0.0658165296354831
268,0.0853250219525873
269,0.295583216925822
270,0.44928648972725
271,0.303465436043844
272,0.216761025745603
273,0.150353329676268
274,0.115868621034922
275,0.121189118939587
276,0.208878806627581
277,0.183852760927861
278,0.134588891440224
279,0.156462049492735
280,0.106409958093296
281,0.0792163021361203
282,0.0695605837165435
283,0.067590028937038
284,0.124342006586796
285,0.433522051491206
286,0.22661379964313
287,0.165132490522559
288,0.133800669528422
289,0.128480171623757
290,0.115277454601071
291,0.0979365725414224
292,0.0869014657761917
293,0.081975078827428
294,0.0752751925771094
295,0.0687723618047413
296,0.0685753063267907
297,0.0792163021361203
298,0.0746840261432577
299,0.0669988625031863
300,0.0961630732398675
301,0.277848223910273
302,0.212819916186592
303,0.183064539016059
304,0.156659104970686
305,0.252231011776702
306,0.169467711037471
307,1.10154012174356
308,0.878867431659444
309,0.4315514967117
310,0.429580941932195
311,0.571460886056589
312,0.364552634208514
313,0.26602489523324
314,0.526138126127963
315,0.437463161050217
316,0.295583216925822
317,0.51037368789192
318,0.71531138496049
319,0.400022620239613
320,0.37046429854703
321,0.340905976854448
322,0.283759888248789
323,0.275877669130767
324,0.366523188988019
325,0.325141538618404
326,0.238437128320163
327,0.181685150670405
328,0.175576430853938
329,0.191734980045883
330,0.234496018761152
331,0.882808541218455
332,0.691664727606424
333,0.40987539413714
334,0.299524326484833
335,0.248289902217691
336,0.37046429854703
337,0.571460886056589
338,0.400022620239613
339,0.285730443028295
340,0.232525463981647
341,0.200996587509559
342,0.171635321294927
343,0.150550385154219
344,0.142865221514147
345,0.129662504491461
346,0.123750840152944
347,0.109956956696406
348,0.108577568350752
349,0.113898066255417
350,0.116262731990823
351,0.182473372582208
352,0.159220826184043
353,0.123750840152944
354,0.113109844343615
355,0.258142676115218
356,0.652253632016314
357,0.360611524649503
358,0.232525463981647
359,0.184246871883762
360,0.151929773499873
361,0.135968279785878
362,0.142076999602345
363,0.206908251848075
364,0.173211765118532
365,0.145821053683406
