$Waushacum Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.168507697170533
2,0.161534964873821
3,0.165021331022177
4,0.191169077134846
5,0.213830457099159
6,0.225451677593678
7,0.234167592964568
8,0.218478945296967
9,0.199884992505735
10,0.188263772011216
11,0.196979687382106
12,0.390473008615855
13,2.9169263441244
14,2.2951910476676
15,1.57467537700739
16,0.900644588325261
17,0.477632162324752
18,0.41429651062962
19,0.377108605047158
20,0.347474492786133
21,0.323650990772368
22,0.311448709253123
23,0.423593487025236
24,0.825106655110885
25,0.656598957940352
26,0.477632162324752
27,0.373041177874076
28,0.438120012643385
29,0.425336670099414
30,0.356190408157023
31,0.317840380525108
32,0.287044146214632
33,0.326556295895998
34,0.370135872750446
35,0.269031254448126
36,0.513657945857762
37,0.418363937802702
38,0.339920699464695
39,0.387567703492225
40,0.367230567626816
41,0.307962343104767
42,1.12144777772113
43,2.21965311445322
44,1.12144777772113
45,0.70889445016569
46,0.586871634973235
47,0.575250414478715
48,0.521792800203926
49,0.477632162324752
50,0.441606378791741
51,0.726326280907469
52,0.854159706347184
53,0.726326280907469
54,0.598492855467754
55,0.644977737445832
56,0.685652009176651
57,0.958750690797859
58,0.737947501401989
59,0.592682245220495
60,0.520630678154474
61,0.830917265358144
62,1.99303931481009
63,1.17955388019373
64,0.830917265358144
65,0.679841398929391
66,0.592682245220495
67,0.610114075962274
68,0.586871634973235
69,0.513657945857762
70,0.47065943002804
71,0.459619270558246
72,0.472983674126944
73,0.492158687942901
74,0.462524575681876
75,0.452646538261535
76,0.447998050063727
77,0.352122980983941
78,0.323069929747642
79,0.312610831302575
80,0.303894915931685
81,0.310867648228397
82,0.337596455365792
83,0.360257835330105
84,0.374203299923528
85,0.347474492786133
86,0.352704042008667
87,0.400351046036197
88,0.566534499107826
89,0.732136891154729
90,0.819296044863625
91,0.604303465715014
92,0.510752640734132
93,0.496807176140709
94,0.772811162885547
95,0.900644588325261
96,0.633356516951313
97,0.668220178434871
98,0.644977737445832
99,0.533995081723171
100,0.452646538261535
101,0.40848590038236
102,0.380013910170788
103,0.41139120550599
104,0.360838896354831
105,0.325394173846546
106,0.859970316594443
107,2.70193376497578
108,1.70831941269437
109,1.08658411623757
110,0.848349096099924
111,0.662409568187612
112,0.556656461687484
113,0.477051101300026
114,0.418363937802702
115,0.46484881978078
116,0.865780926841703
117,0.70889445016569
118,0.70889445016569
119,0.581061024725975
120,0.548521607341321
121,0.513076884833036
122,0.440444256742289
123,0.377689666071884
124,0.349217675860311
125,0.318421441549834
126,0.31900250257456
127,0.384662398368596
128,0.33933963843997
129,0.297503244659699
130,0.266707010349223
131,0.246369874483813
132,0.231262287840938
133,0.260315339077237
134,0.256247911904155
135,0.230100165791486
136,0.412553327555442
137,0.322488868722916
138,0.264963827275045
139,0.227775921692582
140,0.266707010349223
141,0.245207752434361
142,0.214411518123885
143,0.197560748406832
144,0.167345575121081
145,0.144684195156768
146,0.136549340810604
147,0.13713040183533
148,0.154562232577109
149,0.147008439255672
150,0.124928120316085
151,0.107496289574305
152,0.094131886005608
153,0.094131886005608
154,0.10110461830232
155,0.0894833978078002
156,0.116212204945195
157,0.108658411623757
158,0.0976182521539638
159,0.0912265808819781
160,0.0859970316594443
161,0.0842538485852664
162,0.0743758111649248
163,0.069146261942391
164,0.0604303465715014
165,0.0564210255008922
166,0.0453227599286261
167,0.0388148764516951
168,0.0348636614835585
169,0.0297503244659699
170,0.0273679742645934
171,0.0245788813459087
172,0.0176642551516696
173,0.00964561301045119
174,0.00743758111649248
175,0.10400992342595
176,0.380594971195514
177,0.149332683354576
178,0.0993614352281418
179,0.262058522151415
180,0.175480429467244
181,0.0918076419067041
182,0.0553170095539128
183,0.0529346593525363
184,0.0441025317767015
185,0.0347474492786133
186,0.0321326746673464
187,0.0309705526178945
188,0.0284138841091002
189,0.0256247911904155
190,0.0228938043742034
191,0.0202209236604639
192,0.0179547856640326
193,0.0158048598725465
194,0.0146427378230946
195,0.0139454645934234
196,0.013713040183533
197,0.0189425894060668
198,0.230100165791486
199,0.271936559571756
200,0.0662409568187612
201,0.033062372306908
202,0.0255666850879429
203,0.027135549854703
204,0.0414877571654346
205,0.0490996565893449
206,0.0431147280346674
207,0.0778621773132807
208,0.0790242993627326
209,0.0564791316033648
210,0.046775412490441
211,0.0436376829569207
212,0.0373041177874076
213,0.0320745685648738
214,0.0325975234871272
215,0.0796053603874586
216,0.092969763956156
217,0.134806157736426
218,0.0784432383380066
219,0.0572926170379811
220,0.0627545906704053
221,0.0743758111649248
222,0.0674030788682131
223,0.145265256181494
224,0.807674824369105
225,0.567696621157278
226,1.06334167524853
227,1.08658411623757
228,0.579898902676523
229,0.331204784093806
230,0.304475976956411
231,0.37827072709661
232,0.264963827275045
233,0.179547856640326
234,0.249275179607443
235,0.353285103033393
236,0.221384250420597
237,0.135387218761152
238,0.0987803742034158
239,0.0772811162885547
240,0.070308383991843
241,0.0564210255008922
242,0.0472402613102218
243,0.0431147280346674
244,0.0370135872750446
245,0.0335853272291614
246,0.0306219160030589
247,0.0272517620596482
248,0.024114032526128
249,0.0298665366709151
250,0.0534576142747897
251,0.0480537467448381
252,0.0352704042008667
253,0.0357352530206475
254,0.212087274024981
255,0.213830457099159
256,0.23242440989039
257,0.185358466887586
258,0.127252364414989
259,0.0952940080550599
260,0.0755379332143768
261,1.28995547489166
262,2.4114032526128
263,0.981993131786898
264,0.575831475503441
265,0.36374420147846
266,0.260315339077237
267,0.194074382258476
268,0.251599423706347
269,0.871591537088963
270,1.32481913637522
271,0.894833978078002
272,0.639167127198573
273,0.443349561865919
274,0.341663882538873
275,0.357352530206475
276,0.615924686209534
277,0.542129936069335
278,0.396864679887841
279,0.461362453632424
280,0.313772953352027
281,0.233586531939842
282,0.205114541728269
283,0.199303931481009
284,0.36664950660209
285,1.27833425439715
286,0.668220178434871
287,0.486929138720367
288,0.394540435788937
289,0.378851788121336
290,0.339920699464695
291,0.28878732928881
292,0.256247911904155
293,0.241721386286006
294,0.221965311445323
295,0.202790297629365
296,0.202209236604639
297,0.233586531939842
298,0.220222128371145
299,0.197560748406832
300,0.283557780066276
301,0.819296044863625
302,0.627545906704053
303,0.539805691970431
304,0.46194351465715
305,0.743758111649248
306,0.499712481264339
307,3.2481311282182
308,2.59153217027785
309,1.27252364414989
310,1.26671303390263
311,1.68507697170533
312,1.07496289574305
313,0.784432383380066
314,1.55143293601835
315,1.28995547489166
316,0.871591537088963
317,1.50494805404028
318,2.10925151975529
319,1.17955388019373
320,1.09239472648483
321,1.00523557277594
322,0.836727875605404
323,0.813485434616365
324,1.08077350599031
325,0.958750690797859
326,0.70308383991843
327,0.535738264797349
328,0.517725373030844
329,0.565372377058374
330,0.69146261942391
331,2.60315339077237
332,2.03952419678817
333,1.20860693143003
334,0.883212757583482
335,0.732136891154729
336,1.09239472648483
337,1.68507697170533
338,1.17955388019373
339,0.842538485852664
340,0.685652009176651
341,0.592682245220495
342,0.506104152536324
343,0.443930622890645
344,0.421269242926332
345,0.382338154269692
346,0.364906323527912
347,0.324232051797094
348,0.320164624624012
349,0.335853272291614
350,0.342826004588325
351,0.538062508896253
352,0.469497307978588
353,0.364906323527912
354,0.33352902819271
355,0.761189942391027
356,1.92331199184298
357,1.06334167524853
358,0.685652009176651
359,0.543292058118787
360,0.447998050063727
361,0.400932107060923
362,0.418944998827428
363,0.610114075962274
364,0.510752640734132
365,0.429985158297222
