"$Calculated constituents for Quabbin, Quinapoxet, Trout",,,,,,,
From: Quinapoxet_Quabbin_Trout.R,,,,,,,
JDAY,TDS,UV254,PO4,NH4,NO3,PSI,TOC
115,151.7115457,0,0,0,0,0,0
116,147.1924784,0,0,0,0,0,0
117,146.5468973,0,0,0,0,0,0
118,145.2557352,0,0,0,0,0,0
119,146.5468973,0,0,0,0,0,0
120,147.1924784,0,0,0,0,0,0
121,147.1924784,0,0,0,0,0,0
122,146.5468973,0,0,0,0,0,0
123,148.4836405,0,0,0,0,0,0
124,148.4836405,0,0,0,0,0,0
125,149.1292215,0,0,0,0,0,0
126,150.4203836,0,0,0,0,0,0
127,148.4836405,0,0,0,0,0,0
128,148.4836405,0,0,0,0,0,0
129,151.7115457,0,0,0,0,0,0
130,157.5217751,0,0,0,0,0,0
131,160.7496803,0,0,0,0,0,0
132,161.3952614,0,0,0,0,0,0
133,161.3952614,0,0,0,0,0,0
134,162.0408424,0,0,0,0,0,0
135,162.0408424,0,0,0,0,0,0
136,155.585032,0,0,0,0,0,0
137,154.9394509,0,0,0,0,0,0
138,157.5217751,0,0,0,0,0,0
139,160.7496803,0,0,0,0,0,0
140,162.6864235,0,0,0,0,0,0
141,159.4585182,0,0,0,0,0,0
142,158.8129372,0,0,0,0,0,0
143,155.585032,0,0,0,0,0,0
144,156.230613,0,0,0,0,0,0
145,160.7496803,0,0,0,0,0,0
146,167.8510718,0,0,0,0,0,0
147,171.7245581,0,0,0,0,0,0
148,171.0789771,0,0,0,0,0,0
149,171.0789771,0,0,0,0,0,0
150,171.0789771,0,0,0,0,0,0
151,178.1803686,0,0,0,0,0,0
152,182.0538548,0,0,0,0,0,0
153,181.4082738,0,0,0,0,0,0
154,180.1171117,0,0,0,0,0,0
155,177.5347875,0,0,0,0,0,0
156,178.1803686,0,0,0,0,0,0
157,182.0538548,0,0,0,0,0,0
158,153.8935214,0.003796608,0.000697979,0.004538415,0.001012043,0.31257676,0.384598645
159,191.7375705,0,0,0,0,0,0
160,197.5477999,0,0,0,0,0,0
161,200.1301241,0,0,0,0,0,0
162,201.4212862,0,0,0,0,0,0
163,204.0036104,0,0,0,0,0,0
164,205.2947725,0,0,0,0,0,0
165,208.5226777,0,0,0,0,0,0
166,205.9403535,0,0,0,0,0,0
167,207.2315156,0,0,0,0,0,0
168,207.2315156,0,0,0,0,0,0
169,208.5226777,0,0,0,0,0,0
170,208.6033753,0,0,0,0,0,0
171,208.684073,0,0,0,0,0,0
172,208.7647706,0,0,0,0,0,0
173,208.8454682,0,0,0,0,0,0
174,208.9261659,0,0,0,0,0,0
175,209.0068635,0,0,0,0,0,0
176,209.0875611,0,0,0,0,0,0
177,209.1682587,0,0,0,0,0,0
178,78.44157875,0.014516524,0.002743356,0.009330184,0.003734634,1.068105414,1.432375899
179,56.56933363,0.016636894,0.00313954,0.010221941,0.004260954,1.21376311,1.634988823
180,48.47398358,0.017572512,0.003311362,0.010303682,0.004480498,1.2711812,1.720018748
