$West Boylston Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.0139454892174356
2,0.0122189048381341
3,0.014045099854703
4,0.0501373540912567
5,0.0461529286005608
6,0.0300160053632424
7,0.0210842515549325
8,0.0175646757048177
9,0.0170002154269692
10,0.0149415955901096
11,0.0202541629110375
12,0.0351957585011471
13,0.0524616022941626
14,0.0361918648738211
15,0.0265628366046393
16,0.0216155082870252
17,0.0187267998062707
18,0.0185939856232475
19,0.0180627288911547
20,0.0178635076166199
21,0.0175314721590619
22,0.0200549416365027
23,0.022478800476676
24,0.023806942306908
25,0.0241721813102218
26,0.0251018805913841
27,0.0288206777160336
28,0.0296839699056844
29,0.0231760749375478
30,0.0188928175350497
31,0.0160041090542952
32,0.0152736310476676
33,0.0141447104919704
34,0.0128497722074943
35,0.0118536658348203
36,0.0116876481060413
37,0.0115216303772623
38,0.0112892055569717
39,0.0126173473872037
40,0.014377135312261
41,0.0145099494952842
42,0.0144103388580168
43,0.0134474360310986
44,0.0137794714886566
45,0.0130821970277849
46,0.0124513296584247
47,0.0130157899362733
48,0.0119200729263319
49,0.0117208516517971
50,0.015871294871272
51,0.0213830834667346
52,0.0194240742671425
53,0.0184943749859801
54,0.0252014912286515
55,0.0501373540912567
56,0.0806846161865919
57,0.0869932898801937
58,0.0561139923273005
59,0.040176290364517
60,0.0341996521284731
61,0.0341996521284731
62,0.0308128904613816
63,0.0245706238592914
64,0.0199885345449911
65,0.0173986579760387
66,0.0164689586948764
67,0.0164357551491206
68,0.0172326402472598
69,0.0170998260642366
70,0.0154396487764466
71,0.0136466573056334
72,0.0125509402956921
73,0.0119864800178435
74,0.0120196835635993
75,0.013713064397145
76,0.0154396487764466
77,0.0142775246749936
78,0.0130489934820291
79,0.0124181261126689
80,0.0125509402956921
81,0.0141779140377262
82,0.0156720735967372
83,0.0137462679429008
84,0.0128497722074943
85,0.0126173473872037
86,0.0131818076650523
87,0.0177638969793525
88,0.0303480408208004
89,0.0567780632424165
90,0.0527936377517206
91,0.0425005385674229
92,0.0498053186336987
93,0.0481451413459087
94,0.0537897441243946
95,0.0949621408615855
96,0.137462679429008
97,0.113888161942391
98,0.172990473387714
99,0.106251346418557
100,0.0660750560540403
101,0.0498053186336987
102,0.0408403612796329
103,0.0338676166709151
104,0.030082412454754
105,0.0246038274050472
106,0.0202873664567933
107,0.0178303040708641
108,0.0160041090542952
109,0.0155060558679582
110,0.0123849225669131
111,0.0117540551975529
112,0.015871294871272
113,0.0220471543818506
114,0.0181955430741779
115,0.0143439317665052
116,0.0125509402956921
117,0.0224455969309202
118,0.0246702344965588
119,0.0185939856232475
120,0.0142775246749936
121,0.0119864800178435
122,0.0107911523706347
123,0.0120860906551109
124,0.0123517190211573
125,0.00992786018098394
126,0.0116212410145297
127,0.0338676166709151
128,0.030414447912312
129,0.0212502692837114
130,0.0159044984170278
131,0.0128165686617385
132,0.0109903736451695
133,0.00959582472342595
134,0.00896495735406577
135,0.036855935788937
136,0.0461529286005608
137,0.0348637230435891
138,0.0214494905582462
139,0.0145099494952842
140,0.0128829757532501
141,0.0113556126484833
142,0.00876573607953097
143,0.00813486871017079
144,0.00966223181493755
145,0.00853331125924038
146,0.0078028332526128
147,0.0853331125924038
148,0.0919738217435636
149,0.0471490349732348
150,0.031742589742544
151,0.0272601110655111
152,0.0261311905098139
153,0.0338676166709151
154,0.023972960035687
155,0.0178303040708641
156,0.015041206227377
157,0.0168009941524344
158,0.0365239003313791
159,0.0597663823604385
160,0.038184077619169
161,0.0275589429773133
162,0.0202541629110375
163,0.0150744097731328
164,0.0117540551975529
165,0.00942980699464696
166,0.0079024438898802
167,0.00687313397145042
168,0.00637508078511343
169,0.0122853119296457
170,0.0117540551975529
171,0.0112227984654601
172,0.0174650650675503
173,0.0145763565867958
174,0.0114220197399949
175,0.0078360367983686
176,0.00697274460871782
177,0.00637508078511343
178,0.00664070915115983
179,0.00610945241906704
180,0.00730478006627581
181,0.00657430205964823
182,0.00581062050726485
183,0.00903136444557736
184,0.00933019635737956
185,0.0078028332526128
186,0.00574421341575325
187,0.00458208931430028
188,0.0039512219449401
189,0.00478131058883508
190,0.00597663823604384
191,0.0079024438898802
192,0.00577741696150905
193,0.00521295668366046
194,0.00491412477185827
195,0.00514654959214887
196,0.00534577086668366
197,0.00617585951057864
198,0.00584382405302065
199,0.00504693895488147
200,0.0038184077619169
201,0.00318754039255672
202,0.00267952614249299
203,0.00284222351669641
204,0.00243381990390008
205,0.00197893132704563
206,0.00431646094825389
207,0.0112560020112159
208,0.0078360367983686
209,0.00634187723935764
210,0.00544538150395106
211,0.00431646094825389
212,0.00351957585011471
213,0.00294847486311496
214,0.00258323585980117
215,0.00283226245296967
216,0.00341996521284731
217,0.00293851379938822
218,0.00329379173897527
219,0.00478131058883508
220,0.00361918648738211
221,0.00331039351185317
222,0.00288206777160337
223,0.00281234032551619
224,0.00254007125031863
225,0.00230764643002804
226,0.00218811366530716
227,0.00189592246265613
228,0.00170666225184808
229,0.0015373241684935
230,0.00146095601325516
231,0.0014045099854703
232,0.0014211117583482
233,0.00133810289395871
234,0.00117872587433087
235,0.00107579488248789
236,0.00120196835635993
237,0.00118204622890645
238,0.00113556126484833
239,0.00104923204588325
240,0.00105255240045883
241,0.000939660344889116
242,0.000883214317104257
243,0.000866612544226357
244,0.000816807225592659
245,0.0007603611978078
246,0.000690633751720622
247,0.00161037196915626
248,0.00244378096762682
249,0.00166349764236554
250,0.00173322508845271
251,0.0181291359826663
252,0.0179631182538873
