$Cosgrove Out, 
FROM: 2017_WaterBalance, 
JDAY,m3/s
1,6.49455114250671
2,6.83576788889124
3,6.56002127116361
4,6.89867943171398
5,7.14975400455404
6,6.96344389280785
7,6.16043342106121
8,6.78462251497613
9,7.52528699619003
10,7.30439316831051
11,6.74136330825524
12,7.1915308404472
13,6.45160127084526
14,6.84190655794455
15,6.9372675272889
16,6.90228410942012
17,7.16954856435185
18,6.69931701427539
19,6.74923168998022
20,6.59652000132206
21,7.40863485974227
22,6.501873430912
23,7.09118871715424
24,6.60047236872385
25,7.69160359308655
26,7.26891902390305
27,7.61452599538978
28,7.40041779927195
29,6.99986723405219
30,7.06209320084178
31,8.00812551737718
32,7.88552943402354
33,6.88350517469514
34,6.66790145882475
35,6.83145318430723
36,7.35398231174891
37,6.51057190930808
38,6.76083500631153
39,6.93081320318704
40,6.64564368469283
41,6.76403608629245
42,6.8148183200716
43,7.02623315177774
44,6.42591738239282
45,7.47434345283299
46,6.92013082037424
47,6.49805691864757
48,7.00311817580401
49,6.72220538129807
50,6.66985639855763
51,6.78110971885817
52,7.1505118543709
53,6.40715642450872
54,7.01883951888382
55,7.53534375817975
56,6.58297619911373
57,6.55069827068192
58,6.93677787875681
59,6.80498953321958
60,6.99496869334229
61,6.92271232351789
62,6.57058807273201
63,6.6062012747111
64,6.98766572395523
65,7.07443468568383
66,6.61646058609073
67,6.84964699282477
68,6.90255112617874
69,6.75878990926378
70,6.655106148204
71,6.90183908259107
72,6.82398060051809
73,6.8244698649432
74,7.08989644861116
75,7.09488734287115
76,6.89427383724998
77,6.72833919543735
78,6.89725538641371
79,7.36487545382706
80,7.03799248232739
81,7.22083088270617
82,6.94528019460065
83,7.0653455473494
84,6.75732279238048
85,6.90308516118361
86,6.86917787448861
87,6.98303476460058
88,7.47644340300392
89,6.97404044234359
90,6.89267183637192
91,6.44201917658133
92,6.88043491870429
93,7.39492513305217
94,6.87527347672489
95,6.86739818537177
96,7.08463837193825
97,6.99559213472151
98,6.94256474068311
99,7.49789144484364
100,7.83002530293595
101,7.99691501527547
102,8.31347122848139
103,7.45263085855271
104,6.83736925552789
105,6.95489598449032
106,7.00864049168122
107,7.81726100030768
108,8.23166301512217
109,7.92868405352802
110,6.8338996503781
111,6.49987640597346
112,6.68216424518681
113,6.93312782404051
114,7.31546109801014
115,6.79805197108823
116,7.13704946806459
117,6.95489598449032
118,7.35264304761553
119,7.61072461866264
120,6.66799031914317
121,7.28855143682909
122,6.84288521058779
123,7.99296912339274
124,7.05407402995194
125,6.99750700726712
126,6.73989636956119
127,7.01714705390119
128,7.35331267813257
129,7.23737889100488
130,7.51299634521194
131,7.28511557205899
132,7.18051698951329
133,7.34550051494603
134,6.04024002011386
135,7.37425135569732
136,7.74736829812853
137,8.32911028668345
138,8.67174467066365
139,9.34044831389326
140,7.66381873575656
141,8.05580218510594
142,7.60124397153887
143,8.26256596645159
144,8.0098295890717
145,7.71831964760751
146,7.02079924002905
147,7.81372302324556
148,6.43421201938953
149,7.54897737110445
150,7.2118663115709
151,8.59162765323938
152,7.65062167106898
153,7.99938125187112
154,8.25515405383912
155,7.39340687183734
156,7.40081970986043
157,7.4108678371911
158,7.94674735866124
159,7.88306512175089
160,8.1042572610468
161,8.14819477330378
162,9.62285685773679
163,9.95100350005544
164,10.3480077499883
165,9.45049451399633
166,9.41535779900622
167,8.98759251850809
168,7.89780681057531
169,8.09739181511675
170,9.43025366658652
171,8.71860111796137
172,9.2937564826891
173,9.34728139159479
174,9.73914624315648
175,9.11160875427211
176,8.60351410183885
177,9.47581076676664
178,8.29473351962848
179,9.33492777851756
180,8.74149410638981
181,8.73139912216605
182,8.63116281262819
183,8.93546085846178
184,9.17564465054977
185,8.90252132121225
186,9.37420948995291
187,9.91565798914664
188,8.86038746673401
189,7.76849823359118
190,8.22874374199572
191,9.97754082710695
192,8.38125252857771
193,9.65808787675811
194,8.03741141004928
195,7.93477960864114
196,8.13674910377976
197,8.47879926161754
198,10.1817261583166
199,9.59923814224138
200,9.7034878438852
201,10.0243561241281
202,10.3436343602611
203,9.73274888104013
204,9.31678385667549
205,9.13799705051056
206,7.75927589283375
207,8.49976520025494
208,8.77223398363234
209,8.80514447049195
210,8.78900388984465
211,8.39010956084394
212,9.67205562735104
213,10.1152558643933
214,9.79369373905191
215,8.45531736309047
216,9.24676276329381
217,8.86399589164942
218,7.92931152537903
219,8.74217013448877
220,8.70188427204235
221,9.98490304127494
222,9.40838577753943
223,9.82755768451099
224,8.78363911571527
225,9.00763763078024
226,9.77091025150301
227,9.64761292134931
228,9.56714806878234
229,10.1722611044903
230,9.59429727164612
231,8.31266235705162
232,9.45212476911528
233,10.333749145027
234,10.2113082925937
235,9.43093284502399
236,10.037721618003
237,9.58867666371948
238,9.25241569626539
239,9.38448418404277
240,10.0490423042361
241,9.21497467727252
242,8.9896691382807
243,9.68067274855284
244,8.8928213499879
245,8.74699255816866
246,8.4325587988166
247,7.86509930439096
248,9.33483727964571
249,9.06918947683755
250,8.2009012926124
251,8.26265581011696
252,8.37617234016571
253,8.35522404094457
254,9.65845065894518
255,9.18803022389077
256,9.9077086693908
257,8.99504139857752
258,8.98786338030374
259,8.17512929362492
260,8.06701720874683
261,9.14301316553732
262,8.58757567428387
263,8.16363662509444
264,7.85596043686691
265,8.25497437576497
266,8.158608866481
267,8.5955896961014
268,8.89584406342341
269,8.98687022281075
270,9.21800397377979
271,9.36529326023558
272,8.970122980192
273,7.6671293739473
274,7.95871609066462
275,8.27168537951099
276,8.87815981151661
277,8.55012266324625
278,8.76123540292449
279,8.72883041953081
280,8.45770136932849
281,7.96508188371806
282,7.86151536645126
283,8.10901390286768
284,8.19946440666428
285,8.28044594136054
286,8.287904063153
287,7.87105779632721
288,7.89278819592602
289,8.1404744586737
290,8.07056133522622
291,8.48190347159208
292,8.45918577011732
293,7.97974219581567
294,7.92043753154862
295,7.58841030825165
296,8.38943514872174
297,7.767960993824
298,7.63286344562415
299,7.68064113890515
300,7.03416168588361
301,6.99505775623116
302,7.55979577240857
303,7.18818646487968
304,7.40122162156468
305,6.89767763645176
306,7.23914005615501
307,7.51796295045298
308,6.72060462859034
309,6.77309985496556
310,7.64904179781794
311,6.8109167455817
312,6.83790840165232
313,6.70157175817755
314,7.24065300607656
315,6.57083734516419
316,7.62455750247955
317,6.71084392557706
318,7.0319879073858
319,7.0911114104035
320,6.60838916521442
321,7.20772701213623
322,6.65734712553701
323,6.59907804993954
324,7.48445079671104
325,6.8246340287717
326,6.55368233147081
327,7.07070490228576
328,5.63627617556806
329,6.91122399590469
330,6.17815465964983
331,7.03701041484975
332,6.96133234116851
333,7.11974672871904
334,7.00923284555944
335,6.26159486520979
336,6.82725330759384
337,6.88839564877691
338,6.89514613690767
339,6.62053869394202
340,6.88901739347876
341,6.46177413286031
342,7.40546375242608
343,6.24323107318746
344,6.57589107884531
345,7.15007675640703
346,7.07786247284514
347,7.64743616717143
348,6.76697534652557
349,7.36814311530705
350,7.32401868420973
351,7.8794658201413
352,6.99305719860356
353,7.94262436664726
354,7.71024494843197
355,7.30870459337604
356,6.4263353950571
357,6.34303821122
358,6.65907686751713
359,5.91875305123885
360,6.26084257572242
361,6.70520958390953
362,7.23037410032312
363,6.93996348169239
364,7.15430202565134
365,6.84119385201735
