$French Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.0827634468773898
2,0.0725165439306653
3,0.0833546143550854
4,0.297554297106806
5,0.27390759799898
6,0.178138466612287
7,0.125130449445577
8,0.104242531900331
9,0.100892582860056
10,0.0886751216543462
11,0.120204053798114
12,0.20887917545246
13,0.311348204919704
14,0.214790850229416
15,0.157644660718838
16,0.128283342659954
17,0.111139485806781
18,0.110351262503186
19,0.10719836928881
20,0.106016034333418
21,0.104045476074433
22,0.119021718842722
23,0.133406794133316
24,0.141289027169258
25,0.143456641254142
26,0.148974204379302
27,0.171044456879939
28,0.176167908353301
29,0.137544966477186
30,0.112124764936273
31,0.0949809080830997
32,0.0906456799133317
33,0.083945781832781
34,0.0762606046227377
35,0.0703489298457813
36,0.0693636507162886
37,0.0683783715867958
38,0.066998980805506
39,0.0748812138414479
40,0.0853251726140709
41,0.0861133959176651
42,0.0855222284399694
43,0.0798076094889116
44,0.081778167747897
45,0.0776399954040275
46,0.0738959347119551
47,0.0772458837522305
48,0.0707430414975784
49,0.0695607065421871
50,0.0941926847795055
51,0.126903951878664
52,0.11527765815065
53,0.109760095025491
54,0.149565371856997
55,0.297554297106806
56,0.478845656933469
57,0.516286263854193
58,0.333024345768545
59,0.238437549337242
60,0.202967500675503
61,0.202967500675503
62,0.182867806433852
63,0.145821311164925
64,0.118627607190925
65,0.103257252770839
66,0.0977396896456793
67,0.0975426338197808
68,0.102271973641346
69,0.101483750337752
70,0.0916309590428244
71,0.0809899444443028
72,0.0744871021896508
73,0.0711371531493755
74,0.071334208975274
75,0.0813840560960999
76,0.0916309590428244
77,0.0847340051363752
78,0.077442939578129
79,0.0736988788860566
80,0.0744871021896508
81,0.0841428376586796
82,0.0930103498241142
83,0.0815811119219985
84,0.0762606046227377
85,0.0748812138414479
86,0.0782311628817232
87,0.105424866855723
88,0.180109024871272
89,0.336965462286515
90,0.31331876317869
91,0.25223145715014
92,0.295583738847821
93,0.285730947552893
94,0.319230437955646
95,0.563579662069845
96,0.815811119219985
97,0.675901482832016
98,1.02666085293143
99,0.63057864287535
100,0.392141093538109
101,0.295583738847821
102,0.242378665855213
103,0.200996942416518
104,0.178532578264084
105,0.146018366990823
106,0.120401109624012
107,0.10581897850752
108,0.0949809080830997
109,0.0920250706946215
110,0.073501823060158
111,0.0697577623680857
112,0.0941926847795055
113,0.130845068396635
114,0.107986592592404
115,0.0851281167881723
116,0.0744871021896508
117,0.133209738307418
118,0.14641247864262
119,0.110351262503186
120,0.0847340051363752
121,0.0711371531493755
122,0.0640431434170278
123,0.0717283206270711
124,0.0733047672342595
125,0.0589196919436656
126,0.0689695390644915
127,0.200996942416518
128,0.180503136523069
129,0.12611572857507
130,0.094389740605404
131,0.0760635487968392
132,0.0652254783724191
133,0.0569491336846801
134,0.0532050729926077
135,0.218731966747387
136,0.27390759799898
137,0.206908617193474
138,0.127298063530461
139,0.0861133959176651
140,0.0764576604486362
141,0.0673930924573031
142,0.0520227380372164
143,0.048278677345144
144,0.0573432453364772
145,0.0506433472559266
146,0.0463081190861586
147,0.506433472559266
148,0.545844637738975
149,0.279819272775937
150,0.188385369559011
151,0.161782833062707
152,0.155082934982157
153,0.200996942416518
154,0.142274306298751
155,0.10581897850752
156,0.0892662891320418
157,0.0997102479046648
158,0.216761408488402
159,0.354700486617385
160,0.226614199783329
161,0.163556335495794
162,0.120204053798114
163,0.0894633449579404
164,0.0697577623680857
165,0.0559638545551874
166,0.0468992865638542
167,0.0407905559609992
168,0.037834718572521
169,0.0729106555824624
170,0.0697577623680857
171,0.0666048691537089
172,0.103651364422636
173,0.0865075075694622
174,0.0677872041091002
175,0.0465051749120571
176,0.0413817234386949
177,0.037834718572521
178,0.0394111651797094
179,0.0362582719653327
180,0.0433522816976804
181,0.0390170535279123
182,0.0344847695322457
183,0.0535991846444048
184,0.0553726870774917
185,0.0463081190861586
186,0.0340906578804486
187,0.0271937039739995
188,0.0234496432819271
189,0.0283760389293908
190,0.0354700486617385
191,0.0468992865638542
192,0.0342877137063472
193,0.0309377646660719
194,0.029164262232985
195,0.0305436530142748
196,0.0317259879696661
197,0.0366523836171297
198,0.0346818253581443
199,0.0299524855365792
200,0.0226614199783329
201,0.0189173592862605
202,0.0159024051500127
203,0.0168679786969156
204,0.0144441920383635
205,0.0117445272235534
206,0.0256172573668111
207,0.0668019249796074
208,0.0465051749120571
209,0.0376376627466225
210,0.0323171554473617
211,0.0256172573668111
212,0.020887917545246
213,0.017498557339791
214,0.015330943254907
215,0.0168088619491461
216,0.0202967500675503
217,0.0174394405920214
218,0.0195479379291359
219,0.0283760389293908
220,0.0214790850229416
221,0.0196464658420851
222,0.0171044456879939
223,0.0166906284536069
224,0.0150747706812389
225,0.013695379899949
226,0.0129859789267143
227,0.011251887658807
228,0.0101286694511853
229,0.00912368473910273
230,0.00867045633953607
231,0.00833546143550854
232,0.00843398934845781
233,0.00794134978371145
234,0.00699548181939842
235,0.00638460875911293
236,0.0071334208975274
237,0.00701518740198828
238,0.00673930924573031
239,0.00622696409839409
240,0.00624666968098394
241,0.00557667987292888
242,0.00524168496890135
243,0.00514315705595208
244,0.00484757331710426
245,0.00451257841307673
246,0.00409876117868978
247,0.00955720755607953
248,0.0145033087861331
249,0.00987249687751721
250,0.0102863141119042
251,0.107592480940607
252,0.106607201811114
253,0.0589196919436656
254,0.035667104487637
255,0.025223145715014
256,0.0195085267639562
257,0.014109197134336
258,0.0113504155717563
259,0.0155674102459852
260,0.0599049710731583
261,0.025223145715014
