"$Calculated Flow for Quabbin, Quinapoxet, Trout",
,(m3/s)
JDAY,Flow
345,7.492437665
346,7.514150998
347,7.595384044
348,7.529748056
349,6.819389593
350,6.341763967
351,6.337436236
352,6.273814224
353,6.27156731
354,6.256049087
355,6.0998134
356,6.654263263
357,6.782488387
358,6.876608642
359,7.087655576
360,1.176188295
361,3.273967295
362,5.87612065
363,6.09722722
364,6.134880977
365,6.182658245
