$Malagasco Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.0236538755034412
2,0.0226750944481264
3,0.0231644849757838
4,0.0268349139332144
5,0.0300159523629875
6,0.0316472541218455
7,0.032870730440989
8,0.0306684730665307
9,0.0280583902523579
10,0.0264270884934999
11,0.0276505648126434
12,0.0548117390976294
13,0.409456741473362
14,0.322182097374458
15,0.221041388325261
16,0.126425886311496
17,0.0670465022890645
18,0.0581559077032883
19,0.0529357420749427
20,0.0487759225898547
21,0.0454317539841958
22,0.0437188871373949
23,0.0594609491103747
24,0.115822424878919
25,0.092168549375478
26,0.0670465022890645
27,0.0523647864593423
28,0.0615000763089472
29,0.0597056443742034
30,0.0499993989089982
31,0.0446161031047668
32,0.040293153443793
33,0.0458395794239103
34,0.0519569610196278
35,0.0377646357175631
36,0.0721035377415243
37,0.0587268633188886
38,0.047715576446597
39,0.0544039136579149
40,0.0515491355799133
41,0.0432294966097374
42,0.157420619729799
43,0.311578635941881
44,0.157420619729799
45,0.099509407290339
46,0.0823807388223298
47,0.0807494370634718
48,0.0732454489727249
49,0.0670465022890645
50,0.0619894668366046
51,0.101956359928626
52,0.119900679276064
53,0.101956359928626
54,0.0840120405811879
55,0.0905372476166199
56,0.096246803772623
57,0.134582395105786
58,0.103587661687484
59,0.0831963897017589
60,0.0730823187968391
61,0.116638075758348
62,0.27976825164415
63,0.165577128524089
64,0.116638075758348
65,0.095431152893194
66,0.0831963897017589
67,0.0856433423400459
68,0.0823807388223298
69,0.0721035377415243
70,0.0660677212337497
71,0.0645179845628346
72,0.0663939815855213
73,0.069085629487637
74,0.0649258100025491
75,0.0635392035075198
76,0.0628866828039765
77,0.0494284432933979
78,0.0453501888962529
79,0.0438820173132806
80,0.0426585409941371
81,0.0436373220494519
82,0.0473893160948254
83,0.0505703545245985
84,0.0525279166352281
85,0.0487759225898547
86,0.0495100083813408
87,0.0561983455926587
88,0.0795259607443283
89,0.102772010808055
90,0.11500677399949
91,0.0848276914606169
92,0.0716957123018098
93,0.0697381501911802
94,0.108481566964058
95,0.126425886311496
96,0.0889059458577619
97,0.093799851134336
98,0.0905372476166199
99,0.0749583158195259
100,0.0635392035075198
101,0.0573402568238593
102,0.0533435675146572
103,0.0577480822635738
104,0.0506519196125414
105,0.0456764492480245
106,0.120716330155493
107,0.379277658934489
108,0.239801358552128
109,0.152526714453225
110,0.119085028396635
111,0.092984200254907
112,0.078139354249299
113,0.0669649372011216
114,0.0587268633188886
115,0.0652520703543207
116,0.121531981034922
117,0.099509407290339
118,0.099509407290339
119,0.0815650879429008
120,0.0769974430180984
121,0.0720219726535814
122,0.0618263366607188
123,0.0530173071628855
124,0.0490206178536834
125,0.0446976681927097
126,0.0447792332806526
127,0.0539960882182004
128,0.0476340113586541
129,0.0417613250267652
130,0.0374383753657915
131,0.03458359728779
132,0.0324629050012745
133,0.0365411593984196
134,0.0359702037828193
135,0.0322997748253887
136,0.0579112124394596
137,0.04526862380831
138,0.0371936801019628
139,0.0319735144736171
140,0.0374383753657915
141,0.0344204671119042
142,0.0300975174509304
143,0.0277321299005863
144,0.0234907453275554
145,0.0203097068977823
146,0.0191677956665817
147,0.0192493607545246
148,0.0216963133928116
149,0.0206359672495539
150,0.0175364939077237
151,0.0150895412694367
152,0.0132135442467499
153,0.0132135442467499
154,0.0141923253020647
155,0.0125610235432067
156,0.0163130175885802
157,0.0152526714453225
158,0.0137029347744073
159,0.0128057188070354
160,0.0120716330155493
161,0.0118269377517206
162,0.0104403312566913
163,0.0097062454652052
164,0.00848276914606169
165,0.00791997003925567
166,0.00636207685954627
167,0.00544854787458578
168,0.00489390527657405
169,0.00417613250267652
170,0.00384171564211063
171,0.00345020321998471
172,0.00247957867346419
173,0.00135398045985215
174,0.00104403312566913
175,0.0146001507417793
176,0.0534251326026
177,0.0209622276013255
178,0.013947630038236
179,0.0367858546622483
180,0.0246326565587561
181,0.0128872838949783
182,0.00776499637216416
183,0.00743057951159827
184,0.00619079017486617
185,0.00487759225898547
186,0.00451054936324242
187,0.00434741918735661
188,0.00398853280040785
189,0.00359702037828193
190,0.00321366446495029
191,0.00283846506041295
192,0.00252036121743564
193,0.0022185703920469
194,0.0020554402161611
195,0.00195756211062962
196,0.00192493607545246
197,0.00265902186693857
198,0.0322997748253887
199,0.0381724611572776
200,0.0092984200254907
201,0.00464105350395106
202,0.00358886386948764
203,0.00380908960693347
204,0.00582374727912312
205,0.00689224993117512
206,0.00605212952536324
207,0.0109297217843487
208,0.0110928519602345
209,0.00792812654804996
210,0.00656598957940352
211,0.00612553810451185
212,0.00523647864593423
213,0.00450239285444813
214,0.00457580143359674
215,0.0111744170481774
216,0.0130504140708641
217,0.018923100402753
218,0.0110112868722916
219,0.00804231767117002
220,0.00880902949783329
221,0.0104403312566913
222,0.0094615502013765
223,0.0203912719857252
224,0.113375472240632
225,0.0796890909202141
226,0.149264110935509
227,0.152526714453225
228,0.081401957767015
229,0.0464921001274535
230,0.04274010608208
231,0.0530988722508284
232,0.0371936801019628
233,0.0252036121743564
234,0.0349914227275045
235,0.0495915734692837
236,0.0310762985062452
237,0.0190046654906959
238,0.0138660649502931
239,0.0108481566964058
240,0.009869375641091
241,0.00791997003925567
242,0.00663124164975784
243,0.00605212952536324
244,0.00519569610196278
245,0.00471446208309967
246,0.00429848013459087
247,0.00382540262452205
248,0.00338495114963038
249,0.0041924455202651
250,0.00750398809074688
251,0.0067454327728779
252,0.00495100083813408
253,0.0050162529084884
254,0.0297712570991588
255,0.0300159523629875
256,0.0326260351771603
257,0.0260192630537854
258,0.0178627542594953
259,0.0133766744226357
260,0.0106034614325771
261,0.18107449523324
262,0.338495114963038
263,0.137844998623502
264,0.0808310021514147
265,0.0510597450522559
266,0.0365411593984196
267,0.0272427393729289
268,0.0353176830792761
269,0.122347631914351
270,0.185968400509814
271,0.125610235432067
272,0.0897215967371909
273,0.0622341621004333
274,0.0479602717104257
275,0.050162529084884
276,0.0864589932194749
277,0.0761002270507265
278,0.0557089550650013
279,0.0647626798266633
280,0.0440451474891665
281,0.0327891653530461
282,0.028792476043844
283,0.027976825164415
284,0.0514675704919704
285,0.179443193474382
286,0.093799851134336
287,0.0683515436961509
288,0.0553826947132297
289,0.0531804373387713
290,0.047715576446597
291,0.0405378487076217
292,0.0359702037828193
293,0.0339310765842467
294,0.0311578635941881
295,0.0284662156920724
296,0.0283846506041295
297,0.0327891653530461
298,0.0309131683303594
299,0.0277321299005863
300,0.0398037629161356
301,0.11500677399949
302,0.0880902949783329
303,0.0757739666989549
304,0.0648442449146062
305,0.104403312566913
306,0.0701459756308947
307,0.455948841600816
308,0.363780292225338
309,0.178627542594953
310,0.177811891715524
311,0.236538755034412
312,0.150895412694367
313,0.110112868722916
314,0.217778784807545
315,0.18107449523324
316,0.122347631914351
317,0.211253577772113
318,0.29608126923273
319,0.165577128524089
320,0.153342365332654
321,0.141107602141218
322,0.117453726637777
323,0.114191123120061
324,0.151711063573796
325,0.134582395105786
326,0.09869375641091
327,0.0752030110833546
328,0.0726744933571246
329,0.0793628305684425
330,0.097062454652052
331,0.365411593984196
332,0.286293458679582
333,0.169655382921234
334,0.123978933673209
335,0.102772010808055
336,0.153342365332654
337,0.236538755034412
338,0.165577128524089
339,0.118269377517206
340,0.096246803772623
341,0.0831963897017589
342,0.0710431915982666
343,0.0623157271883762
344,0.0591346887586031
345,0.0536698278664287
346,0.0512228752281417
347,0.0455133190721387
348,0.0449423634565384
349,0.0471446208309967
350,0.0481234018863115
351,0.0755292714351262
352,0.0659045910578639
353,0.0512228752281417
354,0.0468183604792251
355,0.1068502652052
356,0.269980441091002
357,0.149264110935509
358,0.096246803772623
359,0.0762633572266123
360,0.0628866828039765
361,0.0562799106806016
362,0.0588084284068315
363,0.0856433423400459
364,0.0716957123018098
365,0.0603581650777466
