$Direct Runoff Daily Discharge, 
FROM: 2018 qwb waterbalance output, 
JDAY,M^3/sec
1,0
2,0
3,0
4,-0.403333333
5,-0.403333333
6,0.256666667
7,0.78
8,1.146666667
9,0.486666667
10,0.243333333
11,-0.49
12,-0.243333333
13,-2.506666667
14,-5.436666667
15,-7.696666667
16,-5.31
17,-2.013333333
18,1.48E-15
19,-0.05
20,0.29
21,1.27
22,1.443333333
23,1.9
24,0.92
25,0.796666667
26,0.306666667
27,0.796666667
28,1.406666667
29,1.776666667
30,1.96
31,1.413333333
32,0.736666667
33,0.063333333
34,0.306666667
35,1.163333333
36,1.163333333
37,0.92
38,0.186666667
39,0.493333333
40,0.673333333
41,0.55
42,-0.613333333
43,-0.856666667
44,-0.98
45,-0.123333333
46,1.30E-15
47,0.796666667
48,1.776666667
49,1.713333333
50,1.04
51,0.12
52,0.123333333
53,0.49
54,0.673333333
55,0.61
56,0.37
57,0.676666667
58,1.41
59,1.283333333
60,0.856666667
61,0.123333333
62,0.336666667
63,0.553333333
64,1.376666667
65,2.543333333
66,4.113333333
67,3.723333333
68,2.336666667
69,1.693333333
70,3.41
71,3.416666667
72,2.336666667
73,0.736666667
74,1.163333333
75,0.976666667
76,1.283333333
77,0.856666667
78,0.673333333
79,0.37
80,0.98
81,1.59
82,1.22
83,1.346666667
84,1.776666667
85,1.713333333
86,1.65
87,1.04
88,1.41
89,0.86
90,0.98
91,1.04
92,1.043333333
93,0.676666667
94,0.126666667
95,1.04
96,2.693333333
97,3.04
98,1.95
99,0.97
100,1.286666667
101,2.37
102,1.696666667
103,1.383333333
104,0.9
105,0.9
106,1.56
107,1.01
108,1.01
109,1.48E-15
110,1.48E-15
111,1.48E-15
112,-2.653333333
113,-2.653333333
114,-1.77
115,1.136666667
116,1.58
117,0.99
118,1.21
119,1.623333333
120,2.246666667
121,3.543333333
122,3.483333333
123,2.996666667
124,1.9
125,2.103333333
126,2.53
127,3.02
128,2.816666667
129,2.573333333
130,1.836666667
131,1.773333333
132,1.893333333
133,2.753333333
134,2.02
135,1.286666667
136,2.22E-15
137,0.43
138,0.553333333
139,0.553333333
140,-0.183333333
141,-0.306666667
142,-0.246666667
143,0.06
144,-0.366666667
145,-0.426666667
146,2.22E-15
147,1.346666667
148,1.59
149,0.856666667
150,-1.043333333
151,-1.286666667
152,-0.98
153,2.22E-15
154,0.183333333
155,0.123333333
156,0.123333333
157,-0.976666667
158,-1.956666667
159,-1.956666667
160,-0.673333333
161,0.733333333
162,0.796666667
163,0.553333333
164,0.736666667
165,0.98
166,1.53
167,1.53
168,1.223333333
169,0.55
170,0.183333333
171,0.49
172,0.92
173,1.47
174,2.326666667
175,2.936666667
176,3.243333333
177,2.326666667
178,2.876666667
179,2.816666667
180,3.12
181,2.263333333
182,2.263333333
183,2.326666667
184,2.51
185,1.896666667
186,2.2
187,1.956666667
188,2.263333333
189,2.57
190,2.693333333
191,2.51
192,1.593333333
193,1.593333333
194,1.776666667
195,2.203333333
196,2.813333333
197,2.506666667
198,2.57
199,3.306666667
200,3.613333333
201,3.426666667
202,1.283333333
203,0.61
204,0.796666667
205,1.286666667
206,1.286666667
207,0.366666667
208,0.06
209,0.61
210,0.733333333
211,0.856666667
212,1.283333333
213,1.283333333
214,1.16
215,0.796666667
216,1.103333333
217,1.84
218,1.226666667
219,1.41
220,1.956666667
221,1.893333333
222,2.873333333
223,4.4
224,4.463333333
225,2.993333333
226,2.37E-15
227,3.496666667
228,3.496666667
229,3.496666667
230,0.346666667
231,0.836666667
232,2.49
233,2.143333333
234,1.653333333
235,2.66E-15
236,0.566666667
237,1.24
238,2.093333333
239,2.033333333
240,1.96
241,1.51
242,1.826666667
243,2.36
244,2.67
245,2.486666667
246,2.09
247,2.223333333
248,2.613333333
249,3.133333333
250,3.403333333
251,4.04
252,2.783333333
253,2.12
254,0.94
255,1.29
256,1.68
257,1.596666667
258,2.106666667
259,2.06
260,1.54
261,-1.453333333
262,-2.25
263,-2.44
264,-0.306666667
265,0.34
266,1.12
267,2.546666667
268,2.246666667
269,2.193333333
270,0.766666667
271,1.623333333
272,1.88
273,1.88
274,0.29
275,-0.386666667
276,0.333333333
277,1.256666667
278,3.23
279,2.79
280,3.346666667
281,2.053333333
282,3.666666667
283,3.296666667
284,4.29
285,3.61
286,3.65
287,3.796666667
288,2.833333333
289,4.14
290,2.62
291,3.106666667
292,2.1
293,2.553333333
294,2.99
295,2.79
296,3.583333333
297,3.25
298,2.746666667
299,3.306666667
300,3.046666667
301,3.303333333
302,1.76
303,2.57
304,3.113333333
305,3.41
306,2.02
307,1.886666667
308,0.99
309,1.876666667
310,2.436666667
311,3.476666667
312,3.03
313,4.163333333
314,4.383333333
315,5.856666667
316,3.726666667
317,2.503333333
318,1.72
319,2.69
320,3.256666667
321,2.693333333
322,1.99
323,2.573333333
324,2.896666667
325,2.82
326,3.096666667
327,3
328,3.566666667
329,2.553333333
330,2.246666667
331,2.183333333
332,2.676666667
333,2.44
334,1.563333333
335,0.656666667
336,2.273333333
337,2.506666667
338,4.37
339,3.743333333
340,4.573333333
341,4.07
342,4.4
343,5.433333333
344,5.6
345,4.986666667
346,3.146666667
347,2.786666667
348,4.123333333
349,3.966666667
350,2.8
351,-1.033333333
352,-3.246666667
353,-3.246666667
354,-1.706666667
355,2.96E-15
356,2.96E-15
357,-0.576666667
358,-0.576666667
359,0.26
360,0.836666667
361,0.843333333
362,1.193333333
363,1.5
364,1.493333333
365,0
