$Weekly temp data for Malden, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,1.85555555555556
18,1.66666666666667
24,1.6
36,1.6
45,2.86
51,3.7
64,3.4
78,0.8
80,1.27142857142857
92,4.1
109,5.5
114,7.83333333333333
127,13.9
137,14.4
143,14.7
158,13.4
171,15.5
172,15.7846153846154
184,19.2
198,17.8933333333333
199,17.8
218,19.1
219,19.0809523809524
226,18.947619047619
239,18.7
253,12.9
267,12
268,12.25625
283,16.1
289,12.6714285714286
297,8.1
311,8.7
323,4
324,3.2
337,5.8
351,3.8
352,1.5
365,2.39375
