$Flow data for Stillwater; 2018, 
JDAY,Flow
 ,(m3/s)
1,0.8211872
2,0.78720704
3,0.80419712
4,0.93162272
5,1.04205824
6,1.09869184
7,1.14116704
8,1.06471168
9,0.97409792
10,0.91746432
11,0.95993952
12,1.90288896
13,14.2150336
14,11.185136
15,7.6738528
16,4.389104
17,2.32764096
18,2.01898784
19,1.83776032
20,1.69334464
21,1.57724576
22,1.51778048
23,2.06429472
24,4.0209856
25,3.1997984
26,2.32764096
27,1.81793856
28,2.13508672
29,2.07278976
30,1.73581984
31,1.54892896
32,1.39884992
33,1.59140416
34,1.80378016
35,1.31106784
36,2.50320512
37,2.0388096
38,1.6565328
39,1.88873056
40,1.78962176
41,1.5007904
42,5.4651424
43,10.8170176
44,5.4651424
45,3.4546496
46,2.8599968
47,2.8033632
48,2.54284864
49,2.32764096
50,2.1520768
51,3.5396
52,4.1625696
53,3.5396
54,2.9166304
55,3.1431648
56,3.3413824
57,4.672272
58,3.5962336
59,2.8883136
60,2.53718528
61,4.0493024
62,9.7126624
63,5.7483104
64,4.0493024
65,3.3130656
66,2.8883136
67,2.973264
68,2.8599968
69,2.50320512
70,2.2936608
71,2.23985888
72,2.30498752
73,2.39843296
74,2.25401728
75,2.20587872
76,2.18322528
77,1.71599808
78,1.57441408
79,1.52344384
80,1.48096864
81,1.5149488
82,1.64520608
83,1.7556416
84,1.82360192
85,1.69334464
86,1.71882976
87,1.95102752
88,2.760888
89,3.5679168
90,3.9926688
91,2.9449472
92,2.48904672
93,2.4210864
94,3.7661344
95,4.389104
96,3.0865312
97,3.256432
98,3.1431648
99,2.60231392
100,2.20587872
101,1.99067104
102,1.85191872
103,2.00482944
104,1.75847328
105,1.5857408
106,4.1908864
107,13.167312
108,8.3251392
109,5.2952416
110,4.1342528
111,3.2281152
112,2.71274944
113,2.32480928
114,2.0388096
115,2.265344
116,4.2192032
117,3.4546496
118,3.4546496
119,2.83168
120,2.67310592
121,2.50037344
122,2.14641344
123,1.840592
124,1.70183968
125,1.55176064
126,1.55459232
127,1.87457216
128,1.65370112
129,1.44982016
130,1.29974112
131,1.20063232
132,1.12700864
133,1.26859264
134,1.24877088
135,1.12134528
136,2.0104928
137,1.5715824
138,1.29124608
139,1.11001856
140,1.29974112
141,1.19496896
142,1.04488992
143,0.9627712
144,0.81552384
145,0.70508832
146,0.6654448
147,0.66827648
148,0.75322688
149,0.71641504
150,0.6088112
151,0.5238608
152,0.45873216
153,0.45873216
154,0.49271232
155,0.43607872
156,0.566336
157,0.52952416
158,0.47572224
159,0.44457376
160,0.41908864
161,0.4105936
162,0.36245504
163,0.33696992
164,0.29449472
165,0.274956128
166,0.22087104
167,0.189156224
168,0.1699008
169,0.144982016
170,0.133372128
171,0.119780064
172,0.086083072
173,0.047005888
174,0.036245504
175,0.50687072
176,1.8547504
177,0.72774176
178,0.48421728
179,1.27708768
180,0.85516736
181,0.44740544
182,0.269575936
183,0.257966048
184,0.214924512
185,0.169334464
186,0.156591904
187,0.150928544
188,0.138469152
189,0.124877088
190,0.111568192
191,0.098542464
192,0.087498912
193,0.077021696
194,0.071358336
195,0.06796032
196,0.066827648
197,0.092312768
198,1.12134528
199,1.32522624
200,0.32281152
201,0.161122592
202,0.12459392
203,0.132239456
204,0.202181952
205,0.23927696
206,0.210110656
207,0.37944512
208,0.38510848
209,0.275239296
210,0.22795024
211,0.212659168
212,0.181793856
213,0.156308736
214,0.158857248
215,0.38794016
216,0.4530688
217,0.65694976
218,0.3822768
219,0.279203648
220,0.30582144
221,0.36245504
222,0.32847488
223,0.70792
224,3.9360352
225,2.76655136
226,5.1819744
227,5.2952416
228,2.82601664
229,1.6140576
230,1.48380032
231,1.84342368
232,1.29124608
233,0.87498912
234,1.21479072
235,1.72166144
236,1.07887008
237,0.65978144
238,0.4813856
239,0.37661344
240,0.34263328
241,0.274956128
242,0.230215584
243,0.210110656
244,0.180378016
245,0.163671104
246,0.149229536
247,0.132805792
248,0.11751472
249,0.145548352
250,0.26051456
251,0.234179936
252,0.171882976
253,0.17414832
254,1.0335632
255,1.04205824
256,1.132672
257,0.90330592
258,0.62013792
259,0.46439552
260,0.3681184
261,6.2863296
262,11.751472
263,4.7855392
264,2.80619488
265,1.77263168
266,1.26859264
267,0.94578112
268,1.22611744
269,4.24752
270,6.4562304
271,4.3607872
272,3.114848
273,2.16057184
274,1.66502784
275,1.7414832
276,3.0015808
277,2.64195744
278,1.93403744
279,2.24835392
280,1.5291072
281,1.13833536
282,0.99958304
283,0.97126624
284,1.78679008
285,6.229696
286,3.256432
287,2.37294784
288,1.92271072
289,1.84625536
290,1.6565328
291,1.40734496
292,1.24877088
293,1.17797888
294,1.08170176
295,0.98825632
