$Cosgrove Out, 
FROM: 2017_WaterBalance, 
JDAY,m3/s
1,8.1989162760349
2,8.07713662626363
3,8.19754724237632
4,7.90939917545734
5,8.55237464553519
6,8.31448938048202
7,8.6929407419979
8,8.76378601049373
9,8.33209400566356
10,8.46634033253412
11,8.28893754915539
12,8.47428234619841
13,8.06227777534634
14,8.22568833147135
15,8.40324949952034
16,8.41844573197212
17,7.91640022586263
18,7.99276632034134
19,8.08141189915032
20,7.73445321993419
21,8.15471752234856
22,7.79283017487895
23,8.18602702918647
24,7.8472701042471
25,8.03506715660823
26,7.72823938480616
27,7.98275011822578
28,7.75440421531863
29,7.95293829232692
30,7.78749361152743
31,8.10426291001937
32,7.72942651938839
33,7.91114189149314
34,7.64182552057739
35,7.93410280781301
36,7.76316211947672
37,7.98826529243088
38,7.42023364769556
39,7.94966085491969
40,7.59961999014808
41,7.49103881172064
42,7.59691373350766
43,7.61580984157867
44,7.76247234171323
45,7.63601935300042
46,7.73070243168226
47,7.42844155566897
48,7.56465413775042
49,7.29497256754016
50,7.53890513078278
51,7.47517905531298
52,7.62717795640257
53,6.97398029610717
54,7.79124914294339
55,7.23755003343758
56,7.55519323034922
57,7.48024034375058
58,7.51667626928958
59,7.38204905488707
60,7.86418341717345
61,7.18519816797466
62,7.40291614405736
63,7.47454226941873
64,7.31765881576957
65,7.56775110471243
66,7.26193786973411
67,7.43220140544041
68,7.02357240856008
69,7.73930513666415
70,7.10679868892222
71,7.75485647400705
72,6.58823298819127
73,7.76643999848592
74,7.22671552897531
75,7.83055945085643
76,7.26129168021949
77,7.89398229505149
78,7.17292569514124
79,7.63982101157333
80,7.53404425988552
81,7.51782583346189
82,7.53526882552573
83,7.50307098801273
84,7.49908734832449
85,7.94294520421589
86,7.19818089974951
87,8.04347118975705
88,7.12615408164425
89,7.81731962708486
90,7.47486439565102
91,7.70643594638347
92,7.24067611789937
93,7.83457302014499
94,7.29065626929542
95,8.14384976747297
96,7.39632688213229
97,7.67020028377952
98,7.77496472191749
99,7.86177302806621
100,7.87613173821346
101,7.96275074230012
102,7.54358446351788
103,8.0335116097805
104,7.34252821522919
105,7.19293994558076
106,7.73835910262536
107,7.55886547944485
108,7.66521745371683
109,7.24805020368246
110,7.81413256360291
111,7.23333012969297
112,7.9143163000382
113,7.82048738380903
114,8.23687055984794
115,7.79718755421421
116,7.89101501021892
117,7.55810445109022
118,8.03722167498085
119,7.5964889063131
120,8.22544729233584
121,7.39304111860649
122,8.94728835905526
123,8.41360630009165
124,8.44899356160799
125,8.08530022851733
126,8.16669401496721
127,8.01739468979348
128,8.78309711636023
129,8.41185780475862
130,8.64778620846301
131,8.51266436065909
132,7.90999448200626
133,7.60686496366223
134,8.47845236399694
135,8.74884415630023
136,8.33552132138716
137,8.16026906769861
138,8.66064263171745
139,8.09003286269157
140,7.98689045515816
141,8.82002361399996
142,8.58148261102343
143,9.22393743621707
144,8.73608759189139
145,9.77469611837905
146,8.98477729485415
147,8.11098694121028
148,8.31156146295119
149,9.41489385413222
150,9.96012140036187
151,9.58826857964921
152,10.2676194733698
153,9.22841168438969
154,9.21370839722722
155,8.51548998525474
156,8.73652320902518
157,8.23720458232769
158,9.15087538684298
159,9.76878396845732
160,9.59664739222388
161,9.76858965948862
162,10.4118774721876
163,10.2270844901845
164,10.091922092838
165,10.0662927913068
166,10.2124860891101
167,10.2083512224314
168,11.103291295124
169,12.0631056382999
170,11.1507377234282
171,12.0703318455438
172,11.764757290006
173,12.0817075730155
174,10.3105705159555
175,10.6211969698997
176,10.3561864000638
177,11.2117223612124
178,11.4727183498943
179,10.1119073043221
180,10.7545509747633
181,11.4434113436136
182,11.6566074241429
183,12.7448190126766
184,12.3880786923676
185,12.5768309824285
186,12.4172204741321
187,11.5112247384218
188,10.7032719293622
189,11.4876248657315
190,12.7494153944294
191,13.0341793804677
192,12.3808059440225
193,11.8626021668276
194,12.6312564607555
195,11.7980766896072
196,11.088749442487
197,12.7529417025514
198,11.5539836719637
199,10.6441619066991
200,11.0913359512528
201,11.6275364636261
202,10.5256514014658
203,9.77311938468492
204,10.0176061366366
205,10.3336020422942
206,10.5789400455368
207,9.47120749943483
208,10.0524679075699
209,9.96948905232795
210,10.115740933736
211,11.2694768453615
212,10.6190420524205
213,11.3138119275102
214,11.6659066987555
215,11.847667344959
216,10.0304808273464
217,10.5058523390586
218,12.3681096916972
219,12.1163916736133
220,11.3071101962638
221,10.550179520522
222,11.3170163767006
223,10.1995984820489
224,9.22607548085808
225,10.4331138968156
226,9.51464958782166
227,10.3886305244956
228,10.1097095335215
229,10.6290737616988
230,8.52368602142636
231,8.87922990237551
232,9.5673678032774
233,9.73390009771217
234,9.36047057826709
235,8.94829113215467
236,10.3469410526796
237,9.51382848633377
238,9.76368162161632
239,11.0645635900886
240,11.4283369757457
241,11.6631495497508
242,11.5432142496482
243,11.6349729135143
244,10.7454720275277
245,11.1191794609529
246,12.0548735300076
247,12.9607770196053
248,12.5388225779944
249,12.1436876179109
250,10.9827942768047
251,10.3467963994966
252,10.7182037508557
253,10.8868204483141
254,10.1144799860026
255,9.82544504304351
256,10.1625918816895
257,9.32943019800465
258,8.90989969760479
259,9.30944562162492
260,10.518878488799
261,8.97617353376865
262,8.6564865738609
263,9.29669490958474
264,8.86055200342807
265,9.05944782045222
266,8.58503069567908
267,10.2031191212071
268,9.05512060430275
269,9.60073388004643
270,9.1450000640777
271,9.22384705590093
272,8.70571421740347
273,9.09834624882529
274,9.3253869740267
275,8.26599949180368
276,8.70188051909896
277,8.2487735546127
278,9.00221583422636
279,8.20422477662188
280,8.01913195472401
281,8.6317692502534
282,8.70933759437581
283,9.14727988061564
284,8.72112112046172
285,7.97091335592597
286,7.89336986984247
287,7.99069326875283
288,8.46989790893602
289,7.80862607486965
290,8.850001637013
291,8.00150902230742
292,8.43911353981169
293,7.8255229365902
294,8.08029042234477
295,8.01124045895722
296,8.2253553113818
297,8.29247516643747
298,7.86648353883615
299,7.75325700232168
300,7.44170643272458
301,8.02535969053721
302,8.34735189002962
303,8.4792637403841
304,8.35812229061132
305,8.47114004956578
306,8.66749585698666
307,8.55057456108929
308,8.36977322547502
309,8.10632256515476
310,7.56899213973996
311,8.22102745192419
312,7.07077842618265
313,7.80602176773387
314,7.19057305170183
315,7.64651697095022
316,7.33258407614332
317,7.63447616675665
318,7.5313408078391
319,7.56848490839736
320,7.59073766281009
321,7.68684424517105
322,7.43236940035107
323,7.32515850169392
324,7.96107567651296
325,7.72287490506659
326,6.99306701156205
327,7.11723557674215
328,7.35410196631071
329,8.03450926564761
330,7.47596335043228
331,7.7569197029145
332,7.73856688151388
333,7.73102000897896
334,7.24870021178626
335,7.39573228224539
336,7.67640398769571
337,7.49202725267486
338,7.57815298973886
339,7.53838202419452
340,7.61791339645426
341,7.34588459919075
342,7.65857236366119
343,7.43483878622685
344,7.52355402917858
345,7.6562960887292
346,7.89380967914014
347,7.12064368428492
348,7.75567546653699
349,7.4779276250033
350,7.38844139542792
351,7.37175115967734
352,7.70961666108568
353,7.27237603361123
354,7.45883668241941
355,7.14449403133344
356,7.56381099818204
357,6.56724785061145
358,7.22986407235105
359,6.41631292572123
360,7.25595016016277
361,7.12862295469378
362,7.38614015615327
363,6.87200370793902
364,7.03848561405787
365,7.42084931289878
