$Malden Brook Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.0696010053530462
2,0.0667209637522305
3,0.0681609845526383
4,0.0789611405556972
5,0.0883212757583482
6,0.093121345093041
7,0.0967213970940607
8,0.0902413034922254
9,0.0825611925567168
10,0.077761123222024
11,0.0813611752230436
12,0.161282329645679
13,1.2048174030079
14,0.948013693601836
15,0.65040939485088
16,0.372005373438695
17,0.197282849655876
18,0.1711224717818
19,0.155762249910783
20,0.143522073107316
21,0.133681930971196
22,0.128641858169768
23,0.174962527249554
24,0.340804922763192
25,0.271203917410145
26,0.197282849655876
27,0.15408222564364
28,0.18096261391792
29,0.175682537649758
30,0.147122125108335
31,0.131281896303849
32,0.118561712566913
33,0.134881948304869
34,0.152882208309967
35,0.111121605098139
36,0.212163064593423
37,0.172802496048942
38,0.140402028039766
39,0.160082312312006
40,0.151682190976294
41,0.12720183736936
42,0.463206690797859
43,0.916813242926332
44,0.463206690797859
45,0.292804229416263
46,0.242403501401988
47,0.237603432067296
48,0.215523113127708
49,0.197282849655876
50,0.182402634718328
51,0.300004333418302
52,0.352805096099924
53,0.300004333418302
54,0.247203570736681
55,0.266403848075453
56,0.283204090746877
57,0.396005720112159
58,0.304804402752995
59,0.244803536069335
60,0.215043106194239
61,0.343204957430538
62,0.823211890899822
63,0.487207037471323
64,0.343204957430538
65,0.280804056079531
66,0.244803536069335
67,0.252003640071374
68,0.242403501401988
69,0.212163064593423
70,0.19440280805506
71,0.189842742187102
72,0.195362821921999
73,0.203282936324242
74,0.191042759520775
75,0.186962700586286
76,0.185042672852409
77,0.145442100841193
78,0.133441927504461
79,0.129121865103237
80,0.125521813102218
81,0.128401854703033
82,0.139442014172827
83,0.148802149375478
84,0.154562232577109
85,0.143522073107316
86,0.145682104307928
87,0.165362388580168
88,0.234003380066276
89,0.302404368085649
90,0.338404888095845
91,0.249603605404028
92,0.21096304725975
93,0.205202964058119
94,0.319204610757074
95,0.372005373438695
96,0.26160377874076
97,0.276003986744838
98,0.266403848075453
99,0.220563185929136
100,0.186962700586286
101,0.168722437114453
102,0.156962267244456
103,0.169922454448126
104,0.149042152842213
105,0.134401941371399
106,0.35520513076727
107,1.11601612031608
108,0.705610192199847
109,0.44880648279378
110,0.350405061432577
111,0.273603952077492
112,0.229923321131787
113,0.197042846189141
114,0.172802496048942
115,0.192002773387714
116,0.357605165434616
117,0.292804229416263
118,0.292804229416263
119,0.240003466734642
120,0.226563272597502
121,0.211923061126689
122,0.181922627784859
123,0.156002253377517
124,0.14424208350752
125,0.131521899770584
126,0.131761903237318
127,0.158882294978333
128,0.140162024573031
129,0.122881774968137
130,0.110161591231201
131,0.101761469895488
132,0.0955213797603875
133,0.10752155309712
134,0.105841528829977
135,0.0950413728269182
136,0.170402461381596
137,0.133201924037726
138,0.109441580830997
139,0.0940813589599796
140,0.110161591231201
141,0.101281462962019
142,0.0885612792250829
143,0.0816011786897782
144,0.0691209984195769
145,0.0597608632169258
146,0.0564008146826408
147,0.0566408181493755
148,0.0638409221514148
149,0.0607208770838644
150,0.051600745347948
151,0.0444006413459088
152,0.038880561611012
153,0.038880561611012
154,0.0417606032118277
155,0.0369605338771349
156,0.0480006933469284
157,0.044880648279378
158,0.0403205824114198
159,0.0376805442773388
160,0.035520513076727
161,0.0348005026765231
162,0.0307204437420342
163,0.0285604125414224
164,0.0249603605404028
165,0.0233043366199337
166,0.0187202704053021
167,0.0160322315778741
168,0.0144002080040785
169,0.0122881774968137
170,0.0113041632832016
171,0.0101521466428754
172,0.00729610538873311
173,0.00398405754779506
174,0.00307204437420342
175,0.0429606205455009
176,0.15720227071119
177,0.061680890950803
178,0.0410405928116238
179,0.108241563497324
180,0.0724810469538618
181,0.0379205477440734
182,0.0228483300331379
183,0.0218643158195259
184,0.0182162631251593
185,0.0143522073107316
186,0.0132721917104257
187,0.0127921847769564
188,0.011736169523324
189,0.0105841528829977
190,0.00945613658934489
191,0.00835212064236554
192,0.00741610712210043
193,0.00652809429518226
194,0.00604808736171298
195,0.00576008320163141
196,0.00566408181493755
197,0.00782411301554932
198,0.0950413728269182
199,0.112321622431812
200,0.0273603952077492
201,0.0136561972572011
202,0.0105601525363242
203,0.0112081618965078
204,0.0171362475248534
205,0.0202802929390772
206,0.0178082572317104
207,0.032160464542442
208,0.0326404714759113
209,0.0233283369666072
210,0.0193202790721387
211,0.0180242603517716
212,0.015408222564364
213,0.0132481913637522
214,0.0134641944838134
215,0.0328804749426459
216,0.0384005546775427
217,0.0556808042824369
218,0.0324004680091767
219,0.0236643418200357
220,0.0259203744073413
221,0.0307204437420342
222,0.0278404021412185
223,0.0600008666836605
224,0.333604818761152
225,0.234483386999745
226,0.439206344124395
227,0.44880648279378
228,0.239523459801173
229,0.136801976038746
230,0.125761816568952
231,0.156242256844252
232,0.109441580830997
233,0.0741610712210043
234,0.102961487229161
235,0.145922107774662
236,0.0914413208258986
237,0.0559208077491716
238,0.0408005893448891
239,0.0319204610757074
240,0.0290404194748917
241,0.0233043366199337
242,0.0195122818455264
243,0.0178082572317104
244,0.0152882208309967
245,0.0138722003772623
246,0.0126481826969156
247,0.0112561625898547
248,0.00996014386948764
249,0.0123361781901606
250,0.0220803189395871
251,0.0198482866989549
252,0.0145682104307928
253,0.0147602132041805
254,0.0876012653581443
255,0.0883212757583482
256,0.0960013866938568
257,0.0765611058883508
258,0.0525607592148866
259,0.0393605685444813
260,0.0312004506755034
261,0.532807696150905
262,0.996014386948764
263,0.405605858781545
264,0.23784343553403
265,0.150242170175886
266,0.10752155309712
267,0.0801611578893704
268,0.1039215010961
269,0.360005200101963
270,0.547207904154984
271,0.369605338771349
272,0.264003813408106
273,0.183122645118532
274,0.141122038439969
275,0.147602132041805
276,0.25440367473872
277,0.223923234463421
278,0.16392236777976
279,0.190562752587306
280,0.129601872036707
281,0.0964813936273261
282,0.0847212237573286
283,0.0823211890899822
284,0.151442187509559
285,0.528007626816212
286,0.276003986744838
287,0.20112290512363
288,0.162962353912822
289,0.156482260310987
290,0.140402028039766
291,0.119281722967117
292,0.105841528829977
293,0.099841442161611
294,0.0916813242926332
295,0.08376120989039
296,0.0835212064236554
297,0.0964813936273261
298,0.0909613138924293
299,0.0816011786897782
300,0.117121691766505
301,0.338404888095845
302,0.259203744073413
303,0.222963220596482
304,0.19080275605404
305,0.307204437420342
306,0.206402981391792
307,1.34161937904665
308,1.0704154616365
309,0.525607592148866
310,0.523207557481519
311,0.696010053530462
312,0.444006413459088
313,0.324004680091767
314,0.640809256181494
315,0.532807696150905
316,0.360005200101963
317,0.621608978842723
318,0.87121258424675
319,0.487207037471323
320,0.451206517461127
321,0.41520599745093
322,0.345604992097884
323,0.336004853428499
324,0.446406448126434
325,0.396005720112159
326,0.290404194748917
327,0.22128319632934
328,0.213843088860566
329,0.233523373132807
330,0.285604125414224
331,1.0752155309712
332,0.842412168238593
333,0.499207210808055
334,0.364805269436656
335,0.302404368085649
336,0.451206517461127
337,0.696010053530462
338,0.487207037471323
339,0.348005026765231
340,0.283204090746877
341,0.244803536069335
342,0.209043019525873
343,0.183362648585266
344,0.174002513382615
345,0.157922281111394
346,0.150722177109355
347,0.13392193443793
348,0.132241910170788
349,0.138722003772623
350,0.141602045373439
351,0.222243210196278
352,0.193922801121591
353,0.150722177109355
354,0.137761989905684
355,0.314404541422381
356,0.794411474891665
357,0.439206344124395
358,0.283204090746877
359,0.22440324139689
360,0.185042672852409
361,0.165602392046903
362,0.173042499515677
363,0.252003640071374
364,0.21096304725975
365,0.177602565383635
