$Weekly temp data for Stillwater (sb), 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,0.609090909090909
10,0.2
18,0.2
24,0.2
36,0.4
45,1.36
51,2
64,3.1
78,1
80,1.72857142857143
92,6.1
109,5.9
114,8.31666666666667
127,14.6
137,15.2875
143,15.7
158,15.3
171,18.6
172,18.9307692307692
184,22.9
198,21.6866666666667
199,21.6
218,22.1
219,22.1047619047619
226,22.1380952380952
239,22.2
240,21.7
253,15.2
261,14.6857142857143
262,14.6214285714286
263,14.5571428571429
267,14.3
268,14.45
282,16.55
283,16.7
289,12.4571428571429
297,6.8
311,8.5
323,3.2
324,3.27857142857143
337,4.3
351,1.9
352,1
365,1.1625
