Evaluations	Best_Fitness
3168	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3200	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3232	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3264	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3296	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3328	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3360	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3392	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3424	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3456	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3488	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3520	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3552	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3584	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3616	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3648	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3680	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3712	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3744	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3776	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3808	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3840	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3872	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3904	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3936	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
3968	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4000	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4032	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4064	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4096	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4128	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4160	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4192	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4224	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4256	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4288	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4320	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4352	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4384	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4416	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4448	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4480	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4512	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4544	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4576	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4608	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4640	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4672	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4704	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4736	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4768	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4800	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4832	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4864	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4896	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4928	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4960	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
4992	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5024	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5056	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5088	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5120	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5152	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5184	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5216	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5248	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5280	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5312	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5344	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5376	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5408	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5440	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5472	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5504	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5536	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5568	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5600	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5632	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5664	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5696	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5728	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5760	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5792	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5824	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5856	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5888	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5920	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5952	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
5984	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6016	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6048	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6080	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6112	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6144	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6176	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6208	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6240	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6272	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6304	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6336	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6368	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
6400	[1.552075025005227, 8.51686154836283, 1.7604490640571107]
