$MET data for Worcester Airport; FROM: NCEI CDO_2017_METDATA, , , , , 
JDAY,TAIR,TDEW,WIND,PH10,CLOUD
Day,C,C,m S-1,rad,tenth
4.204167,2.78,1.67,4.023,0.349,10
4.229167,2.78,1.67,5.812,0.698,10
4.245833,2.78,1.67,4.917,0.349,10
4.258333,2.78,1.67,3.576,0.175,10
4.2875,2.22,1.67,3.129,5.934,10
4.315972,2.22,1.11,3.129,5.76,10
4.327778,2.22,1.11,3.576,5.76,10
4.329167,2.22,1.11,3.129,5.585,10
4.340972,2.22,1.11,2.682,5.76,10
4.363194,1.67,0.56,3.576,6.283,10
4.368056,2.22,1.11,3.129,5.585,10
4.369444,2.22,1.11,2.682,5.585,10
4.370833,1.67,0.56,3.129,5.585,10
4.4125,1.11,0,2.682,4.712,10
4.418056,1.11,0.56,2.682,4.538,10
4.426389,1.11,0,3.129,4.712,10
4.454167,0.56,0,2.682,4.887,10
4.478472,0.56,0,3.129,4.712,10
4.488889,0.56,0,3.576,4.538,10
4.494444,1.11,0,3.129,4.363,10
4.495833,0.56,0,3.576,4.363,10
4.504861,0.56,0,4.023,4.189,10
4.517361,0.56,0,4.023,4.014,10
4.521528,0.56,0,3.129,4.189,10
4.531944,0.56,0,4.023,4.189,10
4.5375,0.56,0,4.47,4.189,10
4.543056,0.56,0,4.47,4.189,10
4.579167,1.11,0.56,6.706,4.189,10
4.595139,1.11,0.56,7.153,4.189,10
4.605556,1.11,0.56,6.259,4.014,10
4.619444,2.22,1.11,4.917,4.014,10
4.620833,1.67,1.11,4.917,4.014,10
4.627778,2.22,1.67,4.47,4.014,9.467
4.629861,2.22,1.67,6.259,4.014,9.307
4.6625,2.78,2.22,4.917,4.014,6.802
4.671528,3.33,2.22,4.917,4.363,6.109
4.695833,4.44,2.22,4.917,4.363,4.244
4.697222,4.44,2.22,5.812,4.363,4.138
4.704167,4.44,2.22,5.812,4.363,3.605
4.710417,5,2.22,6.259,4.363,3.125
4.716667,5,2.22,4.47,4.363,3.125
4.745833,5,2.22,7.153,4.363,3.125
4.751389,4.44,2.22,5.812,4.363,3.125
4.7875,4.44,2.22,5.812,4.189,3.125
4.815278,5,2.22,6.706,4.363,3.125
4.827778,5,2.22,4.917,4.363,3.125
4.829167,5,2.22,5.812,4.363,3.125
4.845833,5,2.22,4.917,4.363,3.125
4.870833,5,2.22,4.023,4.363,3.125
4.9125,3.33,0.56,6.706,4.712,3.125
4.928472,2.78,0.56,3.576,4.363,3.125
4.940278,2.22,0.56,4.023,4.363,3.125
4.954167,2.22,0.56,8.941,4.538,3.125
4.970833,2.22,0.56,5.812,4.363,3.125
4.995833,2.22,0.56,4.47,4.363,0
5.006944,1.67,0,4.023,4.538,0
5.017361,2.22,-0.56,11.176,5.061,3.409
5.020833,1.11,-1.11,10.282,4.887,4.545
5.022222,0.56,-1.11,10.282,4.887,5
5.025,0,-1.67,10.282,4.712,5.909
