                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
     1.000,   1,  0.17121888E+04,   0.60456754E+03,  -0.93521536E+04,  -0.13027696E+05,  -0.26893768E+03,   0.00000000E+00,   0.25079000E+04,   0.00000000E+00,   0.54977326E-09,
     1.999,   1,  0.96396666E+05,   0.36274472E+05,  -0.57582133E+06,  -0.40657313E+06,  -0.17796791E+05,   0.00000000E+00,   0.26751759E+06,   0.00000000E+00,   0.17196937E-09,
     2.996,   1,  0.19310378E+06,   0.36274472E+05,  -0.11545753E+07,  -0.43469371E+06,  -0.34228772E+05,   0.57903125E+05,   0.81545449E+06,   0.00000000E+00,  -0.49689455E-09,
     3.996,   1,  0.42892703E+06,   0.38692364E+06,  -0.17359272E+07,  -0.46217622E+06,  -0.40478095E+05,   0.17425512E+06,   0.16686697E+07,   0.00000000E+00,   0.13467959E-08,
     4.999,   1,  0.78364213E+06,   0.45141085E+06,  -0.23427845E+07,  -0.49019946E+06,  -0.44022553E+05,   0.30122870E+06,   0.24866704E+07,   0.00000000E+00,   0.60067046E-09,
     5.999,   1,  0.10643704E+07,   0.45141085E+06,  -0.29524982E+07,  -0.51815679E+06,  -0.75183258E+05,   0.38347131E+06,   0.29412392E+07,   0.00000000E+00,   0.57890271E-09,
     6.999,   1,  0.12526883E+07,   0.47962400E+06,  -0.35195546E+07,  -0.54520417E+06,  -0.97375794E+05,   0.42848713E+06,   0.31778219E+07,   0.00000000E+00,   0.64080359E-09,
     7.999,   1,  0.13950730E+07,   0.57635481E+06,  -0.40787219E+07,  -0.57288128E+06,  -0.12816150E+06,   0.49730777E+06,   0.33712287E+07,   0.00000000E+00,   0.73680024E-09,
     8.998,   1,  0.15223905E+07,   0.58844616E+06,  -0.46968487E+07,  -0.60099629E+06,  -0.17056523E+06,   0.57922861E+06,   0.35489243E+07,   0.00000000E+00,   0.10769791E-08,
     9.999,   1,  0.16400602E+07,   0.58844616E+06,  -0.53375135E+07,  -0.62851293E+06,  -0.20859148E+06,   0.68086469E+06,   0.37144413E+07,   0.00000000E+00,   0.19551764E-08,
