$Waushacum Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.244046061305124
2,0.213830834667346
3,0.245789247457303
4,0.877403696596992
5,0.807676250509814
6,0.525280093856742
7,0.368974402211318
8,0.307381824834311
9,0.29750376997196
10,0.261477922826918
11,0.354447850943156
12,0.615925773770074
13,0.918078040147846
14,0.633357635291869
15,0.464849640581188
16,0.378271395022942
17,0.327718996609737
18,0.325394748406832
19,0.316097755595208
20,0.312611383290849
21,0.306800762783584
22,0.350961478638797
23,0.39337900834183
24,0.41662149037089
25,0.423013172928881
26,0.439282910349223
27,0.504361860030589
28,0.519469473349478
29,0.405581311407086
30,0.33062430686337
31,0.280071908450166
32,0.267288543334183
33,0.247532433609483
34,0.22487101363115
35,0.207439152109355
36,0.204533841855723
37,0.20162853160209
38,0.197561097247005
39,0.220803579276064
40,0.251599867964568
41,0.253924116167474
42,0.252180930015294
43,0.235330130544226
44,0.241140751051491
45,0.228938447986235
46,0.217898269022432
47,0.227776323884782
48,0.208601276210808
49,0.205114903906449
50,0.27774766024726
51,0.374203960667856
52,0.339921299674994
53,0.323651562254652
54,0.441026096501402
55,0.877403696596992
56,1.41198078326536
57,1.52238257290339
58,0.98199486572776
59,0.703085081379047
60,0.703085081379047
61,0.598493912248279
62,0.539225583074178
63,0.429985917537599
64,0.349799354537344
65,0.304476514580678
66,0.288206777160337
67,0.28762571510961
68,0.301571204327046
69,0.29924695612414
70,0.270193853587816
71,0.238816502848585
72,0.219641455174611
73,0.209763400312261
74,0.210344462362988
75,0.239978626950038
76,0.270193853587816
77,0.249856681812389
78,0.228357385935509
79,0.217317206971705
80,0.219641455174611
81,0.248113495660209
82,0.274261287942901
83,0.240559689000765
84,0.22487101363115
85,0.220803579276064
86,0.230681634138415
87,0.310868197138669
88,0.531090714364007
89,0.993616106742289
90,0.923888660655111
91,0.743759424929901
92,0.871593076089727
93,0.842539973553403
94,0.941320522176906
95,1.66183746507775
96,2.40559689000765
97,1.99304283399184
98,3.02733328428499
99,1.85939856232475
100,1.15631348094571
101,0.871593076089727
102,0.714706322393576
103,0.592683291741015
104,0.526442217958195
105,0.430566979588325
106,0.355028912993882
107,0.312030321240122
108,0.280071908450166
109,0.271355977689269
110,0.216736144920979
111,0.205695965957176
112,0.27774766024726
113,0.385825201682386
114,0.318422003798114
115,0.251018805913842
116,0.219641455174611
117,0.392797946291104
118,0.431729103689778
119,0.325394748406832
120,0.249856681812389
121,0.209763400312261
122,0.188845166486108
123,0.211506586464441
124,0.216155082870252
125,0.173737553167219
126,0.20337171775427
127,0.592683291741015
128,0.53225283846546
129,0.37187971246495
130,0.278328722297986
131,0.224289951580423
132,0.192331538790467
133,0.167926932659954
134,0.156886753696151
135,0.644978876306398
136,0.807676250509814
137,0.610115153262809
138,0.375366084769309
139,0.253924116167474
140,0.225452075681876
141,0.198723221348458
142,0.153400381391792
143,0.142360202427989
144,0.169089056761407
145,0.149332947036707
146,0.136549581920724
147,1.49332947036707
148,1.60954188051236
149,0.825108112031609
150,0.55549532049452
151,0.477051943646444
152,0.457295833921744
153,0.592683291741015
154,0.419526800624522
155,0.312030321240122
156,0.263221108979098
157,0.294017397667601
158,0.639168255799134
159,1.04591169130767
160,0.668221358335458
161,0.482281502102983
162,0.354447850943156
163,0.263802171029824
164,0.205695965957176
165,0.165021622406322
166,0.138292768072903
167,0.120279844500382
168,0.111563913739485
169,0.214992958768799
170,0.205695965957176
171,0.196398973145552
172,0.305638638682131
173,0.255086240268927
174,0.199885345449911
175,0.13713064397145
176,0.122023030652562
177,0.111563913739485
178,0.116212410145297
179,0.106915417333673
180,0.127833651159827
181,0.115050286043844
182,0.101685858877135
183,0.158048877797604
184,0.163278436254142
185,0.136549581920724
186,0.100523734775682
187,0.0801865630002549
188,0.0691463840364517
189,0.0836729353046138
190,0.104591169130767
191,0.138292768072903
192,0.101104796826408
193,0.0912267419640581
194,0.0859971835075198
195,0.0900646178626052
196,0.0935509901669641
197,0.108077541435126
198,0.102266920927861
199,0.0883214317104257
200,0.0668221358335458
201,0.0557819568697425
202,0.0468917074936273
203,0.0497389115421871
204,0.0425918483182514
205,0.0346312982232985
206,0.075538066594443
207,0.196980035196278
208,0.13713064397145
209,0.110982851688759
210,0.0952941763191435
211,0.075538066594443
212,0.0615925773770074
213,0.0515983101045119
214,0.0452066275465205
215,0.0495645929269692
216,0.0598493912248279
217,0.0514239914892939
218,0.0576413554320673
219,0.0836729353046138
220,0.0633357635291869
221,0.0579318864574306
222,0.0504361860030589
223,0.0492159556965333
224,0.0444512468805761
225,0.0403838125254907
226,0.0382919891428754
227,0.0331786430964823
228,0.0298665894073413
229,0.0269031729486363
230,0.0255667302319653
231,0.0245789247457303
232,0.0248694557710936
233,0.0234168006442773
234,0.0206277028007902
235,0.0188264104435381
236,0.0210344462362988
237,0.0206858090058629
238,0.0198723221348458
239,0.0183615608029569
240,0.0184196670080296
241,0.0164440560355595
242,0.0154562505493245
243,0.0151657195239613
244,0.0142941264478715
245,0.0133063209616365
246,0.0120860906551109
247,0.0281815094602345
248,0.0427661669334693
249,0.0291112087413969
250,0.0303314390479225
251,0.317259879696661
252,0.314354569443028
253,0.173737553167219
254,0.105172231181494
255,0.0743759424929901
256,0.057525143021922
257,0.0416040428320163
258,0.0334691741218455
259,0.0459039020073923
260,0.176642863420851
261,0.0743759424929901
262,0.0511915666690033
263,0.042649954523324
264,0.0413716180117257
265,0.0439863972399949
266,0.0367231216059139
267,0.0317840941747387
268,0.0282396156653072
269,0.0245208185406577
270,0.0219641455174611
271,0.0207439152109355
272,0.0195236849044099
273,0.0172575429065766
274,0.0166764808558501
275,0.017025118086286
276,0.0159792063949783
277,0.0151657195239613
278,0.0144103388580168
279,0.0146427636783074
280,0.0186520918283202
281,0.021324977261662
282,0.0196398973145552
283,0.0273680225892174
284,0.0506105046182768
285,0.0338759175573541
286,0.0274842349993627
287,0.0210925524413714
288,0.0197561097247005
289,0.0195236849044099
290,0.0350961478638797
291,0.0314935631493755
292,0.0221384641326791
293,0.019175047673974
294,0.0178967111623757
295,0.0163278436254142
296,0.0153981443442519
297,0.0149914009087433
298,0.0225452075681876
299,0.251599867964568
300,0.941320522176906
301,1.13888161942391
302,0.499132301574051
303,0.321327314051746
304,4.12554056015804
305,2.31262696189141
306,1.01104796826408
307,0.621736394277339
308,0.45962008212465
309,0.370136526312771
310,0.317259879696661
311,0.301571204327046
312,0.328881120711191
313,0.263802171029824
314,0.227776323884782
315,0.199304283399184
316,0.168507994710681
317,0.17199436701504
318,0.170832242913587
319,0.189426228536834
320,0.186520918283202
321,0.198723221348458
322,0.251018805913842
323,0.228938447986235
324,0.293436335616875
325,0.349799354537344
326,0.287044653058884
327,0.268450667435636
328,0.298665894073413
329,0.259734736674739
330,0.232424820290594
331,0.214992958768799
332,0.196980035196278
333,0.195817911094825
334,0.18012923572521
335,0.167926932659954
336,0.168507994710681
337,0.165602684457048
338,0.161535250101963
339,0.156886753696151
340,0.151076133188886
341,0.304476514580678
342,0.335272803269182
343,0.263802171029824
344,0.236492254645679
345,0.240559689000765
346,0.227776323884782
347,0.225452075681876
348,0.2545051782182
349,0.212668710565893
350,0.179548173674484
351,0.179548173674484
352,0.165021622406322
353,0.158048877797604
354,0.169089056761407
355,0.199304283399184
356,0.180710297775937
357,0.157467815746877
358,0.181291359826663
359,0.325394748406832
360,0.283558280754525
361,0.222546765428244
362,0.215574020819526
363,0.190588352638287
364,0.185939856232475
365,0.182453483928116
