$Muddy Brook Daily Discharge, 
FROM: 2017_WaterBalance, 
JDAY,M^3/sec
1,0.0292552110757074
2,0.0256331373234769
3,0.0294641768691053
4,0.105179449343615
5,0.0968208176076982
6,0.0629683590772368
7,0.0442310929358909
8,0.0368476349024981
9,0.0356634954065766
10,0.0313448690096865
11,0.0424897113242417
12,0.0738345803339281
13,0.110055317856232
14,0.0759242382679072
15,0.0557242115727759
16,0.0453455771673464
17,0.039285569158807
18,0.0390069481009432
19,0.0378924638694876
20,0.0374745322826918
21,0.0367779796380321
22,0.0420717797374458
23,0.0471566140434616
24,0.0499428246221004
25,0.0507090325312261
26,0.0526593799362733
27,0.0604607695564619
28,0.0622718064325771
29,0.048619374597247
30,0.0396338454811369
31,0.0335738374725975
32,0.0320414216543462
33,0.0296731426625032
34,0.0269565873483304
35,0.0248669294143513
36,0.0245186530920214
37,0.0241703767696916
38,0.0236827899184298
39,0.0264690004970686
40,0.030160729513765
41,0.0304393505716289
42,0.0302303847782309
43,0.0282103821087178
44,0.0289069347533775
45,0.0274441741995921
46,0.0261207241747387
47,0.0273048636706602
48,0.0250062399432832
49,0.0245883083564874
50,0.0332952164147336
51,0.0448579903160846
52,0.0407483297125924
53,0.0387979823075453
54,0.0528683457296712
55,0.105179449343615
56,0.169262292652307
57,0.182496792900841
58,0.117717396947489
59,0.0842828700038236
60,0.071744922399949
61,0.071744922399949
62,0.0646400854244201
63,0.0515448957048177
64,0.0419324692085139
65,0.0364993585801682
66,0.0345490111751211
67,0.0344793559106551
68,0.0361510822578384
69,0.0358724611999745
70,0.032389697976676
71,0.0286283136955136
72,0.0263296899681366
73,0.0251455504722151
74,0.0252152057366811
75,0.0287676242244456
76,0.032389697976676
77,0.0299517637203671
78,0.0273745189351262
79,0.0260510689102728
80,0.0263296899681366
81,0.0297427979269692
82,0.0328772848279378
83,0.0288372794889115
84,0.0269565873483304
85,0.0264690004970686
86,0.0276531399929901
87,0.0372655664892939
88,0.0636649117218965
89,0.119110502236809
90,0.110751870500892
91,0.0891587385164415
92,0.104482896698955
93,0.101000133475656
94,0.112841528434871
95,0.199214056372674
96,0.288372794889116
97,0.238917557118277
98,0.362903927867703
99,0.222896846291104
100,0.13861397628728
101,0.104482896698955
102,0.085675975293143
103,0.0710483697552893
104,0.0631076696061687
105,0.0516145509692837
106,0.0425593665887076
107,0.0374048770182259
108,0.0335738374725975
109,0.032529008505608
110,0.0259814136458068
111,0.0246579636209534
112,0.0332952164147336
113,0.046251095605404
114,0.0381710849273515
115,0.030091074249299
116,0.0263296899681366
117,0.0470869587789957
118,0.0517538614982156
119,0.0390069481009432
120,0.0299517637203671
121,0.0251455504722151
122,0.0226379609514402
123,0.0253545162656131
124,0.0259117583813408
125,0.020826924075325
126,0.0243793425630895
127,0.0710483697552893
128,0.0638042222508284
129,0.0445793692582208
130,0.0333648716791996
131,0.0268869320838644
132,0.023055892538236
133,0.0201303714306653
134,0.0188069214058119
135,0.0773173435572266
136,0.0968208176076982
137,0.0731380276892684
138,0.0449973008450166
139,0.0304393505716289
140,0.0270262426127963
141,0.0238221004473617
142,0.0183889898190161
143,0.0170655397941626
144,0.0202696819595972
145,0.0179014029677543
146,0.0163689871495029
147,0.179014029677543
148,0.192945082570737
149,0.0989104755416773
150,0.0665904328294672
151,0.0571869721265613
152,0.0548186931347183
153,0.0710483697552893
154,0.0502911009444303
155,0.0374048770182259
156,0.0315538348030844
157,0.0352455638197808
158,0.0766207909125669
159,0.125379476038746
160,0.0801035541358654
161,0.057813869506755
162,0.0424897113242417
163,0.0316234900675503
164,0.0246579636209534
165,0.0197820951083355
166,0.0165779529429008
167,0.0144186397444558
168,0.0133738107774662
169,0.0257724478524089
170,0.0246579636209534
171,0.0235434793894978
172,0.0366386691091002
173,0.0305786611005608
174,0.0239614109762937
175,0.0164386424139689
176,0.0146276055378537
177,0.0133738107774662
178,0.013931052893194
179,0.0128165686617385
180,0.0153241581825134
181,0.013791742364262
182,0.0121896712815447
183,0.0189462319347438
184,0.0195731293149375
185,0.0163689871495029
186,0.0120503607526128
187,0.00961242649630385
188,0.00828897647145042
189,0.0100303580830997
190,0.0125379476038746
191,0.0165779529429008
192,0.0121200160170788
193,0.0109358765211573
194,0.0103089791409635
195,0.0107965659922253
196,0.0112144975790212
197,0.0129558791906704
198,0.0122593265460107
199,0.0105876001988274
200,0.00801035541358654
201,0.00668690538873311
202,0.00562117984240377
203,0.00596249063828703
204,0.0051057308853556
205,0.00415145376217181
206,0.00905518438057609
207,0.0236131346539638
208,0.0164386424139689
209,0.0133041555130003
210,0.0114234633724191
211,0.00905518438057609
212,0.00738345803339281
213,0.00618538748457813
214,0.00541917957545246
215,0.00594159405894723
216,0.0071744922399949
217,0.00616449090523834
218,0.00690980223502422
219,0.0100303580830997
220,0.00759242382679072
221,0.0069446298672572
222,0.00604607695564619
223,0.00589980090026765
224,0.0053286277316467
225,0.00484104088038491
226,0.00459028192830742
227,0.00397731560100688
228,0.00358028059355085
229,0.00322503874477441
230,0.00306483163650268
231,0.00294641768691053
232,0.00298124531914351
233,0.00280710715797859
234,0.00247276188854193
235,0.00225683056869743
236,0.00252152057366811
237,0.00247972741498853
238,0.00238221004473617
239,0.00220110635712465
240,0.00220807188357125
241,0.00197124398438695
242,0.0018528300347948
243,0.00181800240256182
244,0.00171351950586286
245,0.00159510555627071
246,0.00144882950089217
247,0.00337828032659954
248,0.00512662746469539
249,0.00348972874974509
250,0.00363600480512363
251,0.0380317743984196
252,0.0376834980760897
253,0.020826924075325
