$Malden Brook Daily Discharge,
Auto-Generated,
JDAY,Flow
396,0.16867518
397,0.152359515
398,0.133404552
399,0.122607421
400,0.114689525
401,0.107251501
402,0.103172585
403,0.09645437
404,0.092135518
405,0.087096857
406,0.093095263
407,0.091415709
408,0.083497813
409,0.079418897
410,0.082058196
411,0.078699088
412,0.078699088
413,0.080138706
414,0.080138706
415,0.078939025
416,0.078699088
417,0.081818259
418,0.084217622
419,0.0906959
420,0.200106828
421,0.513463564
422,2.236205801
423,1.163690787
424,0.810984507
425,0.707811922
426,0.645428498
427,0.614236786
428,0.496668027
429,0.419888428
430,0.398294166
431,0.424687153
432,0.506265476
433,0.614236786
434,0.55905145
435,0.530259101
436,0.547054638
437,0.626233599
438,2.591311443
439,3.311120177
440,2.47134332
441,1.442016831
442,1.089310551
443,0.822981319
444,0.671821485
445,0.566249537
446,0.494268664
447,1.014930315
448,1.35324042
449,0.88296538
450,0.66702276
451,0.554252725
452,0.45108014
453,0.537457188
454,1.561984953
455,2.399362447
456,1.466010455
457,0.981339241
458,0.712610647
459,0.549454
460,0.44148269
461,0.374300542
462,0.335910743
463,0.311917118
464,0.33351138
465,0.415089703
466,0.32391393
467,0.275926681
468,0.251933057
469,0.220501409
470,0.196507784
471,0.193388613
472,0.242335607
473,0.266329232
474,0.249533694
475,0.218821855
476,0.220501409
477,0.190029506
478,0.164596264
479,0.156438432
480,0.144441619
481,0.137963341
482,0.135324042
483,0.138443213
484,0.135324042
485,0.138443213
486,0.127646082
487,0.110370673
488,0.112770035
489,0.137963341
490,0.101972904
491,0.131724998
492,0.121647676
493,0.168915116
494,0.217382238
495,0.167475499
496,0.184271036
497,0.116848951
498,0.094055008
499,0.083257877
500,0.130285381
501,0.095734562
502,0.07030132
503,0.069821447
504,0.19170906
505,0.210903959
506,0.146601046
507,0.100773223
508,0.082298132
509,0.068861702
510,0.063103232
511,0.053745719
512,0.058304507
513,0.054225591
514,0.044868078
515,0.043668397
516,0.040789162
517,0.048707058
518,0.061663615
519,0.047987249
520,0.082298132
521,0.073660427
522,0.047747313
523,0.047747313
524,0.0357505
525,0.033351138
526,0.040549225
527,0.047507376
528,0.046067759
529,0.076299726
530,0.090455964
531,0.07030132
532,0.052546038
533,0.043188524
534,0.032871266
535,0.026392987
536,0.023969631
537,0.022050141
538,0.020010683
539,0.028072541
540,0.032391393
541,0.03958948
542,0.028792349
543,0.024953369
544,0.023489758
545,0.023321803
546,0.021330332
547,0.020490555
548,0.018115186
549,0.014660105
550,0.0131725
551,0.012164768
552,0.011229016
553,0.009957354
554,0.009693424
555,0.008589718
556,0.01185285
557,0.014084258
558,0.013364449
559,0.015259945
560,0.016699563
561,0.021042409
562,0.021042409
563,0.031671584
564,0.023849663
565,0.017491352
566,0.017371384
567,0.013268474
568,0.01370036
569,0.014084258
570,0.02197816
571,0.020994421
572,0.016243684
573,0.013364449
574,0.012284736
575,0.010677163
576,0.009405501
577,0.009045596
578,0.007653966
579,0.007174094
580,0.006934157
581,0.00688617
582,0.00662224
583,0.007869909
584,0.007989877
585,0.007270068
586,0.006934157
587,0.007102113
588,0.007006138
589,0.00662224
590,0.007893902
591,0.007701953
592,0.00635831
593,0.006382304
594,0.007845915
595,0.007533998
596,0.006934157
597,0.00688617
598,0.006766202
599,0.006166361
600,0.012020806
601,0.029512158
602,0.037430054
603,0.034790755
604,0.022985892
605,0.014540136
606,0.011444959
607,0.009189558
608,0.007797928
609,0.006502272
610,0.006526266
611,0.0060224
612,0.00662224
613,0.005878438
614,0.00523061
615,0.00523061
616,0.005542527
617,0.005470546
618,0.00523061
619,0.005038661
620,0.004534795
621,0.004990674
622,0.005950419
623,0.005614508
624,0.004798725
625,0.004318852
626,0.005110642
627,0.005350578
628,0.004918693
629,0.005038661
630,0.004774731
631,0.004486808
632,0.004270865
633,0.004174891
634,0.004126903
635,0.004270865
636,0.004270865
637,0.004438821
638,0.005398566
639,0.02284193
640,0.081098451
641,0.031911521
642,0.023081867
643,0.018379116
644,0.034550819
645,0.089976092
646,0.055185336
647,0.035990437
648,0.023921644
649,0.021546275
650,0.019578798
651,0.018235155
652,0.015307932
653,0.152119579
654,0.230098859
655,0.102932649
656,0.046067759
657,0.034790755
658,0.026872859
659,0.022985892
660,0.023321803
661,0.025673178
662,0.02005867
663,0.021954166
664,0.020226625
665,0.024953369
666,0.03766999
667,0.04150897
668,0.038149863
669,0.035030692
670,0.028552413
671,0.033831011
672,0.041988843
673,0.050866484
674,0.224580325
675,0.204905553
676,0.066702276
677,0.118288569
678,0.115409334
679,0.098613797
680,0.046307695
681,0.026872859
682,0.044628142
683,0.031671584
684,0.040309289
685,0.083497813
686,0.222420899
687,0.321514568
