$West Boylston inflow constituents,
Auto-Generated,
JDAY,TDS
1137,215.354
1138,220.121
1139,225.181
1140,226.9
1141,228.658
1142,228.642
1143,223.305
1144,225.033
1145,226.797
1146,230.445
1147,236.21
1148,236.203
1149,236.143
1150,234.121
1151,200.624
1152,205.955
1153,216.343
1154,219.535
1155,222.856
1156,217.255
1157,223.044
1158,215.003
1159,208.256
1160,217.414
1161,227.2
1162,229.801
1163,205.878
1164,189.023
1165,200.166
1166,207.994
1167,215.334
1168,216.667
1169,223.247
1170,232.5
1171,238.554
1172,243.595
1173,247.424
1174,251.356
1175,256.945
1176,262.8
1177,267.389
1178,270.443
1179,275.565
1180,278.998
1181,282.598
1182,288.605
1183,288.06
1184,288.159
1185,292.865
1186,295.34
1187,295.428
1188,290.8
1189,298.031
1190,300.6
1191,303.032
1192,302.971
1193,305.77
1194,305.898
1195,303.153
1196,306.355
1197,303.6
1198,305.384
1199,308.696
1200,316.457
1201,324.287
1202,327.528
1203,336.959
1204,351.6
1205,362.882
1206,394.237
1207,396.026
1208,367.383
1209,205.703
1210,217.567
1211,216.36
1212,231.742
1213,236.885
1214,259.697
1215,262.558
1216,275.471
1217,247.429
1218,219.78
1219,208.968
1220,199.745
1221,203.559
1222,207.058
1223,200.606
1224,194.146
1225,177.734
1226,139.86
1227,151.256
1228,183.31
1229,207.878
1230,217.972
1231,212.719
1232,197.04
1233,204.66
1234,226.766
1235,243.549
1236,256.696
1237,264.132
1238,242.918
1239,224.16
1240,235.371
1241,251.312
1242,262.58
1243,276.962
1244,292.688
1245,298.379
1246,262.26
1247,271.966
1248,292.649
1249,207.776
1250,167.189
1251,196.936
1252,201.375
1253,211.094
1254,220.44
1255,228.342
1256,240.027
1257,255.296
1258,271.343
1259,282.963
1260,254.906
1261,245.4
1262,266.458
1263,286.825
1264,305.07
1265,316.846
1266,323.396
1267,330
1268,329.986
1269,330.032
1270,330.141
1271,333.564
1272,315.102
1273,306.413
1274,315
1275,335.457
1276,353.152
1277,374.916
1278,393.575
1279,408.518
1280,419.4
1281,417.944
1282,424.944
1283,437.207
1284,440.606
1285,444.166
1286,447.899
1287,451.822
1288,454.8
1289,459.006
1290,460.3
1291,460.991
1292,462.266
1293,464.135
1294,470.348
1295,471
1296,464.859
1297,456.541
1298,462.459
1299,466.321
1300,464.488
1301,456.961
1302,460.8
1303,466.78
1304,448.254
1305,416.19
1306,422.05
1307,454.395
1308,461.597
1309,445.8
1310,450.629
1311,458.606
1312,454.464
1313,448.73
1314,448.088
1315,452.538
1316,458.4
1317,429.191
1318,347.163
1319,260.529
1320,241.957
1321,225.71
1322,217.131
1323,172.98
1324,139.71
1325,213.772
1326,251.936
1327,312.736
1328,363.801
1329,416.168
1330,462
1331,464.152
1332,464.673
1333,461.003
1334,457.351
1335,457.041
1336,449.803
1337,451.2
1338,464.106
1339,475.564
1340,474.315
1341,455.362
1342,458.91
1343,440.854
1344,414.675
1345,424.8
1346,439.117
1347,445.543
1348,436.791
1349,446.123
1350,447.632
1351,449.4
1352,457.586
1353,461.055
1354,463.715
1355,484.724
1356,497.898
1357,498.358
1358,378.6
1359,413.879
1360,435.562
1361,446.209
1362,444.64
1363,451.212
1364,439.8
1365,443.041
1366,448.549
1367,428.147
1368,397.181
1369,418.987
1370,426.87
1371,436.8
1372,434.552
1373,429.987
1374,429.508
1375,437.574
1376,444.588
1377,438.222
1378,421.888
1379,415.2
1380,414.425
1381,417.328
1382,417.347
1383,407.745
1384,393.464
1385,368.948
1386,366.6
1387,384.134
1388,383.022
1389,351.776
1390,385.56
1391,413.304
1392,417.6
1393,411.115
1394,429.2
1395,437.896
1396,440.683
1397,442.973
1398,343.514
1399,261.816
1400,295.32
1401,324.541
1402,345.6
1403,358.335
1404,368.963
1405,371.81
1406,375
1407,380.98
1408,372.451
1409,362.375
1410,370.088
1411,375.787
1412,381.648
1413,380.4
1414,379.2
1415,380.878
1416,377.875
1417,374.924
1418,377.278
1419,373.717
1420,367.2
1421,372.515
1422,375.128
1423,377.197
1424,379.275
1425,381.92
1426,386.567
1427,388.964
1428,388.8
1429,394.286
1430,403.99
1431,414.017
1432,421.774
1433,423.635
1434,412.126
1435,424.8
1436,430.607
1437,423.416
1438,409.397
1439,398.189
1440,361.166
1441,356.989
1442,360
1443,367.079
1444,374.339
1445,376.54
1446,378.749
1447,375.899
1448,306.168
1449,308.4
1450,328.428
1451,275.882
1452,263.024
1453,288.629
1454,297.547
1455,304.44
1456,315.473
1457,306.583
1458,304.458
1459,312.613
1460,306.987
1461,308.4
1469,226.5
1476,163.14
1484,233.1
1485,295.45
1490,607.2
1499,206.88
1506,228.66
1513,190.8
1518,272.4
1526,245.4
1534,168
1540,829.8
1547,233.94
1553,320.4
1561,398.4
1568,399
1575,390.6
1582,466.2
1588,529.8
1596,459
1603,311.4
1610,213.96
1617,413.4
1624,194.58
1631,253.5
1638,371.4
1644,329.4
1652,501.6
1659,552
1666,47.22
1673,577.8
1678,456
1688,555
1694,556.2
1701,539.4
1709,527.4
1715,533.4
1722,538.2
1729,532.8
1736,528.6
1744,520.2
1751,516.6
1757,514.2
1763,511.8
1771,509.4
1779,504.6
1786,499.2
1791,308.4
1799,311.4
1806,429
1814,286.8
1826,286.8
1835,241.08
1841,160.02
1842,175.86
1849,286.74
1855,321
1861,244.8
1869,292.8
1877,3.87
1882,273.6
1891,306
1896,302.4
1904,241.74
1909,206.1
1918,203.52
1925,439.8
1934,448.2
1939,471.1091
1945,498.6
1953,459
1960,496.8
1967,466.8
1974,310.8
1981,447.6
1988,523.2
1994,338.4
2004,527.4
2008,588.6
2016,541.8
2024,343.2
2030,681
2038,627.6
2043,685.8
2052,574.2
2058,691.2
2065,699.6
2073,281.04
2079,684.6
2087,522.6
2094,663
2101,464.4
2108,659.4
2114,621.6
2121,642
2128,628.2
2135,595.2
2142,377.16
2149,369.12
2155,358.44
2164,339.24
2172,319.92
2177,288
2191,288
2197,434.76
2204,586.8
2212,364.5
2248,283.2
2268,437.28
2290,487.8
2297,558.6
2305,429.18
2310,631.2
2318,763.2
2323,865.8
2331,851.4
2338,895.8
2345,536.4
2352,825
2359,654
2367,805.8
2373,312.72
2380,736.2
2388,835.8
2394,838.2
2401,757.8
2409,861.6
2415,696.6
2420,842.4
2430,843.6
2437,832.8
2444,774
2450,784.2
2457,794.4
2465,717.6
2472,786.6
2480,732.6
2486,498
2494,740.4
2499,754.2
2507,721.8
2513,744
2518,723.6
2528,598.8
2533,685.2
2542,618
2556,618
2557,572.4
2563,572.4
2571,561.6
2577,588.6
2583,590.4
2591,589.2
2605,510.3
2612,294.48
2619,508.2
2624,582
2632,504.6
2639,613.2
2647,575.4
2653,758.4
2660,580.2
2667,688.8
2673,530.4
2682,557.4
2690,760.2
2695,808.2
2702,734.4
2709,820.2
2716,825
2723,864
2730,878.4
2737,843.6
2745,760.2
2751,838.2
2758,869.4
2765,871.8
2771,517.2
2779,816.6
2786,804
2793,824.4
2801,837
2807,736.2
2814,841.2
2821,811.2
2828,787.8
2835,770.4
2844,758.4
2849,731.4
2856,844.2
2863,814.2
2870,741.6
2879,729
2883,726.6
2891,489.6
2898,2347.8
2905,670.8
2922,670.8
2923,555.927272727273
2927,530.4
2933,779.4
2941,958.8
2949,677.4
2955,712.8
2961,8500.2
2975,754.2
2982,732
2989,827.4
2998,1086.6
3002,997.8
3010,471.06
3016,366.12
3025,892.8
3030,1053
3039,771.6
3045,970.2
3052,889.2
3060,852
3066,973.2
3073,651
3080,465.6
3087,969
3093,773.4
3101,692.4
3109,1078.8
3116,898.8
3122,1084.2
3129,1115.4
3136,1172.4
3144,1158
3150,1159.2
3157,1182
3165,1186.8
3173,1071.6
3179,1157.4
3185,1108.8
3192,1169.4
3199,1150.2
3207,1093.8
3213,1104
3222,487.2
3228,658.8
3235,829.8
3242,664.8
3248,257.1
3255,848.4
3262,452.4
3269,763.8
3275,811.8
3287,811.8
3288,839.809090909091
3297,859.2
3305,573.531428571429
3311,359.28
3323,567.6
3332,574.44
3338,579
3351,790.8
3365,858.6
3367,782.228571428572
3379,324
3396,612
3401,655.333333333333
3414,768
3424,931.875
3430,1030.2
3445,1145.4
3458,1226.4
3459,1221.87692307692
3471,1167.6
3485,972.72
3486,958.8
3505,1179.6
3513,1086.8
3526,936
3540,1026.6
3554,883.2
3555,869.85
3570,669.6
3576,669.6
3584,669.6
3598,359.7
3610,865.2
3611,831.66
3624,395.64
3638,407.04
3639,464.7
3652,429.06375
