                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
    30.995,   1,  0.44548210E+07,   0.14228200E+07,  -0.20486118E+08,  -0.11745224E+08,  -0.37634891E+06,   0.35862295E+07,   0.10918192E+08,   0.00000000E+00,  -0.13610629E-09,
    31.996,   1,  0.45615092E+07,   0.14228200E+07,  -0.21180105E+08,  -0.12136181E+08,  -0.37793244E+06,   0.36452695E+07,   0.11146765E+08,   0.00000000E+00,  -0.12933207E-09,
    32.997,   1,  0.46623240E+07,   0.14228200E+07,  -0.21874611E+08,  -0.12527573E+08,  -0.37907037E+06,   0.37378045E+07,   0.11361015E+08,   0.00000000E+00,  -0.12254605E-09,
    33.997,   1,  0.47617689E+07,   0.14228200E+07,  -0.22559662E+08,  -0.12918965E+08,  -0.37955765E+06,   0.38912859E+07,   0.11569385E+08,   0.00000000E+00,  -0.11456364E-09,
    34.997,   1,  0.48606209E+07,   0.14631271E+07,  -0.23240737E+08,  -0.13310787E+08,  -0.38023865E+06,   0.40744415E+07,   0.11775337E+08,   0.00000000E+00,  -0.10734012E-09,
    35.994,   1,  0.49559256E+07,   0.14631271E+07,  -0.23931569E+08,  -0.13702614E+08,  -0.38174994E+06,   0.42095695E+07,   0.11973853E+08,   0.00000000E+00,  -0.10019722E-09,
    36.999,   1,  0.50486564E+07,   0.14631271E+07,  -0.24628326E+08,  -0.14094006E+08,  -0.38402293E+06,   0.42356874E+07,   0.12162444E+08,   0.00000000E+00,  -0.77696305E-10,
    38.000,   1,  0.51404029E+07,   0.14631271E+07,  -0.25307726E+08,  -0.14485398E+08,  -0.38567089E+06,   0.42008509E+07,   0.12348052E+08,   0.00000000E+00,  -0.61240865E-10,
    39.000,   1,  0.52350705E+07,   0.14631271E+07,  -0.25997906E+08,  -0.14876790E+08,  -0.38691501E+06,   0.42399242E+07,   0.12544452E+08,   0.00000000E+00,  -0.36458892E-10,
    39.996,   1,  0.53433975E+07,   0.14631271E+07,  -0.26700220E+08,  -0.15268612E+08,  -0.38741156E+06,   0.43718889E+07,   0.12763891E+08,   0.00000000E+00,  -0.12785473E-10,
    40.999,   1,  0.54573145E+07,   0.14631271E+07,  -0.27380576E+08,  -0.15660868E+08,  -0.38850925E+06,   0.45199209E+07,   0.12988789E+08,   0.00000000E+00,   0.89011499E-11,
    41.995,   1,  0.55642385E+07,   0.14631271E+07,  -0.28073828E+08,  -0.16052694E+08,  -0.38931795E+06,   0.45943160E+07,   0.13205120E+08,   0.00000000E+00,  -0.87219746E-11,
    42.999,   1,  0.57027777E+07,   0.14631271E+07,  -0.28776319E+08,  -0.16444086E+08,  -0.38938697E+06,   0.46364229E+07,   0.13492249E+08,   0.00000000E+00,  -0.22041631E-10,
    44.000,   1,  0.59305039E+07,   0.15518300E+07,  -0.29444612E+08,  -0.16835478E+08,  -0.38966195E+06,   0.47263948E+07,   0.13937206E+08,   0.00000000E+00,  -0.31601011E-10,
    44.997,   1,  0.61712573E+07,   0.15518300E+07,  -0.30112091E+08,  -0.17226870E+08,  -0.39094603E+06,   0.48270193E+07,   0.14402149E+08,   0.00000000E+00,  -0.39103323E-10,
    45.995,   1,  0.63492268E+07,   0.15518300E+07,  -0.30780401E+08,  -0.17618262E+08,  -0.39274556E+06,   0.49277040E+07,   0.14761173E+08,   0.00000000E+00,  -0.45788474E-10,
    47.000,   1,  0.64964521E+07,   0.15518300E+07,  -0.31436228E+08,  -0.18009224E+08,  -0.39426012E+06,   0.50755828E+07,   0.15058420E+08,   0.00000000E+00,  -0.49779711E-10,
    47.995,   1,  0.66259096E+07,   0.15518300E+07,  -0.32102360E+08,  -0.18399752E+08,  -0.39517132E+06,   0.52793283E+07,   0.15320377E+08,   0.00000000E+00,  -0.48973327E-10,
    48.995,   1,  0.67438625E+07,   0.15518300E+07,  -0.32773063E+08,  -0.18790710E+08,  -0.39619529E+06,   0.54699279E+07,   0.15561525E+08,   0.00000000E+00,  -0.46299740E-10,
    49.998,   1,  0.68630998E+07,   0.16606864E+07,  -0.33430557E+08,  -0.19182102E+08,  -0.39708612E+06,   0.55839979E+07,   0.15811159E+08,   0.00000000E+00,  -0.40381049E-10,
    50.997,   1,  0.69961549E+07,   0.17332117E+07,  -0.34094180E+08,  -0.19573494E+08,  -0.39737723E+06,   0.56289680E+07,   0.16084783E+08,   0.00000000E+00,  -0.34237096E-10,
    51.999,   1,  0.71282099E+07,   0.17332117E+07,  -0.34764731E+08,  -0.19964886E+08,  -0.39944542E+06,   0.56738363E+07,   0.16348286E+08,   0.00000000E+00,  -0.34786423E-10,
    52.998,   1,  0.72510323E+07,   0.17332117E+07,  -0.35426357E+08,  -0.20356278E+08,  -0.40090482E+06,   0.57425719E+07,   0.16598343E+08,   0.00000000E+00,  -0.22344087E-10,
    53.997,   1,  0.73886846E+07,   0.19991833E+07,  -0.36097783E+08,  -0.20748959E+08,  -0.40140329E+06,   0.58272439E+07,   0.16871870E+08,   0.00000000E+00,  -0.37458049E-11,
    54.998,   1,  0.75308936E+07,   0.19991833E+07,  -0.36770603E+08,  -0.21108147E+08,  -0.40329435E+06,   0.58829910E+07,   0.17141103E+08,   0.00000000E+00,   0.15927464E-10,
    55.999,   1,  0.76567988E+07,   0.19991833E+07,  -0.37444663E+08,  -0.21363428E+08,  -0.40520356E+06,   0.59305321E+07,   0.17375974E+08,   0.00000000E+00,   0.42459999E-10,
    56.998,   1,  0.77706040E+07,   0.19991833E+07,  -0.38115557E+08,  -0.21474440E+08,  -0.40630039E+06,   0.60282895E+07,   0.17593540E+08,   0.00000000E+00,   0.66385199E-10,
