$Malagasco inflow constituents,
Auto-Generated,
JDAY,TDS
1140,119.067
1141,121.301
1142,121.863
1143,119.693
1144,121.146
1145,122.627
1146,125.102
1147,128.739
1148,129.324
1149,127.297
1150,124.218
1151,105.095
1152,105.72
1153,108.945
1154,108.578
1155,108.3
1156,97.078
1157,91.727
1158,79.301
1159,67.598
1160,63.899
1161,60.567
1162,53.582
1163,49.513
1164,48.956
1165,62.664
1166,74.655
1167,86.399
1168,95.101
1169,106.473
1170,119.22
1171,123.26
1172,126.801
1173,129.732
1174,132.731
1175,136.626
1176,140.7
1177,146.042
1178,150.586
1179,156.33
1180,161.178
1181,166.17
1182,172.663
1183,175.26
1184,173.986
1185,175.547
1186,175.772
1187,174.506
1188,170.293
1189,173.53
1190,173.88
1191,178.303
1192,181.128
1193,185.998
1194,189.074
1195,190.1
1196,195.528
1197,196.56
1198,195.627
1199,195.854
1200,199.388
1201,203.032
1202,203.176
1203,208.118
1204,217.56
1205,221.441
1206,252.773
1207,251.024
1208,208.369
1209,88.859
1210,87.817
1211,79.5
1212,91.877
1213,98.667
1214,116.091
1215,122.004
1216,134.732
1217,120.855
1218,108.54
1219,104.5
1220,101.371
1221,105.696
1222,109.987
1223,108.447
1224,106.903
1225,99.496
1226,80.04
1227,84.512
1228,100.775
1229,113.115
1230,116.951
1231,111.619
1232,100.56
1233,104.459
1234,116.87
1235,126.657
1236,134.657
1237,139.192
1238,124.91
1239,113.1
1240,120.233
1241,130.439
1242,137.972
1243,147.821
1244,159.109
1245,163.357
1246,139.08
1247,144.911
1248,158.644
1249,105.985
1250,80.697
1251,98.962
1252,101.201
1253,106.464
1254,111.48
1255,115.698
1256,122.17
1257,130.968
1258,140.672
1259,147.971
1260,129.613
1261,123.54
1262,140.444
1263,157.513
1264,173.873
1265,186.114
1266,194.6
1267,203.16
1268,195.8
1269,188.526
1270,181.345
1271,177.016
1272,154.78
1273,140.793
1274,139.98
1275,161.084
1276,180.244
1277,203.652
1278,224.751
1279,242.28
1280,255.42
1281,256.315
1282,266.895
1283,285.641
1284,293.598
1285,302.306
1286,311.927
1287,322.675
1288,332.4
1289,340.359
1290,342.06
1291,342.414
1292,344.09
1293,347.144
1294,360.963
1295,361.2
1296,349.745
1297,334.63
1298,351.022
1299,364.52
1300,363.627
1301,348.478
1302,361.8
1303,383.412
1304,344.892
1305,303.42
1306,317.964
1307,375.866
1308,397.285
1309,373.2
1310,379.826
1311,393.759
1312,383.784
1313,371.44
1314,368.634
1315,375.259
1316,385.8
1317,370.849
1318,265.544
1319,192.543
1320,177.083
1321,165.373
1322,165.885
1323,127.26
1324,90.155
1325,134.723
1326,154.832
1327,194.112
1328,227.145
1329,263.932
1330,294.36
1331,308.823
1332,321.717
1333,327.553
1334,333.474
1335,346.126
1336,345.002
1337,361.8
1338,380.04
1339,401.166
1340,382.275
1341,314.149
1342,308.415
1343,256.202
1344,205.397
1345,203.88
1346,243.318
1347,274.311
1348,276.106
1349,314.466
1350,338.025
1351,363
1352,371.824
1353,367.407
1354,360.663
1355,412.943
1356,444.979
1357,428.416
1358,209.4
1359,251.17
1360,292.499
1361,328.142
1362,343.516
1363,379.255
1364,371.4
1365,363.144
1366,360.591
1367,303.09
1368,250.332
1369,261.464
1370,258.321
1371,259.38
1372,257.532
1373,252.038
1374,253.01
1375,268.916
1376,285.829
1377,274.781
1378,247.98
1379,239.82
1380,254.114
1381,276.937
1382,297.568
1383,297.578
1384,288.047
1385,263.891
1386,276
1387,284.833
1388,263.071
1389,216.488
1390,234.798
1391,252.468
1392,241.56
1393,225.062
1394,240.079
1395,246.654
1396,244.03
1397,240.907
1398,125.62
1399,79.016
1400,82.862
1401,86.765
1402,88.68
1403,96.42
1404,104.278
1405,106.98
1406,110.46
1407,113.867
1408,103.476
1409,92.958
1410,96.928
1411,99.527
1412,102.493
1413,99.009
1414,95.64
1415,107.001
1416,114.227
1417,121.582
1418,134.904
1419,141.941
1420,145.5
1421,151.101
1422,153.482
1423,155.184
1424,156.896
1425,159.33
1426,164.425
1427,166.58
1428,165.3
1429,164.852
1430,169.808
1431,175.285
1432,177.741
1433,172.628
1434,154.917
1435,162
1436,172.125
1437,168.366
1438,156.447
1439,148.071
1440,117.223
1441,115.134
1442,119.4
1443,125.022
1444,131.157
1445,132.227
1446,133.305
1447,129.325
1448,82.832
1449,83.94
1450,94.262
1451,69.248
1452,63.834
1453,74.26
1454,78.236
1455,81.556
1456,87.459
1457,82.652
1458,81.541
1459,86.132
1460,83.03
1461,83.94
1469,79.56
1476,44.76
1484,8.94
1485,27.82
1490,122.22
1499,87.72
1506,70.14
1513,64.32
1518,67.56
1526,53.34
1534,41.4
1540,62.94
1547,68.82
1553,94.5
1561,129.66
1568,143.88
1575,154.08
1582,182.52
1588,213
1596,179.04
1603,158.1
1610,122.94
1617,141.06
1624,73.92
1631,102.54
1638,195.78
1644,169.92
1652,255.9
1659,307.8
1666,262.62
1673,337.2
1678,311.4
1688,339
1694,334.8
1701,351
1709,347.4
1715,356.4
1722,363
1729,366.6
1736,373.8
1744,365.4
1751,362.4
1757,378.6
1763,373.8
1771,376.8
1779,276.42
1786,378.6
1791,147.96
1799,156
1806,144.78
1814,194.16
1826,194.16
1832,108.6857
1833,103.9371
1835,94.44
1841,58.14
1842,64.2225
1849,106.8
1855,110.88
1861,105.06
1869,104.1
1877,90.36
1882,86.1
1891,95.1
1896,94.2
1897,90.78
1898,87.36
1904,66.84
1909,59.64
1918,51.6
1923,102.7286
1925,123.18
1934,142.86
1939,151.5327
1945,161.94
1946,169.8075
1948,185.5425
1953,224.88
1960,253.86
1967,174.84
1974,123.6
1981,167.16
1988,196.62
1990,199.32
1991,200.67
1994,204.72
2004,215.52
2008,266.4
2016,247.62
2024,222.72
2030,328.32
2038,253.5
2043,339.12
2051,185.4133
2052,166.2
2058,332.34
2065,365.4
2073,308.1
2079,363.12
2087,370.8
2094,163.02
2101,190.5
2108,345.96
2114,362.94
2121,350.16
2128,164.94
2135,186.36
2142,204.36
2149,114.18
2155,114.96
2164,104.46
2172,108.96
2177,116.4
2191,116.4
2197,152.88
2204,207.36
2212,162.3
2248,100.2
2268,130.32
2290,137.46
2297,129.9
2305,152.94
2310,181.74
2318,206.1
2323,223.74
2331,229.2
2338,302.04
2345,270.06
2352,301.68
2359,62.7
2367,224.4
2373,151.32
2380,292.5
2388,290.82
2394,349.14
2401,332.58
2409,354.72
2415,331.68
2420,386.4
2430,405.6
2437,412.8
2444,415.8
2450,405
2457,393.6
2465,262.44
2472,387.18
2480,394.26
2486,395.4
2494,267
2499,351.78
2507,232.26
2513,394.2
2518,213.24
2528,211.26
2533,240.36
2542,228.06
2556,228.06
2557,253.38
2563,253.38
2571,176.82
2577,187.98
2583,199.26
2591,112.32
2605,141.36
2612,80.1
2619,138.06
2624,161.82
2632,99.54
2639,156.18
2647,164.22
2653,165
2660,162.06
2667,200.28
2673,200.52
2682,153.12
2690,214.98
2695,240.06
2702,213.96
2709,293.76
2716,199.08
2723,356.7
2730,402
2737,408
2745,428.4
2751,439.8
2758,445.2
2765,456
2771,176.64
2779,428.4
2786,450.6
2793,429.6
2801,452.4
2807,442.8
2814,469.8
2821,454.2
2828,325.38
2835,426.6
2844,444
2849,451.2
2856,327.48
2863,294.18
2870,386.4
2879,205.26
2883,219.6
2891,161.04
2898,314.88
2905,206.34
2922,206.34
2923,183.561818181818
2927,178.5
2933,199.14
2941,174.48
2949,128.34
2955,192.12
2961,642.6
2975,171.72
2982,139.8
2989,173.64
2998,254.88
3002,219.78
3010,109.08
3016,108.6
3025,191.04
3030,234.42
3039,173.4
3045,227.4
3052,218.64
3060,213
3066,248.22
3073,207.48
3080,130.74
3087,284.22
3093,209.82
3101,224.94
3109,371.4
3116,314.34
3122,211.44
3129,272.16
3136,411
3144,409.2
3150,422.4
3157,418.8
3165,435
3173,397.2
3179,415.8
3185,436.2
3192,450.6
3199,463.8
3207,462.6
3213,448.2
3222,209.64
3228,145.8
3235,249.72
3242,214.44
3248,155.1
3255,227.7
3262,199.38
3269,200.46
3275,309.66
3287,309.66
3288,378.406363636364
3297,426
3305,263.348571428571
3311,141.36
3323,155.82
3332,148.44
3338,143.52
3351,154.14
3365,223.68
3367,234.822857142857
3379,301.68
3396,166.2
3401,181.566666666667
3414,221.52
3424,262.5075
3430,287.1
3445,352.8
3458,468
3459,458.861538461538
3471,349.2
3485,243.36
3486,235.8
3505,465.6
3506,460.857142857143
3513,427.657142857143
3526,366
3527,376.285714285714
3540,510
3554,288.12
3555,285.15
3569,243.57
3570,240.6
3576,245.82
3584,252.78
3598,112.44
3610,130.8
3611,130.521428571429
3624,126.9
3638,167.76
3639,193.08
3652,195.17625
