$Direct Runoff Daily Discharge,
Auto-Generated,
JDAY,Flow
421,1.016666667
422,1.14
423,1.123333333
424,-2.37
425,-4.71
426,-4.71
427,-3.14
428,-0.326666667
429,-0.263333333
430,0.753333333
431,-0.77
432,-2.816666667
433,-4.51
434,-4.44
435,-3.186666667
436,-3.73
437,13.71666667
438,32.3
439,34.32
440,2.953333333
441,-18.44333333
442,-20.58
443,-9.256666667
444,-4.196666667
445,2.486666667
446,12.44333333
447,11.24333333
448,5.746666667
449,-4.08
450,-5.57
451,-4.366666667
452,4.67
453,24.36333333
454,24.11
455,18.26666667
456,-5.623333333
457,-10.17333333
458,-10.19666667
459,-3.893333333
460,1.626666667
461,4.076666667
462,4.926666667
463,4.776666667
464,2.22
465,3.596666667
466,5.92
467,7.816666667
468,6.03
469,2.963333333
470,2.74
471,2.533333333
472,2.506666667
473,2.566666667
474,1.336666667
475,0.736666667
476,-0.543333333
477,-0.33
478,0.03
479,-0.04
480,1.423333333
481,1.613333333
482,0.65
483,-0.963333333
484,-0.963333333
485,-5.92E-16
486,-5.92E-16
487,0.06
488,0.06
489,0.06
490,-5.92E-16
491,0.28
492,0.28
493,0.28
494,-0.673333333
495,-0.916666667
496,-0.793333333
497,1.513333333
498,1.756666667
499,3.206666667
500,2.66
501,2.89
502,1.976666667
503,0.83
504,0.05
505,-0.21
506,0.81
507,2.343333333
508,2.446666667
509,2.04
510,2.16
511,1.236666667
512,0.253333333
513,-0.85
514,-0.43
515,0.12
516,0.12
517,0.293333333
518,0.173333333
519,0.173333333
520,0.05
521,-0.07
522,-0.07
523,-0.12
524,-5.18E-16
525,-5.18E-16
526,-5.18E-16
527,-0.69
528,-1.116666667
529,-0.81
530,0.23
531,0.656666667
532,0.35
533,0.06
534,0.243333333
535,0.243333333
536,0.306666667
537,0.44
538,0.44
539,0.316666667
540,1.813333333
541,1.813333333
542,1.813333333
543,-5.92E-16
544,-0.24
545,-0.25
546,-0.42
547,-0.18
548,-0.17
549,0.49
550,1.436666667
551,1.683333333
552,0.703333333
553,-0.646666667
554,-0.893333333
555,0.743333333
556,1.146666667
557,1.22
558,0.786666667
559,0.786666667
560,0.713333333
561,-4.44E-16
562,0.53
563,0.833333333
564,0.973333333
565,0.383333333
566,-1.07
567,-1.976666667
568,-1.916666667
569,-0.766666667
570,-5.92E-16
571,0.426666667
572,0.426666667
573,1.036666667
574,0.85
575,0.79
576,0.24
577,-6.66E-16
578,0.06
579,0.12
580,0.546666667
581,0.72
582,0.843333333
583,0.293333333
584,0.1
585,-0.206666667
586,-0.073333333
587,-0.053333333
588,0.01
589,-0.81
590,-1.123333333
591,-1.123333333
592,-0.313333333
593,-0.08
594,-0.08
595,0.39
596,0.47
597,0.47
598,-4.44E-16
599,-0.366666667
600,-0.356666667
601,0.236666667
602,0.603333333
603,1.173333333
604,0.58
605,0.58
606,-2.96E-16
607,0.353333333
608,1.71
609,1.71
610,0.5
611,-2.113333333
612,-2.053333333
613,-1.196666667
614,0.06
615,0.55
616,1.22
617,1.356666667
618,1.04
619,0.31
620,-0.423333333
621,-0.656666667
622,-0.106666667
623,0.49
624,0.716666667
625,0.043333333
626,0.043333333
627,-0.06
628,0.123333333
629,0.576666667
630,0.453333333
631,-0.056666667
632,-0.51
633,-0.51
634,0.256666667
635,0.37
636,1.6
637,1.343333333
638,0.313333333
639,-0.633333333
640,-0.633333333
641,0.28
642,0.06
643,0.06
644,0.063333333
645,-0.556666667
646,-0.556666667
647,-0.556666667
648,-8.88E-16
649,-8.88E-16
650,0.656666667
651,1.436666667
652,1.436666667
653,-1.066666667
654,-1.846666667
655,-1.846666667
656,-0.856666667
657,-0.856666667
658,-0.96
659,0.813333333
660,1.02
661,0.97
662,0.053333333
663,-0.153333333
664,-9.81E-16
665,-9.81E-16
666,-1.06
667,-1.766666667
668,-2.42
669,-1.436666667
670,-0.486666667
671,0.166666667
672,0.303333333
673,0.06
674,-0.063333333
675,0.01
676,0.01
677,1.25
678,1.3
679,1.4
680,1.216666667
681,1.59
682,2.13
683,1.196666667
684,0.7
685,-0.306666667
686,-0.306666667
687,-1.373333333
688,-1.006666667
689,-0.786666667
690,0.22
691,0.433333333
692,0.09
693,0.09
694,-0.123333333
695,-8.14E-16
696,0.56
697,1.11
698,1.17
699,0.366666667
700,-0.183333333
701,-0.55
702,-0.18
703,-0.363333333
704,-0.056666667
705,-0.183333333
706,0.306666667
707,0.406666667
708,0.47
709,0.24
710,0.14
711,-1.85
712,-3.273333333
713,-4.606666667
714,-3.596666667
715,-2.263333333
716,-1.48
717,-0.376666667
718,-0.593333333
719,-1.206666667
720,-0.596666667
721,0.306666667
722,2.266666667
723,1.47
724,0.796666667
725,0.893333333
726,0.786666667
727,0.706666667
728,-1.143333333
729,-1.036666667
730,-0.223333333
731,0.733333333
732,2.053333333
733,2.056666667
734,2.056666667
735,0.186666667
736,-0.533333333
737,-0.533333333
738,0.266666667
739,0.25
740,0.703333333
741,0.453333333
742,1.42
743,0.846666667
744,0.663333333
745,-0.303333333
746,-0.013333333
747,0.153333333
748,0.313333333
749,0.63
750,0.646666667
751,0.47
752,0.183333333
753,0.383333333
754,0.4
755,1.54
756,1.34
757,0.42
758,-0.92
759,-0.583333333
760,0.886666667
761,1.813333333
762,1.476666667
763,-0.42
764,-2.003333333
765,-2.716666667
766,-0.76
767,1.243333333
768,1.956666667
769,0.643333333
770,-0.786666667
771,-0.786666667
772,-0.083333333
773,-2.96E-16
774,-0.406666667
775,-0.416666667
776,-0.43
777,-0.023333333
778,-0.153333333
779,-0.14
780,-0.016666667
781,0.856666667
782,1.066666667
783,1.543333333
784,2.11
785,2.996666667
786,3.64
787,2.946666667
788,2.536666667
789,2.533333333
790,3.346666667
791,4.186666667
792,3.186666667
793,3.233333333
794,1.463333333
795,-5.79
796,-10.36666667
797,-13.69666667
798,-6.75
799,-1.376666667
800,2.096666667
801,1.113333333
802,0.276666667
803,-0.033333333
804,1.016666667
805,-0.41
806,-1.14
807,-2.316666667
808,-2.653333333
809,-1.196666667
810,0.453333333
811,2.506666667
812,3.13
813,2.756666667
814,2.09
815,2.413333333
816,3.04
817,1.99
818,1.92
819,1.96
820,1.96
821,0.073333333
822,-0.73
823,-0.73
824,-0.036666667
825,0.003333333
826,0.003333333
827,1.023333333
828,1.023333333
829,1.173333333
830,1.13
831,1.126666667
832,0.976666667
833,0.783333333
834,0.48
835,0.48
836,-0.303333333
837,-1.103333333
838,-2.676666667
839,-3.926666667
840,-2.38
841,-0.83
842,0.64
843,0.26
844,0.46
845,0.68
846,0.616666667
847,0.583333333
848,0.143333333
849,0.546666667
850,0.85
851,1.456666667
852,1.503333333
853,1.346666667
854,1.616666667
855,0.826666667
856,0.293333333
857,-0.513333333
858,0.323333333
859,0.75
860,0.116666667
861,-0.806666667
862,-1.273333333
863,-0.71
864,0.11
865,0.27
866,-0.37
867,-1.803333333
868,-2.4
869,-2.216666667
870,-1.106666667
871,-0.593333333
872,-0.136666667
873,-0.283333333
874,-0.623333333
875,-1.526666667
876,-1.206666667
877,0.123333333
878,1.496666667
879,1.253333333
880,0.47
881,-0.413333333
882,-0.75
883,-0.75
884,0.03
885,0.843333333
886,1.126666667
887,0.76
888,0.39
889,0.106666667
890,0.106666667
891,0.46
892,0.46
893,-1.466666667
894,-1.926666667
895,-1.986666667
896,-0.106666667
897,-0.106666667
898,-0.046666667
899,0.61
900,1.663333333
901,1.663333333
902,-0.05
903,-2.403333333
904,-2.403333333
905,-1.476666667
906,-1.353333333
907,-2.033333333
908,-2.843333333
909,-1.27
910,-0.163333333
911,0.77
912,0.06
913,-0.366666667
914,0.12
915,0.413333333
916,0.413333333
917,0.493333333
918,0.513333333
919,0.116666667
920,-0.396666667
921,-0.396666667
922,-1.26E-15
923,0.55
924,0.55
925,0.293333333
926,-0.216666667
927,0.106666667
928,1.703333333
929,3.963333333
930,5.773333333
931,4.433333333
932,2.193333333
933,1.363333333
934,3.56
935,3
936,1.21
937,-1.413333333
938,-1.526666667
939,-0.993333333
940,-0.383333333
941,0.603333333
942,0.556666667
943,0.373333333
944,0.446666667
945,0.87
946,0.87
947,0.423333333
948,-0.06
949,-2.486666667
950,-2.916666667
951,-3.356666667
952,-0.563333333
953,-0.156666667
954,0.953333333
955,1.136666667
956,1.16
957,-0.123333333
958,-0.476666667
959,-0.476666667
960,0.196666667
961,-1.85E-16
962,0.06
963,0.48
964,0.886666667
965,0.826666667
966,0.406666667
967,1.236666667
968,1.953333333
969,1.953333333
970,0.716666667
971,-0.856666667
972,-1.1
973,-1.1
974,-1.08
975,-0.783333333
976,-0.6
977,0.486666667
978,0.433333333
979,0.25
980,0.23
981,0.23
982,0.23
983,1.253333333
984,0.853333333
985,0.776666667
986,-2.006666667
987,-2.113333333
988,-2.526666667
989,-0.996666667
990,0.083333333
991,0.573333333
992,0.88
993,0.306666667
994,0.736666667
995,0.806666667
996,0.806666667
997,-2.176666667
998,-4.23
999,-5.443333333
1000,-2.34
1001,-0.663333333
1002,0.55
1003,-0.496666667
1004,-1.186666667
1005,-0.573333333
1006,-0.076666667
1007,0.613333333
1008,-0.823333333
1009,-1.643333333
1010,-1.58
1011,-0.536666667
1012,0.53
1013,0.683333333
1014,0.853333333
1015,1.16
1016,0.823333333
1017,-0.36
1018,-1.963333333
1019,-2.303333333
1020,-2.31
1021,-1.2
1022,-0.74
1023,-1.033333333
1024,-1.916666667
1025,-1.426666667
1026,-0.333333333
1027,-0.293333333
1028,-0.783333333
1029,-0.5
1030,0.16
1031,0.59
1032,0.846666667
1033,1.106666667
1034,-0.363333333
1035,-2.076666667
1036,-2.14
1037,-1.956666667
1038,-1.293333333
1039,-1.503333333
1040,-0.946666667
1041,-0.3
1042,-0.806666667
1043,-1.57
1044,-2.24
1045,-2.1
1046,-0.73
1047,-0.203333333
1048,-0.473333333
1049,-1.316666667
1050,-1.36
1051,-1
1052,-0.676666667
1053,-0.566666667
1054,-0.26
1055,0.32
1056,0.26
1057,0.306666667
1058,-0.823333333
1059,-1.403333333
1060,-1.723333333
1061,-0.96
1062,0.536666667
1063,0.916666667
1064,0.063333333
1065,-0.853333333
1066,-1.036666667
1067,-0.183333333
1068,-0.183333333
1069,-0.003333333
1070,-0.003333333
1071,-0.45
1072,-0.423333333
1073,0.553333333
1074,0.8
1075,1.56
1076,2.403333333
1077,3.266666667
1078,3.123333333
1079,1.2
1080,1.023333333
1081,1.54
1082,2.646666667
1083,2.313333333
1084,1.723333333
1085,2.126666667
1086,1.973333333
1087,1.34
1088,0.706666667
1089,1.34
1090,1.223333333
1091,0.533333333
1092,-0.163333333
1093,0.15
1094,0.066666667
1095,0.423333333
1096,1.163333333
1097,1.57
1098,2.336666667
