$Constituent data for runoff (Weighted Average of Minor Tribs),
Auto-Generated,
JDAY,TDS
2008,82.52321177
2009,42.83087823
2010,0
2011,0
2012,0
2013,0
2014,173.6134584
2015,27.76021859
2016,15.74075292
2017,21.61351995
2018,74.30361988
2019,264.035624
2020,226.6985497
2021,0
2022,255.6614749
2023,185.5116833
2024,40.69211294
2025,63.67798282
2026,24.33087978
2027,25.20519524
2028,36.32906254
2029,0
2030,0
2031,642.2400532
2032,96.75745948
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,109.5693383
2040,19.02176924
2041,17.49926618
2042,17.74045478
2043,0
2044,228.0212935
2045,0
2046,77.7746563
2047,0
2048,0
2049,0
2050,0
2051,320.8796367
2052,1226.266917
2053,0
2054,900.6282133
2055,155.9552691
2056,106.8907618
2057,117.0431286
2058,0
2059,0
2060,0
2061,0
2062,0
2063,18.82243485
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,3.729115676
2075,6.465917128
2076,8.803217241
2077,0
2078,0
2079,60.53032166
2080,20.38023402
2081,18.59578321
2082,19.16444108
2083,43.66614263
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,3000
2091,3000
2092,0
2093,0
2094,40.16863825
2095,0
2096,0
2097,0
2098,0
2099,16.13544903
2100,17.62540751
2101,28.04211266
2102,6.303903427
2103,4.181695513
2104,5.853771059
2105,0
2106,0
2107,0
2108,3000
2109,3000
2110,179.4338263
2111,187.905237
2112,46.58317684
2113,64.11353184
2114,62.44591873
2115,3000
2116,0
2117,0
2118,0
2119,0
2120,11.521838
2121,10.8986861
2122,200.4425944
2123,0
2124,0
2125,0
2126,175.2872155
2127,61.8983911
2128,107.7659257
2129,125.8460144
2130,39.78863226
2131,42.75391258
2132,78.54132477
2133,0
2134,0
2135,0
2136,39.63495108
2137,76.85037928
2138,88.10602055
2139,145.9085026
2140,125.5557756
2141,45.43789854
2142,32.57629353
2143,28.18392195
2144,78.25942465
2145,58.6865613
2146,42.01143859
2147,89.8520628
2148,78.37417745
2149,68.46081339
2150,66.08915893
2151,0
2152,0
2153,3000
2154,0
2155,0
2156,64.19934234
2157,84.26241608
2158,58.67487491
2159,53.95320839
2160,35.83274787
2161,62.93928068
2162,0
2163,0
2164,0
2165,0
2166,3000
2167,3000
2168,3000
2169,0
2170,0
2171,0
2172,578.365666
2173,281.9123354
2174,97.31317673
2175,48.24338379
2176,39.21062779
2177,70.83021821
2178,201.8599718
2179,127.71655
2180,66.06007761
2181,46.44365798
2182,63.5535476
2183,274.0502418
2184,0
2185,3000
2186,653.3414269
2187,303.4876304
2188,174.9121083
2189,93.25288563
2190,61.47790242
2191,60.80343328
2192,85.43580279
2193,124.8590085
2194,40.77398425
2195,101.4253404
2196,283.6090374
2197,0
2198,1213.462673
2199,0
2200,0
2201,0
2202,0
2203,314.6199375
2204,122.30177
2205,141.2491251
2206,107.8808278
2207,346.1043473
2208,192.5886542
2209,256.409388
2210,540.6398544
2211,879.5063349
2212,760.6278608
2213,0
2214,140.7585047
2215,123.1183388
2216,40.50991076
2217,47.5211797
2218,458.7813752
2219,0
2220,0
2221,0
2222,0
2223,201.5408015
2224,41.82499336
2225,58.3062622
2226,62.21774918
2227,0
2228,0
2229,0
2230,126.4264696
2231,145.5515857
2232,0
2233,568.4798172
2234,1230.904905
2235,154.2143646
2236,217.2741166
2237,276.1009985
2238,0
2239,0
2240,256.142908
2241,119.0343654
2242,79.29276934
2243,329.3016055
2244,372.4748052
2245,0
2246,754.2684456
2247,0
2248,0
2249,0
2250,679.0111381
2251,0
2252,0
2253,0
2254,0
2255,109.8326868
2256,87.64102966
2257,84.22037209
2258,0
2259,0
2260,0
2261,0
2262,179.7904826
2263,62.99292954
2264,44.2748362
2265,111.7642944
2266,246.0470478
2267,272.5166313
2268,192.5780369
2269,110.9669395
2270,86.37006914
2271,120.4991108
2272,81.73729175
2273,51.38170816
2274,50.50455453
2275,1164.298782
2276,1410.644979
2277,273.4178718
2278,177.2733715
2279,169.9255156
2280,209.3082996
2281,205.303506
2282,431.4015288
2283,1359.07268
2284,3000
2285,2352.004379
2286,3000
2287,0
2288,0
2289,0
2290,1179.306483
2291,702.4883241
2292,822.4351708
2293,1932.501249
2294,3000
2295,0
2296,0
2297,0
2298,435.8309317
2299,159.6288777
2300,99.59387131
2301,143.0348571
2302,0
2303,0
2304,0
2305,956.6261839
2306,196.8619684
2307,355.6294443
2308,302.2145472
2309,1147.137054
2310,191.5269512
2311,130.2941261
2312,139.656949
2313,552.8594167
2314,3000
2315,147.47338
2316,131.8115376
2317,453.6340223
2318,0
2319,285.5440721
2320,83.15793651
2321,75.53597488
2322,420.2726637
2323,1418.826466
2324,153.3398759
2325,87.96928864
2326,72.909831
2327,395.4006741
2328,0
2329,0
2330,46.37767209
2331,37.47575043
2332,34.04862946
2333,191.8043978
2334,121.7078389
2335,0
2336,0
2337,0
2338,91.25006986
2339,86.56836293
2340,0
2341,0
2342,48.81373159
2343,34.9941017
2344,1270.464078
2345,0
2346,0
2347,87.45303068
2348,139.5244831
2349,0
2350,0
2351,27.82217017
2352,20.54018558
2353,18.13056102
2354,0
2355,0
2356,0
2357,30.44470714
2358,23.21594902
2359,18.99688337
2360,62.89410483
2361,0
2362,0
2363,3000
2364,3000
2365,569.8695677
2366,435.182073
2367,64.43383828
2368,33.83873913
2369,24.94491577
2370,110.1638663
2371,466.5027127
2372,0
2373,0
2374,0
2375,502.0639078
2376,71.56235589
2377,21.57361488
2378,16.64244189
2379,20.68598304
2380,20.60325703
2381,18.75195033
2382,114.5426569
2383,55.10599225
2384,17.36589492
2385,13.33008971
2386,24.67661133
2387,0
2388,0
2389,61.04367933
2390,19.40768466
2391,13.52439734
2392,28.58040863
2393,63.82223677
2394,0
2395,0
2396,0
2397,0
2398,19.28796567
2399,8.997357535
2400,6.524556156
2401,25.73848839
2402,47.92369802
2403,0
2404,0
2405,46.03169192
2406,26.18589789
2407,53.37931318
2408,510.5280968
2409,19.74946667
2410,15.35792822
2411,15.6661396
2412,0
2413,0
2414,0
2415,17.31863844
2416,13.41545447
2417,38.8906905
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,17.74861958
2426,14.02326121
2427,18.00573739
2428,0
2429,0
2430,0
2431,0
2432,0
2433,10.47728075
2434,7.052558551
2435,14.5559902
2436,0
2437,0
2438,0
2439,34.52019172
2440,5.841567697
2441,9.848283508
2442,19.2255885
2443,6.922326896
2444,7.579628839
2445,15.034423
2446,3000
2447,0
2448,72.20407887
2449,64.2664842
2450,23.27334421
2451,236.9328049
2452,0
2453,0
2454,0
2455,0
2456,0
2457,149.4870276
2458,23.42778221
2459,93.17498479
2460,0
2461,0
2462,16.94658982
2463,4.076509629
2464,20.96408852
2465,36.84416323
2466,0
2467,0
2468,0
2469,0
2470,96.79245875
2471,75.15543431
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,37.24821433
2480,0
2481,0
2482,0
2483,0
2484,0
2485,24.17855795
2486,41.03142556
2487,0
2488,177.4388618
2489,0
2490,0
2491,0
2492,0
2493,0
2494,0
2495,0
2496,0
2497,15.62287027
2498,24.1814958
2499,32.71916604
2500,69.75379598
2501,0
2502,0
2503,95.9176412
2504,33.90761867
2505,14.98076067
2506,156.932469
2507,0
2508,0
2509,0
2510,239.4305138
2511,45.74466883
2512,0
2513,81.89876885
2514,82.29902591
2515,0
2516,0
2517,0
2518,68.33755251
2519,75.38572851
2520,66.89466109
2521,0
2522,0
2523,0
2524,0
2525,48.69029978
2526,23.87357382
2527,29.58104937
2528,128.7308577
2529,0
2530,0
2531,0
2532,0
2533,0
2534,0
2535,0
2536,0
2537,0
2538,50.48846875
2539,50.30906004
2540,140.188863
2541,0
2542,0
2543,0
2544,0
2545,3000
2546,327.7219299
2547,0
2548,0
2549,0
2550,3000
2551,309.4208896
2552,97.84059742
2553,60.30033981
2554,59.01217158
2555,73.28101659
2556,153.2204796
2557,0
2558,0
2559,0
2560,1527.460441
2561,732.2463248
2562,162.9047801
2563,95.40893976
2564,29.34859197
2565,46.2143833
2566,0
2567,0
2568,0
2569,3000
2570,3000
2571,3000
2572,285.4973739
2573,238.045912
2574,83.9872225
2575,89.63812779
2576,94.60623595
2577,0
2578,0
2579,0
2580,0
2581,0
2582,0
2583,0
2584,138.290916
2585,131.6903872
2586,86.74523455
2587,283.2303166
2588,81.21056616
2589,130.6513541
2590,111.8255818
2591,423.2453601
2592,1923.424118
2593,1343.248201
2594,151.6715187
2595,95.69557592
2596,103.7183727
2597,3000
2598,3000
2599,3000
2600,380.4494409
2601,131.1606745
2602,180.2342857
2603,446.5292101
2604,0
2605,3000
2606,0
2607,0
2608,0
2609,119.3239036
2610,52.35345702
2611,110.8024546
2612,0
2613,0
2614,255.6121816
2615,91.60195764
2616,81.52840057
2617,77.44218301
2618,121.1394298
2619,118.9539516
2620,249.4180034
2621,213.6289937
2622,425.8098592
2623,182.5626169
2624,188.337054
2625,161.4834843
2626,126.0859521
2627,218.9835339
2628,1430.371476
2629,0
2630,210.2338274
2631,129.5728402
2632,210.0187059
2633,255.2793174
2634,0
2635,0
2636,0
2637,174.1290302
2638,120.8971802
2639,75.68725704
2640,126.2808223
2641,145.6404834
2642,923.1199259
2643,814.3707228
2644,0
2645,203.015897
2646,86.93770788
2647,51.42152054
2648,115.3404257
2649,213.2276866
2650,3000
2651,159.4348215
2652,133.6219729
2653,153.8837438
2654,218.7467043
2655,1181.18452
2656,468.4523527
2657,579.1912505
2658,994.6605181
2659,526.5169725
2660,166.9934602
2661,126.7381523
2662,148.8365592
2663,999.5640955
2664,113.2758151
2665,119.3624689
2666,66.33712677
2667,142.0725571
2668,129.728594
2669,56.86314395
2670,44.59945174
2671,39.84423074
2672,105.931569
2673,413.9004296
2674,122.9963752
2675,106.78417
2676,118.78388
2677,0
2678,159.0397073
2679,78.43201659
2680,88.35539841
2681,81.12572065
2682,145.3790207
2683,146.5893898
2684,0
2685,718.0269867
2686,3000
2687,281.6134614
2688,104.7528966
2689,70.35595139
2690,73.89696488
2691,349.8136839
2692,0
2693,498.8562625
2694,131.5125547
2695,95.20248527
2696,72.30726678
2697,150.6202541
2698,2402.174232
2699,0
2700,40.93950125
2701,39.11968836
2702,41.17329999
2703,0
2704,0
2705,0
2706,0
2707,0
2708,0
2709,459.6582722
2710,0
2711,0
2712,0
2713,62.88827467
2714,38.55185227
2715,16.99316616
2716,23.02691885
2717,71.91713371
2718,0
2719,0
2720,0
2721,99.25005094
2722,377.7489463
2723,89.48546301
2724,89.0692346
2725,105.7848864
2726,38.64535354
2727,36.22835446
2728,87.77931973
2729,0
2730,0
2731,576.7673722
2732,44.04909998
2733,130.1711343
2734,0
2735,0
2736,3000
2737,24.19509788
2738,12.81844606
2739,17.08315901
2740,0
2741,0
2742,0
2743,0
2744,0
2745,0
2746,0
2747,19.83114866
2748,24.06897877
2749,18.36876913
2750,18.11248561
2751,11.60541323
2752,16.45080816
2753,76.68819589
2754,0
2755,3000
2756,0
2757,0
2758,0
2759,642.1037335
2760,582.1733483
2761,0
2762,0
2763,0
2764,0
2765,4.802629649
2766,0.734526874
2767,1.347459977
2768,2.605493009
2769,0
2770,0
2771,49.39762535
2772,0
2773,0
2774,0
2775,6.051943136
2776,2.295044601
2777,4.181258241
2778,9.626478247
2779,0
2780,0
2781,0
2782,0
2783,0
2784,0
2785,4.944241766
2786,2.470547865
2787,2.212404745
2788,18.27598699
2789,0
2790,0
2791,3000
2792,0
2793,0
2794,0
2795,21.11886976
2796,15.4002567
2797,12.31589638
2798,135.1653905
2799,113.5391641
2800,12.1638954
2801,12.43430865
2802,29.03288144
2803,0
2804,0
2805,12.64654434
2806,12.03194909
2807,20.70607251
2808,3000
2809,0
2810,0
2811,7.385180086
2812,4.221242571
2813,3.795027248
2814,2.681251419
2815,1.888023466
2816,1.820139402
2817,3.676561478
2818,6.376122934
2819,25.50076545
2820,3000
2821,128.5090344
2822,27.44757516
2823,0
2824,0
2825,0
2826,2.574206256
2827,2.948790822
2828,7.900922115
2829,4.815646004
2830,1.843112207
2831,1.580721689
2832,2.082021943
2833,1.847764823
2834,4.949837353
2835,4.06253929
2836,0
2837,6.532106755
2838,7.12563957
2839,5.276760245
2840,15.42068323
2841,6.496096528
2842,7.352437818
2843,4.219837739
2844,4.968207525
2845,7.008751049
2846,6.297015159
2847,3.181016256
2848,4.440966135
2849,8.521577066
2850,0
2851,0
2852,0
2853,0
2854,0
2855,142.3372592
2856,0
2857,0
2858,0
2859,0
2860,0
2861,0
2862,0
2863,0
2864,0
2865,0
2866,32.53673432
2867,21.92100397
2868,87.80182133
2869,60.63510052
2870,0
2871,0
2872,0
2873,0
2874,3000
2875,3000
2876,0
2877,0
2878,121.845206
2879,43.04813127
2880,36.40653481
2881,49.27896864
2882,160.0933902
2883,0
2884,0
2885,0
2886,70.46596108
2887,33.98715357
2888,23.50365073
2889,0
2890,0
2891,0
2892,3000
2893,0
2894,0
2895,0
2896,89.8295913
2897,59.07157775
2898,68.52127774
2899,0
2900,3000
2901,264.6970843
2902,510.2664888
2903,3000
2904,3000
2905,0
2906,0
2907,0
2908,0
2909,0
2910,0
2911,0
2912,0
2913,80.38713055
2914,66.80970787
2915,107.744063
2916,0
2917,0
2918,704.8704467
2919,175.7366685
2920,140.5316216
2921,587.2637874
2922,0
2923,458.8965998
2924,125.4371706
2925,102.663702
2926,601.7743863
2927,1245.257906
2928,0
2929,0
2930,409.5353005
2931,90.2395957
2932,62.13908635
2933,118.4749134
2934,626.4709656
2935,0
2936,0
2937,0
2938,0
2939,314.0883558
2940,220.4074751
2941,110.4054886
2942,225.0655568
2943,144.2283042
2944,160.3012984
2945,180.6312492
2946,415.3329269
2947,168.4198642
2948,128.9959275
2949,225.5535293
2950,0
2951,0
2952,0
2953,0
2954,398.3948765
2955,119.2507499
2956,114.3647437
2957,234.828927
2958,0
2959,475.6078179
2960,264.1147325
2961,331.0585809
2962,774.1333414
2963,858.6641718
2964,306.9774016
2965,167.8227963
2966,172.4908679
2967,277.0659218
2968,906.1848835
2969,3000
2970,608.2904745
2971,377.7112343
2972,478.6541703
2973,449.6111151
2974,501.4858404
2975,148.8821582
2976,215.8104354
2977,419.6754753
2978,0
2979,0
2980,0
2981,0
2982,257.0437533
2983,237.5893659
2984,106.3737772
2985,172.6323615
2986,138.0434418
2987,734.0397414
2988,181.4135997
2989,132.5185084
2990,145.3682959
2991,89.58660766
2992,87.20403436
2993,67.74104441
2994,82.88881149
2995,63.51558773
2996,98.81529929
2997,258.523673
2998,0
2999,0
3000,0
3001,0
3002,587.2253098
3003,75.7312313
3004,45.19857927
3005,63.01899586
3006,3000
3007,0
3008,196.3411159
3009,133.7765902
3010,225.2084038
3011,262.5945127
3012,72.34365916
3013,68.47671438
3014,83.27950095
3015,328.9650035
3016,3000
3017,3000
3018,286.1431665
3019,772.4712854
3020,285.0804968
3021,605.3981549
3022,202.8209898
3023,228.0771963
3024,95.83392335
3025,56.623041
3026,43.30168661
3027,59.06410067
3028,53.3658694
3029,67.94271843
3030,47.6989723
3031,42.17486196
3032,33.15331305
3033,47.2041895
3034,56.02005791
3035,58.67934331
3036,36.84176174
3037,22.21568519
3038,35.94120096
3039,70.25917894
3040,378.6712006
3041,126.2919064
3042,43.45285663
3043,34.31396459
3044,34.46920966
3045,43.82547987
3046,38.8823123
3047,38.90870001
3048,73.59528235
3049,70.45773038
3050,72.2828066
3051,51.13824567
3052,95.13005364
3053,121.8538434
3054,191.801404
3055,50.28196457
3056,125.0824406
3057,684.5478761
3058,517.8982105
3059,112.7810202
3060,56.87903374
3061,57.12307262
3062,0
3063,69.64902407
3064,30.25751884
3065,29.06432127
3066,32.51707519
3067,89.36700361
3068,0
3069,0
3070,0
3071,167.8744177
3072,85.13769154
3073,91.1265035
3074,0
3075,0
3076,195.5624708
3077,42.83780391
3078,37.11743099
3079,167.6449676
3080,271.2372006
3081,1878.833311
3082,981.2407927
3083,0
3084,226.681513
3085,52.67439266
3086,40.93786422
3087,38.72963975
3088,106.6480981
3089,68.20818473
3090,83.93392886
3091,119.016056
3092,95.68976478
3093,84.79403068
3094,43.35502863
3095,73.95749155
3096,225.8578667
3097,0
3098,387.7713819
3099,0
3100,78.61769997
3101,84.05356014
3102,46.74135415
3103,139.9566952
3104,95.69935003
3105,200.9515858
3106,192.5470993
3107,328.5696659
3108,131.1100255
3109,151.731854
3110,145.0251294
3111,105.8521183
3112,91.0018503
3113,107.4437697
3114,927.660999
3115,0
3116,0
3117,69.52398361
3118,79.33109543
3119,74.46393148
3120,382.7388327
3121,40.42240558
3122,33.46661271
3123,32.83206934
3124,13.18006105
3125,11.3653023
3126,9.305412344
3127,60.91898329
3128,339.4824804
3129,237.9472001
3130,0
3131,0
3132,0
3133,0
3134,0
3135,0
3136,84.24505433
3137,0
3138,0
3139,180.0457239
3140,63.74023497
3141,41.98612918
3142,115.7776217
3143,30.45327892
3144,0
3145,0
3146,0
3147,0
3148,3.329409782
3149,1.570242424
3150,1.535635095
3151,121.7627152
3152,0
3153,0
3154,3000
3155,0
3156,0
3157,0
3158,30.74583659
3159,29.67054942
3160,231.3402039
3161,0
3162,0
3163,0
3164,0
3165,0
3166,16.39274179
3167,6.466916464
3168,0
3169,0
3170,0
3171,0
3172,0
3173,32.22823937
3174,11.37409678
3175,13.64453716
3176,14.45923934
3177,8.899364529
3178,6.834882975
3179,0
3180,0
3181,45.95744024
3182,20.30689067
3183,27.1881645
3184,19.45697871
3185,26.2168228
3186,45.87873706
3187,0
3188,0
3189,106.9413799
3190,30.79903305
3191,17.63159101
3192,20.01054421
3193,22.7439741
3194,43.36469114
3195,38.73726399
3196,20.54050788
3197,23.05853099
3198,11.49306575
3199,172.5746869
3200,0
3201,0
3202,0
3203,196.9223717
3204,0
3205,0
3206,0
3207,0
3208,13.51494421
3209,9.911622195
3210,8.391528524
3211,17.77294419
3212,23.33962099
3213,115.0679518
3214,0
3215,0
3216,18.2400897
3217,8.920474356
3218,14.12622701
3219,10.39603381
3220,0
3221,0
3222,0
3223,0
3224,0
3225,0
3226,0
3227,0
3228,692.540574
3229,307.294736
3230,319.4287141
3231,278.9381878
3232,446.1611788
3233,3000
3234,3000
3235,730.4477633
3236,379.3573403
3237,319.9856319
3238,804.4091466
3239,225.723841
3240,249.7000014
3241,245.2869121
3242,0
3243,0
3244,0
3245,0
3246,0
3247,0
3248,0
3249,0
3250,0
3251,0
3252,452.572575
3253,133.8399014
3254,92.09567036
3255,0
3256,0
3257,0
3258,0
3259,0
3260,0
3261,0
3262,0
3263,2208.551631
3264,377.5667146
3265,221.0270082
3266,631.6354334
3267,615.5558489
3268,1435.916682
3269,3000
3270,0
3271,0
3272,0
3273,3000
3274,0
3275,0
3276,0
3277,694.0811726
3278,604.8102822
3279,124.756069
3280,151.3833124
3281,166.6601742
3282,260.6741649
3283,0
3284,0
3285,0
3286,0
3287,0
3288,143.5565081
3289,407.3405384
3290,317.3362972
3291,3000
3292,0
3293,0
3294,0
3295,302.9928444
3296,0
3297,0
3298,0
3299,0
3300,0
3301,0
3302,0
3303,0
3304,92.40966724
3305,48.85520793
3306,89.46110762
3307,0
3308,214.1018007
3309,129.1152339
3310,92.54339044
3311,342.8509411
3312,259.1217084
3313,769.0472171
3314,148.007251
3315,107.1175857
3316,112.6423307
3317,195.9408731
3318,334.5169128
3319,586.6888279
3320,1019.150656
3321,1711.106921
3322,107.1816058
3323,220.9167404
3324,1149.348574
3325,0
3326,966.6928357
3327,135.0444858
3328,625.2569094
3329,0
3330,0
3331,0
3332,710.4869577
3333,268.5571772
3334,226.7629917
3335,144.20917
3336,165.9356418
3337,214.3269245
3338,0
3339,0
3340,3000
3341,318.8797451
3342,345.9253008
3343,316.2778948
3344,311.208632
3345,186.9197329
3346,219.6703948
3347,439.9753431
3348,2719.142768
3349,1631.995556
3350,390.0472822
3351,132.9070868
3352,82.78288982
3353,62.08120574
3354,120.6242062
3355,155.4928819
3356,133.0497682
3357,62.66464036
3358,58.97876943
3359,95.19966568
3360,228.6832512
3361,3000
3362,0
3363,408.6965462
3364,0
3365,0
3366,996.2829686
3367,126.521417
3368,131.8015171
3369,248.7922446
3370,127.4811528
3371,81.26431186
3372,76.11660516
3373,163.919283
3374,392.2272709
3375,237.2531109
3376,440.2387068
3377,910.9345784
3378,2271.230505
3379,441.4290232
3380,424.742367
3381,499.2754713
3382,265.9169059
3383,85.72274033
3384,113.8000732
3385,162.1756897
3386,286.9376856
3387,108.8830848
3388,67.42136695
3389,115.621816
3390,396.3488134
3391,341.1284806
3392,167.9218678
3393,130.990355
3394,3000
3395,3000
3396,0
3397,0
3398,0
3399,0
3400,0
3401,0
3402,0
3403,3000
3404,112.915469
3405,115.2669982
3406,115.1722338
3407,126.124587
3408,66.32043718
3409,66.04545553
3410,56.09233196
3411,106.9194029
3412,75.09210212
3413,47.89239286
3414,45.53992342
3415,45.7901428
3416,91.09402563
3417,152.7545795
3418,121.9095111
3419,52.03769393
3420,53.80335531
3421,78.26129167
3422,98.85181404
3423,1848.836413
3424,0
3425,0
3426,0
3427,0
3428,0
3429,367.137007
3430,114.6719133
3431,351.1872506
3432,0
3433,112.30665
3434,39.75224113
3435,56.45463582
3436,0
3437,0
3438,0
3439,0
3440,210.6686901
3441,41.41835997
3442,36.85798425
3443,58.83906467
3444,0
3445,0
3446,0
3447,42.2488785
3448,18.12377038
3449,20.91516697
3450,102.0456815
3451,37.30480831
3452,24.59428494
3453,13.28529048
3454,10.77475278
3455,20.62294615
3456,90.19017055
3457,102.0698189
3458,23.34097097
3459,20.59031462
3460,3.352004346
3461,1.463658991
3462,13.4962929
3463,82.13268365
3464,65.15872611
3465,34.5196077
3466,47.90031967
3467,29.08453209
3468,22.85209087
3469,15.83683761
3470,12.21804068
3471,14.08893788
3472,24.27892441
3473,12.52826645
3474,6.48765024
3475,5.012716773
3476,5.178509731
3477,6.239401597
3478,5.567382356
3479,10.45286202
3480,5.850853572
3481,4.072752481
3482,2.743230559
3483,1.560905499
3484,4.283242453
3485,26.51060946
3486,85.81893978
3487,7.949012902
3488,9.953546377
3489,6.627656824
3490,0
3491,0
3492,0
3493,88.10261027
3494,84.6720455
3495,63.93510984
3496,20.65156521
3497,22.16950362
3498,24.91967759
3499,14.69913527
3500,12.74699214
3501,17.02909203
3502,229.5880074
3503,42.0901526
3504,26.77680348
3505,17.32029693
3506,21.18438503
3507,23.21650514
3508,18.38017239
3509,9.766485959
3510,16.97583985
3511,111.4507212
3512,112.0287268
3513,1578.808219
3514,162.8587312
3515,110.8143678
3516,61.85107745
3517,0
3518,815.6488669
3519,66.80060728
3520,46.14446979
3521,93.38895437
3522,0
3523,132.0202781
3524,45.26528429
3525,28.03842299
3526,21.17821604
3527,33.01809211
3528,17.37233211
3529,9.243873797
3530,6.583839517
3531,9.742901504
3532,11.57615564
3533,11.17451693
3534,4.529820516
3535,4.570026286
3536,4.632154908
3537,11.29461471
3538,7.995804324
3539,8.43503043
3540,18.22708668
3541,0
3542,1201.521292
3543,111.1533314
3544,49.5783613
3545,40.87363041
3546,42.07233079
3547,0
3548,0
3549,0
3550,0
3551,249.7649877
3552,104.041833
3553,66.9081866
3554,34.41518617
3555,65.51691135
3556,194.975236
3557,332.9724975
3558,180.2755988
3559,164.0010746
3560,677.1108491
3561,0
3562,0
3563,1631.429485
3564,127.4252376
3565,50.97177912
3566,62.60279453
3567,39.18895602
3568,39.40179933
3569,23.58682987
3570,25.24912472
3571,36.86661809
3572,146.7164139
3573,89.42405818
3574,46.45577165
3575,47.37502315
3576,40.27086126
3577,179.7732235
3578,159.8485223
3579,141.7760139
3580,52.85058789
3581,31.73324076
3582,23.63408513
3583,19.56001337
3584,31.22917328
3585,50.84589424
3586,36.86056194
3587,43.86476755
3588,118.3642294
3589,201.3102619
3590,93.61326665
3591,61.82557296
3592,93.96721958
3593,49.28251871
3594,647.0734532
3595,489.4958849
3596,0
3597,139.6583292
3598,186.2616492
3599,126.4635876
3600,72.49844011
3601,120.8118079
3602,77.7731938
3603,75.39129505
3604,188.1689759
3605,498.6805737
3606,150.372437
3607,179.3731261
3608,155.7960438
3609,192.1408543
3610,81.82089371
3611,109.8337929
3612,108.0249203
3613,112.9926843
3614,88.80146848
3615,75.38827283
3616,119.9150982
3617,107.5690592
3618,488.0954728
3619,305.0825962
3620,336.4699581
3621,486.1331475
3622,108.0421179
3623,138.4502903
3624,186.1185505
3625,99.61239917
3626,51.59747396
3627,37.48318858
3628,41.52853956
3629,39.56782432
3630,26.13025047
3631,29.59331638
3632,34.28680735
3633,73.88290625
3634,41.96389734
3635,25.00556229
3636,61.46568192
3637,0
3638,0
3639,0
3640,0
3641,1568.97723
3642,196.1777814
3643,396.4069796
3644,0
3645,0
3646,437.4216937
3647,79.88192835
3648,71.40329265
3649,84.58135247
3650,135.9420436
3651,113.6649186
3652,0
