$Constituent data for runoff (Weighted Average of Minor Tribs),
Auto-Generated,
JDAY,TDS
452,52.66353971
453,11.70798875
454,34.22569532
455,69.0712695
456,0
457,0
458,0
459,0
460,170.0120753
461,59.36160954
462,45.64340154
463,44.47354767
464,104.0635738
465,81.28565973
466,39.17353503
467,25.68354794
468,30.53806622
469,54.63692428
470,52.80107196
471,56.3517214
472,71.55521466
473,77.00500968
474,138.9062003
475,221.6042843
476,0
477,0
478,3000
479,0
480,78.40799274
481,66.53914279
482,163.006203
483,0
484,0
485,0
486,0
487,1489.520834
488,1532.196959
489,1887.091517
490,0
491,386.7000295
492,354.059648
493,487.3886078
494,0
495,0
496,0
497,62.06088563
498,43.19884567
499,21.02793685
500,39.81791901
501,27.03140462
502,29.1309614
503,68.62896231
504,3000
505,0
506,148.576222
507,35.48209547
508,27.89351065
509,28.13289523
510,24.46992605
511,36.57932144
512,193.5375647
513,0
514,0
515,305.191578
516,284.812951
517,139.0067801
518,297.5509565
519,231.8622844
520,1378.732485
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,319.1462522
531,88.10331088
532,125.2721948
533,608.5142843
534,115.6821352
535,94.07299902
536,68.64832603
537,44.56390912
538,40.43876172
539,78.81919875
540,15.91120631
541,19.4827517
542,14.19525343
543,0
544,0
545,0
546,0
547,0
548,0
549,28.9385257
550,8.990670719
551,7.182536634
552,16.08091453
553,0
554,0
555,11.45175223
556,10.17829492
557,11.29427315
558,16.51280893
559,18.89205522
560,22.84463435
561,0
562,39.1859263
563,37.72333763
564,24.45763937
565,45.79962644
566,0
567,0
568,0
569,0
570,0
571,48.77073062
572,37.59177693
573,12.68106307
574,14.14807118
575,13.18841933
576,38.1192079
577,0
578,123.2859012
579,57.59166451
580,12.246565
581,9.254557772
582,7.680664099
583,26.52369943
584,79.82698953
585,0
586,0
587,0
588,729.38156
589,0
590,0
591,0
592,0
593,0
594,0
595,19.0051284
596,13.9393195
597,13.27153274
598,0
599,0
600,0
601,100.473001
602,51.03367208
603,25.41301074
604,35.33170211
605,23.21346856
606,0
607,25.8751868
608,4.693995926
609,3.928580078
610,13.31992638
611,0
612,0
613,0
614,84.54406002
615,9.102479097
616,4.338658612
617,3.842379405
618,4.883021625
619,16.0731417
620,0
621,0
622,0
623,12.08597856
624,7.084091344
625,105.7613887
626,125.5265736
627,0
628,42.70147378
629,9.352263002
630,11.26964971
631,0
632,0
633,0
634,17.08187272
635,12.24099195
636,2.8089212
637,3.450186175
638,17.93144866
639,0
640,0
641,117.4518278
642,395.1447114
643,317.6363667
644,571.0372915
645,0
646,0
647,0
648,0
649,0
650,33.15177001
651,14.02115276
652,11.58595418
653,0
654,0
655,0
656,0
657,0
658,0
659,29.02019109
660,23.62385533
661,27.51449863
662,393.3740877
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,213.8414672
672,141.9031931
673,829.0626564
674,0
675,3000
676,3000
677,74.67559136
678,70.15481755
679,55.74202042
680,30.49707887
681,13.70978543
682,17.20344884
683,21.99338596
684,48.42281544
685,0
686,0
687,0
688,0
689,0
690,262.4535721
691,101.6030606
692,593.4907531
693,506.9565732
694,0
695,0
696,165.2149077
697,50.76873904
698,32.56866953
699,102.7618113
700,0
701,0
702,0
703,0
704,0
705,0
706,201.7699274
707,153.525052
708,112.4772289
709,182.0154567
710,363.6051429
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,196.0366867
722,25.80578327
723,37.58060653
724,65.26427752
725,52.74565157
726,68.1593428
727,73.57623739
728,0
729,0
730,0
731,50.93407024
732,22.97120511
733,27.04265648
734,23.80955785
735,220.1261427
736,0
737,0
738,111.5431472
739,108.6719885
740,36.81140999
741,55.12874995
742,18.55326233
743,37.12818986
744,46.15107595
745,0
746,0
747,184.5495614
748,90.35836879
749,59.24824753
750,61.84268609
751,79.68804435
752,190.3184692
753,81.17670468
754,74.22886911
755,19.7834932
756,22.72726892
757,80.35677315
758,0
759,0
760,38.10985691
761,17.47650091
762,20.72703769
763,0
764,0
765,0
766,0
767,40.59241181
768,28.331191
769,83.46187329
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,83.61680995
782,55.61530572
783,33.04174958
784,22.37143072
785,14.2773252
786,16.70762527
787,29.33764324
788,30.39989788
789,34.51495676
790,32.18687205
791,24.41470157
792,27.83461268
793,24.78394934
794,53.39761579
795,0
796,0
797,0
798,0
799,0
800,180.936574
801,453.4794891
802,1386.325847
803,0
804,254.8759898
805,0
806,0
807,0
808,0
809,0
810,563.9832633
811,91.31646669
812,66.85218837
813,68.48267078
814,80.7309851
815,63.70115344
816,47.00763919
817,67.6571966
818,66.85368705
819,62.64963907
820,60.96635819
821,1856.232641
822,0
823,0
824,0
825,3000
826,3000
827,159.4692734
828,137.2665386
829,101.6759173
830,92.30427129
831,85.94443641
832,91.72677743
833,132.8434159
834,289.4808413
835,262.2919081
836,0
837,0
838,0
839,0
840,0
841,0
842,238.0135121
843,604.9707149
844,421.5601554
845,250.2202653
846,241.9975355
847,241.7064001
848,976.5167686
849,259.5704704
850,150.2632779
851,76.15789443
852,67.49929786
853,71.25308654
854,63.82423199
855,142.2099583
856,381.6118659
857,0
858,283.5007217
859,120.3783844
860,722.3974021
861,0
862,0
863,0
864,740.5268769
865,360.1083229
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,839.0501344
878,54.66347414
879,54.41164831
880,118.1381529
881,0
882,0
883,0
884,1864.385939
885,55.79501376
886,40.8365198
887,53.69970408
888,89.84919024
889,316.4109015
890,351.0193042
891,101.6187853
892,86.10431107
893,0
894,0
895,0
896,0
897,0
898,0
899,168.4711054
900,32.94914951
901,24.69291919
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,105.4237302
912,961.6472283
913,0
914,349.1402913
915,82.93186375
916,73.02004908
917,65.91145306
918,53.07855311
919,218.4245912
920,0
921,0
922,0
923,32.58533924
924,38.57561427
925,86.21005619
926,0
927,170.179729
928,7.332137097
929,3.276507999
930,2.302597862
931,1.824905254
932,3.243407776
933,4.591900179
934,2.937522952
935,3.97141501
936,9.954707874
937,0
938,0
939,0
940,0
941,18.06109602
942,20.10364435
943,21.87261064
944,17.39869714
945,10.63481117
946,7.797221954
947,15.4619177
948,0
949,0
950,0
951,0
952,0
953,0
954,18.28067464
955,12.04658673
956,8.522257993
957,0
958,0
959,0
960,218.5646548
961,0
962,370.19802
963,37.65745684
964,20.35542013
965,18.62427477
966,29.01204908
967,8.23099577
968,8.48751339
969,8.145710456
970,393.0079292
971,0
972,0
973,0
974,0
975,0
976,0
977,77.04809876
978,70.06801634
979,169.5169058
980,479.1916116
981,1156.561383
982,1395.034237
983,171.04246
984,193.9843429
985,172.6439698
986,0
987,0
988,0
989,0
990,789.9526216
991,104.357087
992,63.74395092
993,168.3477581
994,71.88599442
995,70.14038678
996,92.32757611
997,0
998,0
999,0
1000,0
1001,0
1002,378.9301587
1003,0
1004,0
1005,0
1006,0
1007,228.1794564
1008,0
1009,0
1010,0
1011,0
1012,155.5194694
1013,108.7819591
1014,80.53455681
1015,54.98478808
1016,120.4345637
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,644.4081963
1031,281.2864407
1032,169.6445629
1033,139.0999051
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,298.3911989
1056,375.3171752
1057,693.028868
1058,0
1059,0
1060,0
1061,0
1062,217.1730996
1063,120.390353
1064,3000
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,467.813247
1074,238.9060963
1075,96.3759847
1076,52.99530919
1077,32.45295381
1078,31.53617399
1079,84.33877017
1080,103.2762892
1081,67.39697316
1082,37.14729531
1083,41.45678415
1084,54.49348865
1085,44.46432887
1086,63.88675087
1087,121.7329106
1088,223.9858095
1089,95.82424241
1090,89.76218949
1091,193.0455311
1092,0
1093,924.0670723
1094,1879.165427
1095,272.1837228
1096,93.0129316
1097,63.91508976
1098,38.75839175
1099,32.88134773
1100,52.77669261
1101,0
1102,0
1103,0
1104,0
1105,512.2854068
1106,211.4818626
1107,53.61564989
1108,68.98688774
1109,79.93709159
1110,686.7860916
1111,629.453285
1112,669.848117
1113,0
1114,0
1115,0
1116,836.1577504
1117,562.0149815
1118,2246.698437
1119,0
1120,2110.652239
1121,359.2639731
1122,638.2937203
1123,250.32476
1124,113.2886548
1125,69.67478516
1126,77.19897267
1127,106.3488528
1128,192.403956
1129,0
1130,0
1131,0
1132,460.6663995
1133,226.2875368
1134,1050.826405
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,31.89851786
1143,26.01938328
1144,27.63753993
1145,39.56223149
1146,40.93324988
1147,35.60368149
1148,72.34142562
1149,69.51655959
1150,49.49851799
1151,66.11973706
1152,51.34201091
1153,67.30912572
1154,46.83248847
1155,28.29203992
1156,28.93071438
1157,45.01313278
1158,58.1773527
1159,58.62951249
1160,70.56181296
1161,0
1162,0
1163,113.359249
1164,80.70011574
1165,77.58484371
1166,218.1961526
1167,0
1168,0
1169,0
1170,74.73062538
1171,43.30104105
1172,32.10480196
1173,40.70806888
1174,39.62321997
1175,32.98294329
1176,31.00380036
1177,29.6184108
1178,36.76854308
1179,31.58600193
1180,20.766429
1181,20.184556
1182,23.94774779
1183,118.7674832
1184,120.1775891
1185,39.93063929
1186,29.40818089
1187,20.18791685
1188,27.95160354
1189,41.08639867
1190,23.21341932
1191,30.38109924
1192,19.01656818
1193,36.34549103
1194,28.71141371
1195,19.66059752
1196,23.32462899
1197,25.49209173
1198,514.9322114
1199,321.773344
1200,0
1201,250.787213
1202,72.07478203
1203,60.22427051
1204,41.37237352
1205,84.36704933
1206,88.15850057
1207,35.86113834
1208,44.87443486
1209,308.7828328
1210,151.8062841
1211,128.5319567
1212,171.5312517
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,82.90870376
1225,81.86691073
1226,160.2683238
1227,0
1228,0
1229,0
1230,0
1231,3000
1232,3000
1233,3000
1234,70.77289784
1235,56.17290732
1236,47.31694185
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,83.25811165
1245,75.87208402
1246,3000
1247,3000
1248,32.82641143
1249,42.9022485
1250,58.88989812
1251,36.53738022
1252,44.80461209
1253,57.2776173
1254,0
1255,0
1256,0
1257,94.69822624
1258,38.15084861
1259,41.73722196
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,91.61494185
1267,52.81557195
1268,134.6191624
1269,0
1270,0
1271,0
1272,422.8340982
1273,36.87145137
1274,22.42680619
1275,29.95174467
1276,0
1277,0
1278,0
1279,0
1280,225.4973546
1281,9.03763039
1282,8.675444778
1283,8.180148133
1284,37.04989882
1285,76.08184659
1286,17.52559486
1287,60.91704039
1288,30.15000859
1289,0
1290,0
1291,0
1292,0
1293,35.73803817
1294,0
1295,0
1296,11.92836176
1297,6.137902238
1298,10.47575401
1299,0
1300,0
1301,3000
1302,3000
1303,3000
1304,3000
1305,0
1306,0
1307,0
1308,0
1309,3000
1310,12.91756577
1311,8.837815989
1312,8.799554999
1313,3.107531968
1314,3.857039469
1315,3.685370533
1316,0
1317,0
1318,2.116978001
1319,2.772109728
1320,4.350178607
1321,10.11337082
1322,9.267136676
1323,3.232439166
1324,7.255279842
1325,6.592674474
1326,17.53869639
1327,41.75699856
1328,0
1329,0
1330,227.348073
1331,0
1332,54.56836455
1333,49.99969157
1334,13.11189242
1335,14.10940513
1336,12.71151608
1337,496.3989751
1338,30.39650731
1339,7.014963437
1340,6.76228373
1341,4.493875532
1342,4.21261666
1343,5.727631192
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,14.5680501
1351,15.36529381
1352,198.1318871
1353,224.0145348
1354,16.81989051
1355,17.02834777
1356,28.61041105
1357,0
1358,84.28758604
1359,32.14515952
1360,22.19185463
1361,34.00474689
1362,91.68696289
1363,181.7858403
1364,0
1365,0
1366,0
1367,0
1368,109.9211111
1369,159.7014444
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,10.55681797
1377,7.964176039
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,127.224132
1390,28.34756947
1391,18.38816463
1392,22.74992575
1393,33.18957281
1394,0
1395,0
1396,0
1397,31.18533438
1398,12.55520113
1399,72.27499341
1400,3000
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,2133.518964
1410,74.1743177
1411,87.42922761
1412,102.5995353
1413,62.51521705
1414,28.26248874
1415,47.41646278
1416,75.54511842
1417,0
1418,44.58041871
1419,19.22194575
1420,18.33362128
1421,39.41688406
1422,0
1423,532.9781804
1424,0
1425,0
1426,0
1427,216.1678102
1428,0
1429,0
1430,102.2459304
1431,314.463479
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,79.47342569
1447,83.84883044
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,118.3876188
1456,99.49120239
1457,362.1050849
1458,170.5485173
1459,164.355689
1460,167.5372485
1461,0
1462,0
1463,0
1464,0
1465,258.088578
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,603.6665795
1473,27.13884499
1474,37.41872461
1475,58.82088907
1476,202.5826693
1477,246.0565772
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,192.6320338
1492,770.3091516
1493,872.9720498
1494,0
1495,0
1496,0
1497,1070.963219
1498,953.1016002
1499,0
1500,3000
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,99.18244386
1509,213.4670867
1510,0
1511,0
1512,0
1513,67.67636064
1514,41.51790694
1515,33.04530417
1516,73.12299356
1517,517.0772017
1518,0
1519,0
1520,0
1521,933.3735865
1522,224.3279294
1523,112.65133
1524,164.1834571
1525,899.8864912
1526,105.7869998
1527,89.00997867
1528,233.3166879
1529,0
1530,130.263456
1531,65.92056428
1532,62.11049875
1533,189.8569504
1534,138.5425123
1535,143.0805956
1536,141.4272317
1537,171.5735008
1538,75.81765921
1539,138.2238506
1540,160.8417248
1541,407.0218343
1542,192.3996219
1543,164.1906686
1544,1944.661639
1545,445.9664457
1546,768.0669343
1547,466.7143543
1548,2727.295665
1549,742.1980214
1550,3000
1551,0
1552,0
1553,0
1554,1753.470862
1555,0
1556,0
1557,0
1558,3000
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,755.9272092
1576,853.9208246
1577,0
1578,0
1579,0
1580,3000
1581,0
1582,0
1583,0
1584,1474.214535
1585,308.536767
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,206.391826
1595,100.2866875
1596,87.4481291
1597,382.0725766
1598,3000
1599,0
1600,0
1601,0
1602,0
1603,169.4907462
1604,3000
1605,0
1606,0
1607,0
1608,0
1609,0
1610,1014.289944
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,3000
1621,0
1622,1038.200528
1623,3000
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,520.6377861
1631,260.2667238
1632,146.3271645
1633,0
1634,400.9796027
1635,55.8823718
1636,31.97947588
1637,53.68688797
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,201.3313087
1649,327.566092
1650,110.1296147
1651,117.5792039
1652,371.146374
1653,3000
1654,3000
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,132.7427621
1663,74.9699397
1664,160.668812
1665,0
1666,0
1667,0
1668,0
1669,0
1670,340.6096789
1671,77.15556263
1672,33.81656947
1673,28.03536425
1674,28.36049064
1675,75.02059078
1676,3000
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,52.79259946
1686,163.0084202
1687,70.27241495
1688,0
1689,0
1690,0
1691,0
1692,24.47784714
1693,20.27246228
1694,20.75006143
1695,0
1696,0
1697,0
1698,14.8609054
1699,16.29926639
1700,0
1701,0
1702,0
1703,31.27645638
1704,26.90080904
1705,49.66739969
1706,872.6731805
1707,18.71039898
1708,12.73100275
1709,50.00670315
1710,0
1711,0
1712,12.15749962
1713,15.49466456
1714,14.33610477
1715,35.27708579
1716,23.27539888
1717,59.71398066
1718,14.62187884
1719,37.55203825
1720,27.18102117
1721,139.4906776
1722,29.80353275
1723,134.966975
1724,13.20030398
1725,22.99840718
1726,58.85245672
1727,0
1728,0
1729,1075.202765
1730,1228.788873
1731,3000
1732,220.612835
1733,218.100101
1734,33.62052424
1735,29.74834456
1736,78.06837463
1737,0
1738,0
1739,0
1740,170.4704202
1741,440.6546686
1742,156.4195106
1743,66.9077057
1744,53.61019279
1745,100.6263808
1746,0
1747,0
1748,253.5181839
1749,80.58396319
1750,158.8675485
1751,108.0078924
1752,3000
1753,3000
1754,113.9744752
1755,50.77287973
1756,36.09194571
1757,51.94072999
1758,133.1357184
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,158.0802745
1766,200.9160842
1767,0
1768,0
1769,0
1770,0
1771,0
1772,3000
1773,13.0957099
1774,13.69878489
1775,14.18178411
1776,75.33735696
1777,73.17652434
1778,98.36488205
1779,3000
