$Waushacum (Frbk)  inflow constituents,
Auto-Generated,
JDAY,TDS
1138,57.069
1139,57.94
1140,58.421
1141,58.909
1142,58.905
1143,58.267
1144,58.475
1145,58.69
1146,59.135
1147,59.843
1148,59.856
1149,59.023
1150,57.952
1151,53.019
1152,52.856
1153,53.313
1154,52.883
1155,52.471
1156,51.782
1157,52.5
1158,51.494
1159,50.621
1160,51.785
1161,53.021
1162,53.348
1163,50.932
1164,49.134
1165,51.494
1166,53.314
1167,55.045
1168,55.93
1169,57.548
1170,59.52
1171,61.17
1172,62.679
1173,64.028
1174,65.39
1175,66.968
1176,68.58
1177,70.54
1178,72.303
1179,74.34
1180,76.159
1181,78.006
1182,80.187
1183,81.48
1184,80.5
1185,80.156
1186,79.507
1187,78.523
1188,76.874
1189,76.893
1190,76.26
1191,77.485
1192,78.352
1193,79.663
1194,80.577
1195,81.041
1196,82.459
1197,82.92
1198,83.446
1199,84.221
1200,85.713
1201,87.226
1202,87.978
1203,89.767
1204,92.52
1205,91.631
1206,96.649
1207,94.562
1208,83.646
1209,54.165
1210,52.88
1211,49.44
1212,53.021
1213,55.033
1214,59.524
1215,61.217
1216,64.42
1217,61.622
1218,58.98
1219,59.972
1220,61.188
1221,64.281
1222,67.316
1223,68.937
1224,70.556
1225,70.753
1226,67.68
1227,66.673
1228,68.735
1229,69.588
1230,68.36
1231,64.925
1232,59.88
1233,60.669
1234,63.547
1235,65.617
1236,67.197
1237,67.965
1238,64.46
1239,61.38
1240,64.93
1241,69.174
1242,72.756
1243,76.842
1244,81.218
1245,84.031
1246,80.4
1247,78.727
1248,78.801
1249,62.773
1250,51.472
1251,54.683
1252,52.373
1253,50.918
1254,49.32
1255,51.737
1256,54.702
1257,58.179
1258,61.79
1259,64.787
1260,61.761
1261,61.56
1262,65.795
1263,69.971
1264,73.925
1265,76.921
1266,79.069
1267,81.24
1268,83.184
1269,85.153
1270,87.151
1271,89.801
1272,88.393
1273,88.848
1274,92.34
1275,95.796
1276,98.816
1277,102.823
1278,106.318
1279,109.01
1280,110.7
1281,112.236
1282,116.04
1283,121.799
1284,125.055
1285,128.516
1286,132.225
1287,136.24
1288,140.04
1289,142.376
1290,143.186
1291,143.668
1292,144.487
1293,145.66
1294,149.567
1295,150.06
1296,147.901
1297,144.786
1298,149.752
1299,154.024
1300,154.584
1301,151.411
1302,155.7
1303,161.212
1304,150.773
1305,139.595
1306,143.111
1307,158.234
1308,163.742
1309,156.9
1310,158.225
1311,161.598
1312,158.405
1313,154.535
1314,153.298
1315,154.707
1316,157.26
1317,156.038
1318,129.145
1319,111.451
1320,109.883
1321,109.393
1322,112.452
1323,104.34
1324,87.779
1325,94.868
1326,94.82
1327,100.374
1328,104.149
1329,109.094
1330,112.2
1331,117.567
1332,122.493
1333,125.268
1334,128.068
1335,132.972
1336,133.568
1337,139.8
1338,148.438
1339,157.911
1340,154.892
1341,136.155
1342,137.219
1343,123.241
1344,109.736
1345,112.02
1346,119.919
1347,125.154
1348,120.777
1349,128.48
1350,131.297
1351,134.58
1352,144.398
1353,149.824
1354,154.459
1355,178.381
1356,195.283
1357,196.918
1358,130.92
1359,134.557
1360,138.219
1361,140.104
1362,135.062
1363,136.988
1364,123.96
1365,126.339
1366,130.665
1367,115.99
1368,103.051
1369,111.949
1370,115.994
