"","Elevation","Day"
"1",119.043,1
"2",119.027,2
"3",119.04,3
"4",119.088,4
"5",119.14,5
"6",119.14,6
"7",119.131,7
"8",119.125,8
"9",119.11,9
"10",119.088,10
"11",119.076,11
"12",119.076,12
"13",119.082,13
"14",119.088,14
"15",119.082,15
"16",119.067,16
"17",119.052,17
"18",119.055,18
"19",119.043,19
"20",119.034,20
"21",119.012,21
"22",118.997,22
"23",118.991,23
"24",119.006,24
"25",119.003,25
"26",118.991,26
"27",119.006,27
"28",119.027,28
"29",119.043,29
"30",119.055,30
"31",119.064,31
"32",119.064,32
"33",119.073,33
"34",119.082,34
"35",119.085,35
"36",119.088,36
"37",119.095,37
"38",119.079,38
"39",119.073,39
"40",119.055,40
"41",119.058,41
"42",119.034,42
"43",119.021,43
"44",119.021,44
"45",119,45
"46",118.976,46
"47",118.951,47
"48",118.939,48
"49",118.909,49
"50",118.89,50
"51",118.878,51
"52",118.863,52
"53",118.857,53
"54",118.842,54
"55",118.838,55
"56",118.869,56
"57",118.927,57
"58",118.973,58
"59",118.991,59
"60",119.003,60
"61",119.018,61
"62",119.021,62
"63",119.012,63
"64",119,64
"65",118.991,65
"66",119.009,66
"67",119.052,67
"68",119.082,68
"69",119.098,69
"70",119.088,70
"71",119.07,71
"72",119.052,72
"73",119.037,73
"74",119.061,74
"75",119.046,75
"76",119.027,76
"77",119.049,77
"78",119.076,78
"79",119.101,79
"80",119.122,80
"81",119.152,81
"82",119.171,82
"83",119.186,83
"84",119.207,84
"85",119.223,85
"86",119.235,86
"87",119.29,87
"88",119.329,88
"89",119.366,89
"90",119.402,90
"91",119.482,91
"92",119.515,92
"93",119.533,93
"94",119.54,94
"95",119.692,95
"96",119.759,96
"97",119.881,97
"98",120.027,98
"99",120.082,99
"100",120.106,100
"101",120.082,101
"102",120.055,102
"103",120.049,103
"104",120.045,104
"105",120.036,105
"106",120.021,106
"107",120.015,107
"108",120.003,108
"109",119.991,109
"110",119.988,110
"111",119.988,111
"112",120.009,112
"113",120.015,113
"114",120.006,114
"115",119.911,115
"116",119.905,116
"117",119.911,117
"118",119.893,118
"119",119.869,119
"120",119.86,120
"121",119.847,121
"122",119.844,122
"123",119.841,123
"124",119.808,124
"125",119.78,125
"126",119.792,126
"127",119.796,127
"128",119.78,128
"129",119.753,129
"130",119.725,130
"131",119.689,131
"132",119.664,132
"133",119.646,133
"134",119.68,134
"135",119.707,135
"136",119.725,136
"137",119.689,137
"138",119.686,138
"139",119.668,139
"140",119.619,140
"141",119.594,141
"142",119.579,142
"143",119.564,143
"144",119.543,144
"145",119.524,145
"146",119.561,146
"147",119.661,147
"148",119.68,148
"149",119.674,149
"150",119.661,150
"151",119.637,151
"152",119.619,152
"153",119.616,153
"154",119.604,154
"155",119.591,155
"156",119.588,156
"157",119.604,157
"158",119.655,158
"159",119.674,159
"160",119.661,160
"161",119.625,161
"162",119.597,162
"163",119.576,163
"164",119.54,164
"165",119.506,165
"166",119.472,166
"167",119.433,167
"168",119.421,168
"169",119.396,169
"170",119.375,170
"171",119.363,171
"172",119.341,172
"173",119.311,173
"174",119.271,174
"175",119.223,175
"176",119.189,176
"177",119.165,177
"178",119.122,178
"179",119.143,179
"180",119.146,180
"181",119.149,181
"182",119.162,182
"183",119.168,183
"184",119.168,184
"185",119.159,185
"186",119.149,186
"187",119.14,187
"188",119.122,188
"189",119.131,189
"190",119.128,190
"191",119.119,191
"192",119.11,192
"193",119.101,193
"194",119.095,194
"195",119.101,195
"196",119.104,196
"197",119.104,197
"198",119.088,198
"199",119.082,199
"200",119.076,200
"201",119.067,201
"202",119.055,202
"203",119.073,203
"204",119.067,204
"205",119.055,205
"206",119.085,206
"207",119.101,207
"208",119.088,208
"209",119.098,209
"210",119.085,210
"211",119.067,211
"212",119.052,212
"213",119.034,213
"214",119.027,214
"215",119.037,215
"216",119.034,216
"217",119.024,217
"218",119.04,218
"219",119.049,219
"220",119.03,220
"221",119.037,221
"222",119.024,222
"223",119.006,223
"224",118.991,224
"225",118.988,225
"226",118.997,226
"227",119.055,227
"228",119.11,228
"229",119.116,229
"230",119.095,230
"231",119.079,231
"232",119.082,232
"233",119.079,233
"234",119.061,234
"235",119.034,235
"236",119.03,236
"237",119.027,237
"238",119.015,238
"239",119.009,239
"240",118.994,240
"241",118.988,241
"242",118.979,242
"243",118.97,243
"244",118.973,244
"245",118.979,245
"246",118.982,246
"247",118.988,247
"248",118.985,248
"249",118.988,249
"250",118.994,250
"251",119.018,251
"252",119.146,252
"253",119.155,253
"254",119.162,254
"255",119.143,255
"256",119.143,256
"257",119.128,257
"258",119.122,258
"259",119.122,259
"260",119.122,260
"261",119.119,261
"262",119.113,262
"263",119.107,263
"264",119.107,264
"265",119.101,265
"266",119.088,266
"267",119.082,267
"268",119.07,268
"269",119.064,269
"270",119.052,270
"271",119.037,271
"272",119.021,272
"273",119.009,273
"274",119.003,274
"275",119,275
"276",118.988,276
"277",118.982,277
"278",118.979,278
"279",118.97,279
"280",118.973,280
"281",118.976,281
"282",118.994,282
"283",119.006,283
"284",119.009,284
"285",119.012,285
"286",119.015,286
"287",119.009,287
"288",119.012,288
"289",119.009,289
"290",119.006,290
"291",118.997,291
"292",118.994,292
"293",118.982,293
"294",118.979,294
"295",118.979,295
"296",118.976,296
"297",118.979,297
"298",119.043,298
"299",119.076,299
"300",119.137,300
"301",119.131,301
"302",119.116,302
"303",119.232,303
"304",119.363,304
"305",119.396,305
"306",119.396,306
"307",119.393,307
"308",119.369,308
"309",119.347,309
"310",119.338,310
"311",119.293,311
"312",119.274,312
"313",119.25,313
"314",119.219,314
"315",119.186,315
"316",119.155,316
"317",119.125,317
"318",119.104,318
"319",119.076,319
"320",119.046,320
"321",119.03,321
"322",119,322
"323",118.985,323
"324",118.97,324
"325",118.976,325
"326",118.994,326
"327",119.021,327
"328",119.04,328
"329",119.049,329
"330",119.055,330
"331",119.061,331
"332",119.049,332
"333",119.046,333
"334",119.046,334
"335",119.052,335
"336",119.055,336
"337",119.061,337
"338",119.058,338
"339",119.07,339
"340",119.101,340
"341",119.113,341
"342",119.131,342
"343",119.143,343
"344",119.168,344
"345",119.177,345
"346",119.18,346
"347",119.195,347
"348",119.207,348
"349",119.213,349
"350",119.21,350
"351",119.207,351
"352",119.201,352
"353",119.201,353
"354",119.192,354
"355",119.192,355
"356",119.186,356
"357",119.21,357
"358",119.232,358
"359",119.259,359
"360",119.268,360
"361",119.244,361
"362",119.238,362
"363",119.226,363
"364",119.223,364
"365",119.219,365
